t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update,error_type
0,linucb,easy,A,0.5,0.3,642.1670913696289,4.18e-05,1,0,4.18e-05,642.1670913696289,0.9839332827157593,none
1,linucb,hard,F,0.9,0.3,89.02883529663086,0.0,0,0,0.0,89.02883529663086,0.0,logic_error
2,linucb,easy,B,0.5,0.3,14913.789987564087,0.0002217,1,1,0.00063895,17519.1969871521,0.0,none
3,linucb,easy,B,0.5,0.5640000000000001,6538.392066955566,9.760000000000001e-05,1,0,9.760000000000001e-05,6538.392066955566,0.9499707199999999,none
4,linucb,easy,A,0.5,0.479908608,1012.8002166748047,7.77e-05,1,0,7.77e-05,1012.8002166748047,0.9746566845831299,none
5,linucb,easy,B,0.5,0.7367616,21345.151901245117,0.0002106,1,1,0.0003481,23758.82315635681,0.0,none
6,linucb,hard,D,0.95,0.743908608,1426.4788627624512,0.0002455,1,0,0.0002455,1426.4788627624512,0.9642643784309387,none
7,linucb,hard,D,0.95,0.9546395750400001,1466.4480686187744,0.00018575,1,0,0.00018575,1466.4480686187744,0.9632830732845307,none
8,linucb,easy,A,0.5,0.5877989654416589,1701.2841701507568,0.00017020000000000002,1,0,0.00017020000000000002,1701.2841701507568,0.957416835746231,none
9,linucb,hard,F,0.9,0.40789035744165886,95.13187408447266,0.0,0,0,0.0,95.13187408447266,0.0,logic_error
10,linucb,hard,F,0.9,0.6589435145486597,174.61895942687988,0.0,0,0,0.0,174.61895942687988,0.0,logic_error
11,linucb,hard,D,0.95,0.8724929236238599,2191.366195678711,0.0001885,1,0,0.0001885,2191.366195678711,0.9499434499999999,none
12,linucb,easy,A,0.5,0.6525003121881632,833.1451416015625,4.65e-05,1,0,4.65e-05,833.1451416015625,0.9791574214599609,none
13,linucb,easy,A,0.5,0.8742002747255835,1211.0793590545654,7.980000000000002e-05,1,0,7.980000000000002e-05,1211.0793590545654,0.9696990760236359,none
14,linucb,easy,B,0.5,0.5331691189616463,11775.86817741394,0.0002105,0,1,0.00124975,16641.4532661438,0.0,none
