t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update,error_type
0,random,easy,B,0.5,0.3,10005.116939544678,0.000108,1,1,0.000257,11429.104089736938,0.0,none
1,random,hard,F,0.9,0.3,187.17408180236816,0.0,0,0,0.0,187.17408180236816,0.0,logic_error
2,random,easy,A,0.5,0.3,834.4957828521729,0.000111,1,0,0.000111,834.4957828521729,0.0,none
3,random,easy,B,0.5,0.5044416,14064.471006393433,0.000108,1,1,0.000147,15228.208065032959,0.0,none
4,random,easy,A,0.5,0.53232,877.1822452545166,7.77e-05,1,0,7.77e-05,877.1822452545166,0.0,none
5,random,easy,B,0.5,0.6906395750400001,23785.94923019409,0.0002106,1,1,0.0004081,25438.51351737976,0.0,none
6,random,hard,D,0.95,0.9077628260352,1365.4069900512695,0.0001595,1,0,0.0001595,1365.4069900512695,0.0,none
7,random,hard,F,0.9,0.43932122603519996,119.34018135070801,0.0,0,0,0.0,119.34018135070801,0.0,logic_error
8,random,easy,B,0.5,0.770651532481659,13017.115831375122,0.0002169,0,1,0.0012721499999999999,18008.07476043701,0.0,none
9,random,hard,F,0.9,0.6402103574416589,93.9168930053711,0.0,0,0,0.0,93.9168930053711,0.0,logic_error
10,random,hard,D,0.95,1.0,4534.901142120361,0.0010635,0,0,0.0010635,4534.901142120361,0.0,none
11,random,hard,D,0.95,1.0,2820.628881454468,0.0005425,0,0,0.0005425,2820.628881454468,0.0,none
12,random,easy,A,0.5,0.49144065024447947,640.1078701019287,4.65e-05,1,0,4.65e-05,640.1078701019287,0.0,none
13,random,easy,A,0.5,0.7324677722151419,800.2009391784668,7.7e-05,1,0,7.7e-05,800.2009391784668,0.0,none
14,random,easy,B,0.5,0.657893721170835,20541.682243347168,0.0002105,0,1,0.00124975,25393.604278564453,0.0,none
15,random,easy,B,0.5,0.8789464746303348,12287.933826446533,0.00021459999999999998,1,1,0.0004561,13719.964981079102,0.0,none
16,random,easy,A,0.5,0.7991562776669973,791.5759086608887,6.110000000000001e-05,1,0,6.110000000000001e-05,791.5759086608887,0.0,none
17,random,easy,A,0.5,1.0,761.4719867706299,5.77e-05,1,0,5.77e-05,761.4719867706299,0.0,none
18,random,easy,A,0.5,1.0,979.8069000244141,0.00011,1,0,0.00011,979.8069000244141,0.0,none
19,random,easy,A,0.5,1.0,750.1780986785889,5.5e-05,1,0,5.5e-05,750.1780986785889,0.0,none
