t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update,error_type
0,sop_strong,easy,D,0.5,0.3,99.89786148071289,0.0,0,0,0.0,99.89786148071289,0.0,logic_error
1,sop_strong,easy,D,0.5,0.5640000000000001,55.76586723327637,0.0,0,0,0.0,55.76586723327637,0.0,logic_error
2,sop_strong,hard,D,0.95,0.79632,59.2801570892334,0.0,0,0,0.0,59.2801570892334,0.0,logic_error
3,sop_strong,easy,D,0.5,1.0,57.398080825805664,0.0,0,0,0.0,57.398080825805664,0.0,logic_error
4,sop_strong,easy,D,0.5,1.0,55.93228340148926,0.0,0,0,0.0,55.93228340148926,0.0,logic_error
5,sop_strong,hard,D,0.95,1.0,50.736188888549805,0.0,0,0,0.0,50.736188888549805,0.0,logic_error
6,sop_strong,hard,D,0.95,1.0,53.86185646057129,0.0,0,0,0.0,53.86185646057129,0.0,logic_error
7,sop_strong,hard,D,0.95,1.0,51.155805587768555,0.0,0,0,0.0,51.155805587768555,0.0,logic_error
8,sop_strong,easy,D,0.5,1.0,59.51285362243652,0.0,0,0,0.0,59.51285362243652,0.0,logic_error
9,sop_strong,easy,D,0.5,1.0,65.84572792053223,0.0,0,0,0.0,65.84572792053223,0.0,logic_error
10,sop_strong,easy,D,0.5,1.0,67.49200820922852,0.0,0,0,0.0,67.49200820922852,0.0,logic_error
11,sop_strong,hard,D,0.95,1.0,53.11417579650879,0.0,0,0,0.0,53.11417579650879,0.0,logic_error
12,sop_strong,hard,D,0.95,1.0,116.97888374328613,0.0,0,0,0.0,116.97888374328613,0.0,logic_error
13,sop_strong,easy,D,0.5,1.0,66.76983833312988,0.0,0,0,0.0,66.76983833312988,0.0,logic_error
14,sop_strong,easy,D,0.5,1.0,74.17178153991699,0.0,0,0,0.0,74.17178153991699,0.0,logic_error
15,sop_strong,hard,D,0.95,1.0,63.02189826965332,0.0,0,0,0.0,63.02189826965332,0.0,logic_error
16,sop_strong,hard,D,0.95,1.0,65.31691551208496,0.0,0,0,0.0,65.31691551208496,0.0,logic_error
17,sop_strong,hard,D,0.95,1.0,56.39314651489258,0.0,0,0,0.0,56.39314651489258,0.0,logic_error
18,sop_strong,hard,D,0.95,1.0,57.817935943603516,0.0,0,0,0.0,57.817935943603516,0.0,logic_error
19,sop_strong,hard,D,0.95,1.0,62.960147857666016,0.0,0,0,0.0,62.960147857666016,0.0,logic_error
20,sop_strong,hard,D,0.95,1.0,59.674739837646484,0.0,0,0,0.0,59.674739837646484,0.0,logic_error
21,sop_strong,hard,D,0.95,1.0,57.080745697021484,0.0,0,0,0.0,57.080745697021484,0.0,logic_error
22,sop_strong,easy,D,0.5,1.0,56.42580986022949,0.0,0,0,0.0,56.42580986022949,0.0,logic_error
23,sop_strong,easy,D,0.5,1.0,54.42094802856445,0.0,0,0,0.0,54.42094802856445,0.0,logic_error
24,sop_strong,easy,D,0.5,1.0,62.471866607666016,0.0,0,0,0.0,62.471866607666016,0.0,logic_error
25,sop_strong,easy,D,0.5,1.0,63.73310089111328,0.0,0,0,0.0,63.73310089111328,0.0,logic_error
26,sop_strong,easy,D,0.5,1.0,65.56391716003418,0.0,0,0,0.0,65.56391716003418,0.0,logic_error
27,sop_strong,easy,D,0.5,1.0,66.63680076599121,0.0,0,0,0.0,66.63680076599121,0.0,logic_error
