t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update,error_type
0,sop_rule,easy,A,0.5,0.3,467.0579433441162,6.330000000000001e-05,1,0,6.330000000000001e-05,467.0579433441162,0.0,none
1,sop_rule,easy,A,0.5,0.5640000000000001,450.64425468444824,5.9300000000000005e-05,1,0,5.9300000000000005e-05,450.64425468444824,0.0,none
2,sop_rule,hard,D,0.95,0.3,3409.6591472625732,0.000664,0,0,0.000664,3409.6591472625732,0.0,none
3,sop_rule,easy,A,0.5,0.7367616,501.53660774230957,6.170000000000001e-05,1,0,6.170000000000001e-05,501.53660774230957,0.0,none
4,sop_rule,easy,A,0.5,0.9483502079999999,487.01977729797363,6.68e-05,1,0,6.68e-05,487.01977729797363,0.0,none
5,sop_rule,hard,D,0.95,0.5044416,1979.7430038452148,0.00033075,1,0,0.00033075,1979.7430038452148,0.0,none
6,sop_rule,hard,D,0.95,0.743908608,1595.423936843872,0.00032125000000000003,1,0,0.00032125000000000003,1595.423936843872,0.0,none
7,sop_rule,hard,D,0.95,0.9546395750400001,2255.797863006592,0.00033675,1,0,0.00033675,2255.797863006592,0.0,none
8,sop_rule,easy,A,0.5,0.8687212193926348,680.9830665588379,6.2e-05,1,0,6.2e-05,680.9830665588379,0.0,none
9,sop_rule,easy,A,0.5,1.0,443.10784339904785,6.46e-05,1,0,6.46e-05,443.10784339904785,0.0,none
10,sop_rule,easy,A,0.5,1.0,461.8089199066162,6.080000000000001e-05,1,0,6.080000000000001e-05,461.8089199066162,0.0,none
11,sop_rule,hard,D,0.95,0.8724929236238599,5076.345205307007,0.0006585,0,0,0.0006585,5076.345205307007,0.0,none
12,sop_rule,hard,D,0.95,1.0,3219.5780277252197,0.0006605,0,0,0.0006605,3219.5780277252197,0.0,none
13,sop_rule,easy,A,0.5,0.9814719999999999,431.6551685333252,6.3e-05,1,0,6.3e-05,431.6551685333252,0.0,none
14,sop_rule,easy,A,0.5,1.0,454.33712005615234,6.510000000000001e-05,1,0,6.510000000000001e-05,454.33712005615234,0.0,none
15,sop_rule,hard,D,0.95,0.9814719999999999,5913.213014602661,0.00065825,0,0,0.00065825,5913.213014602661,0.0,none
16,sop_rule,hard,D,0.95,1.0,1969.3448543548584,0.000454,1,0,0.000454,1969.3448543548584,0.0,none
17,sop_rule,hard,D,0.95,1.0,2748.802900314331,0.00065575,0,0,0.00065575,2748.802900314331,0.0,none
18,sop_rule,hard,D,0.95,1.0,1524.5189666748047,0.00032675,1,0,0.00032675,1524.5189666748047,0.0,none
19,sop_rule,hard,D,0.95,1.0,2765.378952026367,0.00066075,0,0,0.00066075,2765.378952026367,0.0,none
20,sop_rule,hard,D,0.95,1.0,2306.359052658081,0.00059125,1,0,0.00059125,2306.359052658081,0.0,none
21,sop_rule,hard,D,0.95,1.0,1479.0089130401611,0.000325,1,0,0.000325,1479.0089130401611,0.0,none
22,sop_rule,easy,A,0.5,0.6596345248055295,443.0367946624756,6.27e-05,1,0,6.27e-05,443.0367946624756,0.0,none
23,sop_rule,easy,A,0.5,0.880478381828866,487.48111724853516,6.21e-05,1,0,6.21e-05,487.48111724853516,0.0,none
24,sop_rule,easy,A,0.5,1.0,612.3981475830078,7.38e-05,1,0,7.38e-05,612.3981475830078,0.0,none
25,sop_rule,easy,A,0.5,1.0,416.31388664245605,6.16e-05,1,0,6.16e-05,416.31388664245605,0.0,none
26,sop_rule,easy,A,0.5,1.0,570.0459480285645,6.0700000000000005e-05,1,0,6.0700000000000005e-05,570.0459480285645,0.0,none
27,sop_rule,easy,A,0.5,1.0,431.40101432800293,6.15e-05,1,0,6.15e-05,431.40101432800293,0.0,none
28,sop_rule,easy,A,0.5,1.0,439.00609016418457,6.530000000000002e-05,1,0,6.530000000000002e-05,439.00609016418457,0.0,none
29,sop_rule,easy,A,0.5,1.0,438.42005729675293,6.47e-05,1,0,6.47e-05,438.42005729675293,0.0,none
30,sop_rule,easy,A,0.5,1.0,377.0709037780762,6.0899999999999996e-05,1,0,6.0899999999999996e-05,377.0709037780762,0.0,none
31,sop_rule,easy,A,0.5,1.0,462.9781246185303,6.230000000000001e-05,1,0,6.230000000000001e-05,462.9781246185303,0.0,none
32,sop_rule,hard,D,0.95,0.5450808588882738,1596.7817306518555,0.0003235,1,0,0.0003235,1596.7817306518555,0.0,none
33,sop_rule,hard,D,0.95,0.7796711558216809,3005.8040618896484,0.000667,0,0,0.000667,3005.8040618896484,0.0,none
34,sop_rule,hard,D,0.95,0.9861106171230791,2603.3248901367188,0.0006485,0,0,0.0006485,2603.3248901367188,0.0,none
35,sop_rule,easy,A,0.5,0.8996953599999999,460.12306213378906,6.54e-05,1,0,6.54e-05,460.12306213378906,0.0,none
36,sop_rule,easy,A,0.5,1.0,475.9178161621094,6.34e-05,1,0,6.34e-05,475.9178161621094,0.0,none
37,sop_rule,hard,D,0.95,0.972006774472099,3224.89595413208,0.0006485,0,0,0.0006485,3224.89595413208,0.0,none
38,sop_rule,easy,A,0.5,1.0,701.2519836425781,0.0001015,1,0,0.0001015,701.2519836425781,0.0,none
39,sop_rule,easy,A,0.5,1.0,507.82108306884766,6.36e-05,1,0,6.36e-05,507.82108306884766,0.0,none
40,sop_rule,hard,D,0.95,0.9623954006130504,3091.1757946014404,0.0006529999999999999,0,0,0.0006529999999999999,3091.1757946014404,0.0,none
41,sop_rule,easy,A,0.5,1.0,497.41077423095703,6.8e-05,1,0,6.8e-05,497.41077423095703,0.0,none
42,sop_rule,easy,A,0.5,1.0,515.8200263977051,6.620000000000001e-05,1,0,6.620000000000001e-05,515.8200263977051,0.0,none
43,sop_rule,easy,A,0.5,1.0,674.4468212127686,6.340000000000001e-05,1,0,6.340000000000001e-05,674.4468212127686,0.0,none
44,sop_rule,hard,D,0.95,0.8771440562329875,1763.4048461914062,0.00033299999999999996,1,0,0.00033299999999999996,1763.4048461914062,0.0,none
45,sop_rule,hard,D,0.95,1.0,4199.736833572388,0.0006695,0,0,0.0006695,4199.736833572388,0.0,none
46,sop_rule,easy,A,0.5,0.9814719999999999,537.6110076904297,6.29e-05,1,0,6.29e-05,537.6110076904297,0.0,none
47,sop_rule,easy,A,0.5,1.0,425.16398429870605,6.01e-05,1,0,6.01e-05,425.16398429870605,0.0,none
48,sop_rule,hard,D,0.95,0.9814719999999999,3048.888921737671,0.000665,0,0,0.000665,3048.888921737671,0.0,none
49,sop_rule,hard,D,0.95,1.0,3355.5262088775635,0.0006535,0,0,0.0006535,3355.5262088775635,0.0,none
50,sop_rule,easy,A,0.5,0.9814719999999999,800.839900970459,6.21e-05,1,0,6.21e-05,800.839900970459,0.0,none
51,sop_rule,easy,A,0.5,1.0,472.31101989746094,6.560000000000001e-05,1,0,6.560000000000001e-05,472.31101989746094,0.0,none
52,sop_rule,hard,D,0.95,0.9814719999999999,2660.9549522399902,0.00033275000000000004,1,0,0.00033275000000000004,2660.9549522399902,0.0,none
53,sop_rule,easy,A,0.5,1.0,746.4499473571777,6.080000000000001e-05,1,0,6.080000000000001e-05,746.4499473571777,0.0,none
54,sop_rule,hard,D,0.95,1.0,3580.867052078247,0.00065475,0,0,0.00065475,3580.867052078247,0.0,none
55,sop_rule,easy,A,0.5,1.0,482.70273208618164,6.23e-05,1,0,6.23e-05,482.70273208618164,0.0,none
56,sop_rule,hard,D,0.95,1.0,2975.062131881714,0.0006577499999999999,0,0,0.0006577499999999999,2975.062131881714,0.0,none
57,sop_rule,easy,A,0.5,1.0,539.3097400665283,6.55e-05,1,0,6.55e-05,539.3097400665283,0.0,none
58,sop_rule,easy,A,0.5,1.0,557.8219890594482,6.3e-05,1,0,6.3e-05,557.8219890594482,0.0,none
59,sop_rule,hard,D,0.95,0.9814719999999999,3057.1320056915283,0.00065825,0,0,0.00065825,3057.1320056915283,0.0,none
60,sop_rule,hard,D,0.95,1.0,2804.064989089966,0.0005885,1,0,0.0005885,2804.064989089966,0.0,none
61,sop_rule,easy,A,0.5,0.9814719999999999,465.9237861633301,5.89e-05,1,0,5.89e-05,465.9237861633301,0.0,none
62,sop_rule,hard,D,0.95,1.0,1720.5140590667725,0.00033200000000000005,1,0,0.00033200000000000005,1720.5140590667725,0.0,none
63,sop_rule,easy,A,0.5,1.0,451.48301124572754,6.31e-05,1,0,6.31e-05,451.48301124572754,0.0,none
64,sop_rule,easy,A,0.5,1.0,511.83605194091797,6.54e-05,1,0,6.54e-05,511.83605194091797,0.0,none
65,sop_rule,hard,D,0.95,0.9814719999999999,2048.8362312316895,0.00033600000000000004,1,0,0.00033600000000000004,2048.8362312316895,0.0,none
66,sop_rule,hard,D,0.95,1.0,3194.8540210723877,0.00064925,0,0,0.00064925,3194.8540210723877,0.0,none
67,sop_rule,easy,A,0.5,0.9814719999999999,448.7490653991699,6.33e-05,1,0,6.33e-05,448.7490653991699,0.0,none
68,sop_rule,easy,A,0.5,1.0,429.614782333374,6.15e-05,1,0,6.15e-05,429.614782333374,0.0,none
69,sop_rule,easy,A,0.5,1.0,552.6831150054932,6.22e-05,1,0,6.22e-05,552.6831150054932,0.0,none
70,sop_rule,hard,D,0.95,0.8996953599999999,2987.0190620422363,0.00068375,1,0,0.00068375,2987.0190620422363,0.0,none
71,sop_rule,hard,D,0.95,1.0,2257.150173187256,0.000325,1,0,0.000325,2257.150173187256,0.0,none
72,sop_rule,hard,D,0.95,1.0,2358.1371307373047,0.0005915,1,0,0.0005915,2358.1371307373047,0.0,none
73,sop_rule,hard,D,0.95,1.0,3162.282943725586,0.00065525,0,0,0.00065525,3162.282943725586,0.0,none
74,sop_rule,hard,D,0.95,1.0,2603.6217212677,0.0004565,1,0,0.0004565,2603.6217212677,0.0,none
75,sop_rule,easy,A,0.5,0.764404086784,499.36985969543457,6.57e-05,1,0,6.57e-05,499.36985969543457,0.0,none
76,sop_rule,easy,A,0.5,0.9726755963699198,535.4528427124023,6.83e-05,1,0,6.83e-05,535.4528427124023,0.0,none
77,sop_rule,hard,D,0.95,0.9814719999999999,2963.304042816162,0.0006594999999999999,0,0,0.0006594999999999999,2963.304042816162,0.0,none
78,sop_rule,hard,D,0.95,1.0,1562.8459453582764,0.000214,1,0,0.000214,1562.8459453582764,0.0,none
79,sop_rule,hard,D,0.95,1.0,2428.3158779144287,0.00058175,1,0,0.00058175,2428.3158779144287,0.0,none
80,sop_rule,easy,A,0.5,0.8833090419282739,442.40689277648926,6.44e-05,1,0,6.44e-05,442.40689277648926,0.0,none
81,sop_rule,hard,D,0.95,1.0,2302.9041290283203,0.0004655,1,0,0.0004655,2302.9041290283203,0.0,none
82,sop_rule,hard,D,0.95,1.0,2142.587184906006,0.00045149999999999997,1,0,0.00045149999999999997,2142.587184906006,0.0,none
83,sop_rule,easy,A,0.5,0.9019503794209447,412.46604919433594,6.06e-05,1,0,6.06e-05,412.46604919433594,0.0,none
84,sop_rule,easy,A,0.5,1.0,477.5528907775879,7.02e-05,1,0,7.02e-05,477.5528907775879,0.0,none
85,sop_rule,easy,A,0.5,1.0,459.6869945526123,6.2e-05,1,0,6.2e-05,459.6869945526123,0.0,none
86,sop_rule,easy,A,0.5,1.0,609.8628044128418,5.9800000000000003e-05,1,0,5.9800000000000003e-05,609.8628044128418,0.0,none
87,sop_rule,easy,A,0.5,1.0,501.79505348205566,6.15e-05,1,0,6.15e-05,501.79505348205566,0.0,none
88,sop_rule,hard,D,0.95,0.764404086784,2920.757055282593,0.0006675,0,0,0.0006675,2920.757055282593,0.0,none
89,sop_rule,easy,A,0.5,1.0,458.64009857177734,6.18e-05,1,0,6.18e-05,458.64009857177734,0.0,none
90,sop_rule,easy,A,0.5,1.0,517.4062252044678,6.42e-05,1,0,6.42e-05,517.4062252044678,0.0,none
91,sop_rule,hard,D,0.95,0.8209199818288659,1699.1057395935059,0.00032700000000000003,1,0,0.00032700000000000003,1699.1057395935059,0.0,none
92,sop_rule,hard,D,0.95,1.0,2668.2698726654053,0.00055025,1,0,0.00055025,2668.2698726654053,0.0,none
93,sop_rule,easy,A,0.5,0.9814719999999999,531.1002731323242,6.560000000000001e-05,1,0,6.560000000000001e-05,531.1002731323242,0.0,none
94,sop_rule,easy,A,0.5,1.0,534.808874130249,6.860000000000001e-05,1,0,6.860000000000001e-05,534.808874130249,0.0,none
95,sop_rule,easy,A,0.5,1.0,559.5052242279053,7.950000000000001e-05,1,0,7.950000000000001e-05,559.5052242279053,0.0,none
96,sop_rule,hard,D,0.95,0.8996953599999999,2257.291078567505,0.0003345,1,0,0.0003345,2257.291078567505,0.0,none
