t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb,simple,B,0.95,0.0,0.0011920928955078125,0.1,1,0,1.0,1.0
1,linucb,hard,C,0.75,0.0,0.0,0.3,1,0,1.0,1.0
2,linucb,hard,C,0.75,0.0,0.00095367431640625,0.3,1,0,1.0,1.0
3,linucb,hard,A,0.95,0.0,0.0011920928955078125,1.0,1,0,1.0,1.0
4,linucb,hard,C,0.75,0.0,0.0,0.3,0,0,0.8,0.0
5,linucb,hard,A,0.95,0.0,0.0,1.0,1,0,0.8333333333333334,1.0
6,linucb,hard,C,0.75,0.0,0.00095367431640625,0.3,0,0,0.7142857142857143,0.0
7,linucb,simple,B,0.95,0.0,0.0,0.1,1,0,0.75,1.0
8,linucb,simple,B,0.95,0.0,0.0,0.1,1,0,0.7777777777777778,1.0
9,linucb,simple,B,0.95,0.0,0.0,0.1,1,0,0.8,1.0
10,linucb,hard,C,0.75,0.0,0.0,0.3,1,0,0.8181818181818182,1.0
11,linucb,simple,B,0.95,0.0,0.0,0.1,1,0,0.8333333333333334,1.0
12,linucb,hard,C,0.75,0.0,0.0,0.3,1,0,0.8461538461538461,1.0
13,linucb,simple,B,0.95,0.0,0.0,0.1,1,0,0.8571428571428571,1.0
14,linucb,simple,B,0.95,0.0,0.0,0.1,1,0,0.8666666666666667,1.0
15,linucb,hard,C,0.75,0.0,0.00095367431640625,0.3,1,0,0.875,1.0
16,linucb,hard,C,0.75,0.0,0.0,0.3,1,0,0.8823529411764706,1.0
17,linucb,simple,B,0.95,0.0,0.00095367431640625,0.1,1,0,0.8888888888888888,1.0
18,linucb,hard,C,0.75,0.0,0.00095367431640625,0.3,0,0,0.8421052631578947,0.0
19,linucb,simple,B,0.95,0.0,0.0,0.1,1,0,0.85,1.0
20,linucb,hard,E,0.9,0.0,0.0,0.6,1,0,0.8571428571428571,1.0
21,linucb,hard,C,0.75,0.0,0.0,0.3,0,0,0.8181818181818182,0.0
22,linucb,hard,C,0.75,0.0,0.00095367431640625,0.3,1,0,0.8260869565217391,1.0
23,linucb,simple,B,0.95,0.0,0.0,0.1,1,0,0.8333333333333334,1.0
24,linucb,hard,C,0.75,0.0,0.0,0.3,0,0,0.8,0.0
