t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,random_topL,hard,E,0.9,0.3,711.4767603535806,0.6,0,0,0.0,0.0
1,random_topL,hard,A,0.95,0.3,915.4792472306547,1.0,1,0,0.5,0.0
2,random_topL,hard,E,0.9,0.53232,899.5314909332153,0.6,0,0,0.3333333333333333,0.0
3,random_topL,hard,C,0.75,0.3,564.0572037481909,0.35,0,0,0.25,0.0
4,random_topL,simple,D,0.85,0.3,478.57491435953364,0.22,0,0,0.2,0.0
5,random_topL,hard,C,0.75,0.53232,713.5333309748546,0.35,0,0,0.16666666666666666,0.0
6,random_topL,simple,A,0.8,0.45831957504,1106.3981841248253,1.0,1,0,0.2857142857142857,0.0
7,random_topL,hard,E,0.9,0.580922253950976,938.1934838900855,0.6,0,0,0.25,0.0
8,random_topL,hard,C,0.75,0.66276117504,723.0444891278055,0.35,0,0,0.2222222222222222,0.0
9,random_topL,hard,C,0.75,0.8832298340352001,854.0688728180604,0.35,0,0,0.2,0.0
10,random_topL,hard,C,0.75,1.0,952.8731524946301,0.35,0,0,0.18181818181818182,0.0
11,random_topL,hard,C,0.75,1.0,1231.268721657854,0.35,0,0,0.16666666666666666,0.0
12,random_topL,hard,E,0.9,0.606571214589325,1176.7502190263397,0.6,0,0,0.15384615384615385,0.0
13,random_topL,hard,A,0.95,0.4873040256574803,1222.4146345241286,1.0,1,0,0.21428571428571427,0.0
14,random_topL,hard,C,0.75,0.9814719999999999,1030.1078675867545,0.35,0,0,0.2,0.0
15,random_topL,hard,E,0.9,0.7133612987486164,1263.7657784580565,0.6,0,0,0.1875,0.0
16,random_topL,hard,A,0.95,0.6320840489728544,1227.637265053045,1.0,1,0,0.23529411764705882,0.0
17,random_topL,hard,C,0.75,0.9688456867839998,885.3617766383256,0.35,0,0,0.2222222222222222,0.0
18,random_topL,simple,A,0.8,0.7894858875245785,1390.5828193791497,1.0,1,0,0.2631578947368421,0.0
19,random_topL,hard,E,0.9,0.7277994608631191,1120.8927203656892,0.6,0,0,0.25,0.0
20,random_topL,simple,A,0.8,0.9113778712990335,1611.7775528015668,1.0,1,0,0.2857142857142857,0.0
21,random_topL,hard,A,0.95,1.0,1523.9245651097765,1.0,1,0,0.3181818181818182,0.0
22,random_topL,hard,C,0.75,0.8112907913699325,770.944993298529,0.35,0,0,0.30434782608695654,0.0
23,random_topL,hard,A,0.95,1.0,1843.4743105129805,1.0,1,0,0.3333333333333333,0.0
24,random_topL,simple,A,0.8,1.0,1803.778835528623,1.0,1,0,0.36,0.0
25,random_topL,hard,E,0.9,0.6379930439840243,1215.281977083927,0.6,0,0,0.34615384615384615,0.0
26,random_topL,hard,C,0.75,0.7865273231952766,1027.9265185226834,0.35,0,0,0.3333333333333333,0.0
27,random_topL,hard,E,0.9,0.7940618132612285,1295.6717222790394,0.6,0,0,0.32142857142857145,0.0
28,random_topL,simple,B,0.95,0.3,353.979314776028,0.1,1,0,0.3448275862068966,0.0
29,random_topL,hard,E,0.9,0.9149214681894953,1296.9907543697152,0.6,0,0,0.3333333333333333,0.0
30,random_topL,simple,B,0.95,0.53232,422.9731930285744,0.1,1,0,0.3548387096774194,0.0
31,random_topL,simple,D,0.85,0.30950940628386125,462.02356774555943,0.22,1,0,0.375,0.0
32,random_topL,hard,C,0.75,0.6652665032591665,884.8555346420213,0.35,0,0,0.36363636363636365,0.0
33,random_topL,simple,D,0.85,0.5396840842262222,552.8845697961438,0.22,1,0,0.38235294117647056,0.0
34,random_topL,hard,C,0.75,0.8151823801238984,954.9274906124066,0.35,0,0,0.37142857142857144,0.0
35,random_topL,hard,A,0.95,0.5450808588882738,1417.5794746798224,1.0,1,0,0.3888888888888889,0.0
36,random_topL,simple,D,0.85,0.6677795922458121,541.202464886067,0.22,1,0,0.40540540540540543,0.0
37,random_topL,hard,E,0.9,0.6290373474467066,1023.2950152322416,0.6,0,0,0.39473684210526316,0.0
38,random_topL,simple,D,0.85,0.8171285162351569,650.4282680138543,0.22,1,0,0.41025641025641024,0.0
39,random_topL,hard,E,0.9,0.7871265218627296,1291.832355342774,0.6,0,0,0.4,0.0
40,random_topL,simple,B,0.95,0.4482516395493249,388.99843603917776,0.1,1,0,0.4146341463414634,0.0
41,random_topL,hard,A,0.95,0.5531377784954472,1231.8553908282724,1.0,1,0,0.42857142857142855,0.0
42,random_topL,hard,C,0.75,0.5931677279056988,747.8919430958624,0.35,0,0,0.4186046511627907,0.0
43,random_topL,hard,E,0.9,0.7720361228940175,1161.9109664306097,0.6,0,0,0.4090909090909091,0.0
44,random_topL,hard,E,0.9,0.9793917881467353,1371.9323432364042,0.6,0,0,0.4,0.0
45,random_topL,hard,A,0.95,0.6317141592044275,1349.710559884661,1.0,1,0,0.41304347826086957,0.0
