t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb,hard,C,0.75,0.3,502.38856426411974,0.35,0,0,0.0,0.0
1,linucb,hard,C,0.75,0.5640000000000001,696.5367281550784,0.35,0,0,0.0,0.0
2,linucb,hard,C,0.75,0.79632,851.3667100537008,0.35,1,0,0.3333333333333333,1.0
3,linucb,hard,C,0.75,1.0,970.8066666994692,0.35,0,0,0.25,0.0
4,linucb,simple,B,0.95,0.3,306.7164783112096,0.1,1,0,0.4,1.0
5,linucb,hard,C,0.75,1.0,1134.0362596184548,0.35,0,0,0.3333333333333333,0.0
6,linucb,simple,A,0.8,0.3,954.2016076773014,1.0,0,0,0.2857142857142857,0.0
7,linucb,hard,C,0.75,1.0,1048.7547618397607,0.35,0,0,0.25,0.0
8,linucb,hard,D,0.55,0.3,418.5700524450035,0.22,0,0,0.2222222222222222,0.0
9,linucb,hard,C,0.75,1.0,1075.9675943218483,0.35,0,0,0.2,0.0
10,linucb,hard,C,0.75,1.0,1094.8925575600676,0.35,0,0,0.18181818181818182,0.0
11,linucb,hard,E,0.9,0.3,697.2401419321687,0.6,0,0,0.16666666666666666,0.0
12,linucb,hard,C,0.75,1.0,998.4676079567791,0.35,0,0,0.15384615384615385,0.0
13,linucb,hard,C,0.75,1.0,1109.9676456485404,0.35,0,0,0.14285714285714285,0.0
14,linucb,hard,D,0.55,0.43932122603519996,466.9879732265784,0.22,0,0,0.13333333333333333,0.0
15,linucb,hard,C,0.75,1.0,985.5241603101676,0.35,0,0,0.125,0.0
16,linucb,hard,C,0.75,1.0,1108.1611283047557,0.35,0,0,0.11764705882352941,0.0
17,linucb,hard,E,0.9,0.43932122603519996,1087.0448202378022,0.6,0,0,0.1111111111111111,0.0
18,linucb,simple,B,0.95,0.35010472292049294,353.17918097816363,0.1,1,0,0.15789473684210525,1.0
19,linucb,hard,D,0.55,0.5318438327064822,540.4452243695937,0.22,0,0,0.15,0.0
20,linucb,simple,A,0.8,0.35010472292049294,983.1408163629771,1.0,0,0,0.14285714285714285,0.0
