t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,random_topL,hard,C,0.75,0.3,501.6823310185504,0.35,0,0,0.0,0.0
1,random_topL,hard,E,0.9,0.3,793.4153475999007,0.6,0,0,0.0,0.0
2,random_topL,hard,C,0.75,0.53232,634.2850256580364,0.35,0,0,0.0,0.0
3,random_topL,hard,D,0.55,0.3,430.73459195316394,0.22,0,0,0.0,0.0
4,random_topL,simple,D,0.85,0.5640000000000001,630.1874472286339,0.22,0,0,0.0,0.0
5,random_topL,hard,D,0.55,0.79632,679.8660344877018,0.22,0,0,0.0,0.0
6,random_topL,simple,A,0.8,0.3,929.7592726099057,1.0,0,0,0.0,0.0
7,random_topL,hard,C,0.75,0.580922253950976,661.5466873583936,0.35,0,0,0.0,0.0
8,random_topL,hard,D,0.55,0.8426697830399998,635.1927644628931,0.22,0,0,0.0,0.0
9,random_topL,hard,D,0.55,1.0,725.0897627540777,0.22,0,0,0.0,0.0
10,random_topL,hard,D,0.55,1.0,774.0739352030671,0.22,0,0,0.0,0.0
11,random_topL,hard,D,0.55,1.0,940.2415692659976,0.22,1,0,0.08333333333333333,0.0
12,random_topL,hard,C,0.75,0.606571214589325,829.7597698262653,0.35,0,0,0.07692307692307693,0.0
13,random_topL,hard,E,0.9,0.3647013467465043,932.1639027746443,0.6,0,0,0.07142857142857142,0.0
14,random_topL,hard,D,0.55,0.9814719999999999,786.627826157158,0.22,1,0,0.13333333333333333,0.0
15,random_topL,hard,C,0.75,0.7133612987486164,891.1168950665782,0.35,0,0,0.125,0.0
16,random_topL,hard,E,0.9,0.5485337561700337,987.6761679807249,0.6,0,0,0.11764705882352941,0.0
17,random_topL,hard,D,0.55,0.9688456867839998,676.0944476147215,0.22,0,0,0.1111111111111111,0.0
18,random_topL,simple,A,0.8,0.3647013467465043,944.037989193846,1.0,0,0,0.10526315789473684,0.0
19,random_topL,hard,C,0.75,0.7277994608631191,790.3730720527296,0.35,0,0,0.1,0.0
20,random_topL,simple,A,0.8,0.5824247229204929,1244.7842749894426,1.0,1,0,0.14285714285714285,0.0
21,random_topL,hard,E,0.9,0.5894787705731157,906.803176662697,0.6,0,0,0.13636363636363635,0.0
22,random_topL,hard,D,0.55,0.8112907913699325,588.7216312461494,0.22,1,0,0.17391304347826086,0.0
23,random_topL,hard,E,0.9,0.7564923599318208,1281.758454862365,0.6,0,0,0.16666666666666666,0.0
24,random_topL,simple,A,0.8,0.6492774038847052,1245.0398162234242,1.0,0,0,0.16,0.0
25,random_topL,hard,C,0.75,0.6379930439840243,856.9295992258459,0.35,1,0,0.19230769230769232,0.0
26,random_topL,hard,D,0.55,0.7865273231952766,784.9620686900491,0.22,1,0,0.2222222222222222,0.0
27,random_topL,hard,C,0.75,0.7940618132612285,913.6146759659894,0.35,0,0,0.21428571428571427,0.0
28,random_topL,simple,B,0.95,0.3,353.979314776028,0.1,1,0,0.2413793103448276,0.0
29,random_topL,hard,C,0.75,0.9149214681894953,914.5447626965941,0.35,0,0,0.23333333333333334,0.0
30,random_topL,simple,B,0.95,0.53232,422.9731930285744,0.1,1,0,0.25806451612903225,0.0
31,random_topL,simple,D,0.85,0.7150755718854164,684.3439579920511,0.22,1,0,0.28125,0.0
32,random_topL,hard,D,0.55,0.9292665032591665,824.5372471856973,0.22,0,0,0.2727272727272727,0.0
33,random_topL,simple,D,0.85,1.0,850.7420141862532,0.22,1,0,0.29411764705882354,0.0
34,random_topL,hard,D,0.55,1.0,926.4945091949608,0.22,0,0,0.2857142857142857,0.0
35,random_topL,hard,E,0.9,0.4631535816367669,1135.2343282872625,0.6,0,0,0.2777777777777778,0.0
36,random_topL,simple,D,0.85,1.0,724.4191818683065,0.22,1,0,0.2972972972972973,0.0
37,random_topL,hard,C,0.75,0.6290373474467066,721.5541774073498,0.35,0,0,0.2894736842105263,0.0
38,random_topL,simple,D,0.85,1.0,774.3389476439305,0.22,1,0,0.3076923076923077,0.0
39,random_topL,hard,C,0.75,0.7871265218627296,910.9074300493919,0.35,1,0,0.325,0.0
40,random_topL,simple,B,0.95,0.4482516395493249,388.99843603917776,0.1,1,0,0.34146341463414637,0.0
41,random_topL,hard,E,0.9,0.5150904161207615,1030.2212141364525,0.6,0,0,0.3333333333333333,0.0
