t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,50,random,simple,D,0.8,5253.30376625061,1.0,1,none,pre
1,A_degraded,50,random,hard,C,0.55,730.7343482971191,1.0,1,none,pre
2,A_degraded,50,random,simple,J,0.92,9366.398811340332,0.275,1,none,pre
3,A_degraded,50,random,simple,I,0.95,12053.822755813599,0.44999999999999996,1,none,pre
4,A_degraded,50,random,simple,C,0.85,1152.2777080535889,0.15,1,none,pre
5,A_degraded,50,random,hard,I,0.2,1683.2928657531738,0.42500000000000004,1,none,pre
6,A_degraded,50,random,hard,E,0.75,8795.163631439209,0.44999999999999996,1,none,pre
7,A_degraded,50,random,hard,J,0.35,535.3643894195557,0.35,1,none,pre
8,A_degraded,50,random,simple,A,0.95,3276.948928833008,0.2,1,none,pre
9,A_degraded,50,random,hard,E,0.75,1470.0872898101807,0.95,1,none,pre
10,A_degraded,50,random,simple,E,0.75,9692.620277404785,0.44999999999999996,1,none,pre
11,A_degraded,50,random,hard,I,0.2,720.3779220581055,0.1,1,none,pre
12,A_degraded,50,random,simple,A,0.95,391.80946350097656,0.1,1,none,pre
13,A_degraded,50,random,hard,E,0.75,6681.088209152222,1.1,1,none,pre
14,A_degraded,50,random,hard,G,0.45,9291.234254837036,0.45,0,empty,pre
15,A_degraded,50,random,hard,I,0.2,8362.868070602417,0.2,1,none,pre
16,A_degraded,50,random,simple,I,0.95,655.7493209838867,0.1,1,none,pre
17,A_degraded,50,random,hard,E,0.75,1332.414150238037,0.35,1,none,pre
18,A_degraded,50,random,simple,A,0.95,566.586971282959,0.95,1,none,pre
19,A_degraded,50,random,simple,A,0.95,3791.110038757324,1.1,1,none,pre
20,A_degraded,50,random,simple,D,0.8,2465.102434158325,1.0,1,none,pre
21,A_degraded,50,random,hard,C,0.55,11150.022506713867,0.825,0,parse_error,pre
22,A_degraded,50,random,simple,C,0.85,764.0104293823242,0.15,1,none,pre
23,A_degraded,50,random,hard,I,0.2,9893.61310005188,0.25,1,none,pre
24,A_degraded,50,random,simple,A,0.95,403.914213180542,0.1,1,none,pre
25,A_degraded,50,random,hard,A,0.2,598.1452465057373,0.1,1,none,pre
26,A_degraded,50,random,simple,D,0.8,1888.225793838501,1.0,1,none,pre
27,A_degraded,50,random,simple,J,0.92,490.950345993042,0.1,1,none,pre
28,A_degraded,50,random,hard,C,0.55,10877.991199493408,0.5,1,none,pre
29,A_degraded,50,random,simple,C,0.85,708.1761360168457,0.15,1,none,pre
30,A_degraded,50,random,simple,A,0.95,3280.3962230682373,1.1,1,none,pre
31,A_degraded,50,random,simple,E,0.75,918.1466102600098,0.35,1,none,pre
32,A_degraded,50,random,simple,E,0.75,12782.699346542358,0.44999999999999996,1,none,pre
33,A_degraded,50,random,hard,E,0.75,1328.780174255371,1.2,1,none,pre
34,A_degraded,50,random,hard,E,0.75,1216.8529033660889,0.425,1,none,pre
35,A_degraded,50,random,hard,J,0.35,360.7594966888428,0.1,1,none,pre
36,A_degraded,50,random,simple,I,0.95,720.3795909881592,0.1,1,none,pre
37,A_degraded,50,random,simple,A,0.95,8358.248472213745,0.2,1,none,pre
38,A_degraded,50,random,simple,I,0.95,1738.9376163482666,0.1,1,none,pre
39,A_degraded,50,random,hard,A,0.2,9164.884090423584,1.25,1,none,pre
40,A_degraded,50,random,simple,I,0.95,617.2909736633301,0.1,1,none,pre
41,A_degraded,50,random,simple,D,0.8,13121.238231658936,1.1,1,none,pre
42,A_degraded,50,random,hard,J,0.35,703.5627365112305,0.1,1,none,pre
43,A_degraded,50,random,hard,A,0.2,519.148588180542,0.95,1,none,pre
44,A_degraded,50,random,simple,A,0.95,865.0820255279541,0.175,1,none,pre
45,A_degraded,50,random,hard,A,0.2,442.3849582672119,0.7,1,none,pre
46,A_degraded,50,random,hard,E,0.75,458.7547779083252,0.35,1,none,pre
47,A_degraded,50,random,simple,J,0.92,460.2174758911133,0.1,1,none,pre
48,A_degraded,50,random,simple,I,0.95,7911.546468734741,0.275,1,none,pre
49,A_degraded,50,random,simple,I,0.95,650.1765251159668,0.1,1,none,pre
50,A_degraded,50,random,simple,E,0.75,1288.665771484375,0.35,1,none,post
51,A_degraded,50,random,simple,E,0.75,4764.615297317505,1.35,1,none,post
52,A_degraded,50,random,simple,A,0.95,583.8284492492676,0.1,1,none,post
53,A_degraded,50,random,simple,I,0.95,725.1131534576416,0.35,1,none,post
54,A_degraded,50,random,simple,C,0.85,885.3302001953125,0.15,1,none,post
55,A_degraded,50,random,simple,J,0.92,479.198694229126,0.35,1,none,post
56,A_degraded,50,random,simple,A,0.95,484.8904609680176,0.1,1,none,post
57,A_degraded,50,random,hard,I,0.2,1420.534610748291,0.175,1,none,post
58,A_degraded,50,random,simple,E,0.75,1361.3269329071045,0.35,1,none,post
59,A_degraded,50,random,simple,J,0.92,459.69510078430176,0.1,1,none,post
60,A_degraded,50,random,hard,I,0.2,724.0583896636963,0.35,1,none,post
61,A_degraded,50,random,hard,J,0.35,442.58904457092285,0.1,1,none,post
62,A_degraded,50,random,hard,I,0.2,668.0099964141846,0.1,1,none,post
63,A_degraded,50,random,simple,A,0.95,523.9770412445068,0.95,1,none,post
64,A_degraded,50,random,hard,D,0.95,11616.064071655273,1.7,0,empty,post
65,A_degraded,50,random,hard,D,0.95,22428.93385887146,1.35,0,empty,post
66,A_degraded,50,random,simple,I,0.95,767.503023147583,0.1,1,none,post
67,A_degraded,50,random,simple,G,0.9,8971.37451171875,0.425,0,empty,post
68,A_degraded,50,random,hard,A,0.2,850.1443862915039,0.175,1,none,post
69,A_degraded,50,random,simple,I,0.95,790.6520366668701,0.1,1,none,post
70,A_degraded,50,random,simple,J,0.92,783.0688953399658,0.1,1,none,post
71,A_degraded,50,random,simple,E,0.75,1616.222858428955,0.35,1,none,post
72,A_degraded,50,random,hard,I,0.2,614.3596172332764,0.1,1,none,post
73,A_degraded,50,random,simple,I,0.95,890.7558917999268,0.1,1,none,post
74,A_degraded,50,random,hard,D,0.95,2998.9266395568848,1.0,1,none,post
75,A_degraded,50,random,hard,J,0.35,3921.2639331817627,1.1,1,none,post
76,A_degraded,50,random,simple,I,0.95,710.1922035217285,0.1,1,none,post
77,A_degraded,50,random,simple,G,0.9,605.5712699890137,0.9249999999999999,0,empty,post
78,A_degraded,50,random,hard,E,0.75,1983.644962310791,0.35,1,none,post
79,A_degraded,50,random,simple,A,0.95,429.1415214538574,0.1,1,none,post
80,A_degraded,50,random,hard,E,0.75,1729.29048538208,0.35,1,none,post
81,A_degraded,50,random,simple,I,0.95,599.9650955200195,0.1,1,none,post
82,A_degraded,50,random,simple,A,0.95,383.50486755371094,0.1,1,none,post
83,A_degraded,50,random,hard,J,0.35,506.70909881591797,0.1,1,none,post
84,A_degraded,50,random,simple,I,0.95,667.3705577850342,0.1,1,none,post
85,A_degraded,50,random,hard,J,0.35,461.4291191101074,0.1,1,none,post
86,A_degraded,50,random,simple,C,0.85,13730.249404907227,0.25,1,none,post
87,A_degraded,50,random,simple,E,0.75,511.9805335998535,0.35,1,none,post
88,A_degraded,50,random,simple,C,0.85,765.5060291290283,0.15,1,none,post
89,A_degraded,50,random,hard,C,0.55,716.3512706756592,0.15,1,none,post
90,A_degraded,50,random,hard,I,0.2,7531.624794006348,0.85,1,none,post
91,A_degraded,50,random,hard,A,0.2,427.8526306152344,0.1,1,none,post
92,A_degraded,50,random,simple,J,0.92,512.5348567962646,0.1,1,none,post
93,A_degraded,50,random,hard,E,0.75,655.5895805358887,0.95,1,none,post
94,A_degraded,50,random,simple,E,0.75,1334.165096282959,0.6,1,none,post
95,A_degraded,50,random,hard,F,0.9,3485.1462841033936,1.85,0,empty,post
96,A_degraded,50,random,simple,E,0.75,1535.3009700775146,0.35,1,none,post
97,A_degraded,50,random,simple,H,0.95,13839.25485610962,0.7749999999999999,0,parse_error,post
98,A_degraded,50,random,hard,I,0.2,806.9295883178711,0.7,1,none,post
99,A_degraded,50,random,hard,D,0.95,2605.604887008667,1.0,1,none,post
