t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,50,random_topL,simple,I,0.95,634.5486640930176,0.1,1,none,pre
1,A_degraded,50,random_topL,hard,E,0.75,3388.2687091827393,1.9500000000000002,1,none,pre
2,A_degraded,50,random_topL,simple,I,0.95,1155.3301811218262,0.175,1,none,pre
3,A_degraded,50,random_topL,simple,A,0.95,388.50951194763184,0.1,1,none,pre
4,A_degraded,50,random_topL,simple,I,0.95,764.4917964935303,0.1,1,none,pre
5,A_degraded,50,random_topL,hard,E,0.75,478.69348526000977,0.35,1,none,pre
6,A_degraded,50,random_topL,hard,E,0.75,4015.8016681671143,1.9500000000000002,1,none,pre
7,A_degraded,50,random_topL,hard,E,0.75,789.2520427703857,0.35,1,none,pre
8,A_degraded,50,random_topL,simple,A,0.95,456.6354751586914,0.1,1,none,pre
9,A_degraded,50,random_topL,hard,E,0.75,3658.647298812866,1.9500000000000002,1,none,pre
10,A_degraded,50,random_topL,simple,I,0.95,1104.1991710662842,0.175,1,none,pre
11,A_degraded,50,random_topL,hard,E,0.75,1239.6836280822754,0.35,1,none,pre
12,A_degraded,50,random_topL,simple,A,0.95,395.22743225097656,0.1,1,none,pre
13,A_degraded,50,random_topL,hard,D,0.95,2472.2158908843994,1.0,1,none,pre
14,A_degraded,50,random_topL,hard,E,0.75,4166.475772857666,1.9500000000000002,1,none,pre
15,A_degraded,50,random_topL,hard,D,0.95,1682.5613975524902,1.6,1,none,pre
16,A_degraded,50,random_topL,simple,I,0.95,684.6437454223633,0.1,1,none,pre
17,A_degraded,50,random_topL,hard,D,0.95,2255.244016647339,1.0,1,none,pre
18,A_degraded,50,random_topL,simple,I,0.95,612.8370761871338,0.1,1,none,pre
19,A_degraded,50,random_topL,simple,I,0.95,631.6709518432617,0.1,1,none,pre
20,A_degraded,50,random_topL,simple,A,0.95,781.3000679016113,0.175,1,none,pre
21,A_degraded,50,random_topL,hard,D,0.95,1973.3185768127441,1.0,1,none,pre
22,A_degraded,50,random_topL,simple,A,0.95,1002.3386478424072,0.175,1,none,pre
23,A_degraded,50,random_topL,hard,D,0.95,2805.694580078125,1.6,1,none,pre
