t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,50,linucb_frozen,simple,A,0.95,406.1250686645508,0.1,1,none,pre
1,A_unavailable,50,linucb_frozen,hard,E,0.75,4601.008892059326,1.9500000000000002,1,none,pre
2,A_unavailable,50,linucb_frozen,simple,A,0.95,431.0429096221924,0.1,1,none,pre
3,A_unavailable,50,linucb_frozen,simple,A,0.95,405.08556365966797,0.1,1,none,pre
4,A_unavailable,50,linucb_frozen,simple,A,0.95,451.2040615081787,0.1,1,none,pre
5,A_unavailable,50,linucb_frozen,hard,E,0.75,4377.849102020264,1.9500000000000002,1,none,pre
6,A_unavailable,50,linucb_frozen,hard,E,0.75,4836.14182472229,1.9500000000000002,1,none,pre
7,A_unavailable,50,linucb_frozen,hard,D,0.95,2841.45188331604,1.0,1,none,pre
8,A_unavailable,50,linucb_frozen,simple,A,0.95,470.2134132385254,0.1,1,none,pre
9,A_unavailable,50,linucb_frozen,hard,D,0.95,2288.5076999664307,1.0,1,none,pre
10,A_unavailable,50,linucb_frozen,simple,A,0.95,398.1971740722656,0.1,1,none,pre
11,A_unavailable,50,linucb_frozen,hard,E,0.75,4716.247320175171,1.9500000000000002,1,none,pre
12,A_unavailable,50,linucb_frozen,simple,A,0.95,427.6084899902344,0.1,1,none,pre
13,A_unavailable,50,linucb_frozen,hard,D,0.95,3069.8230266571045,1.0,1,none,pre
14,A_unavailable,50,linucb_frozen,hard,E,0.75,3747.751474380493,1.9500000000000002,1,none,pre
15,A_unavailable,50,linucb_frozen,hard,D,0.95,2570.566415786743,1.0,1,none,pre
16,A_unavailable,50,linucb_frozen,simple,A,0.95,337.39376068115234,0.1,1,none,pre
17,A_unavailable,50,linucb_frozen,hard,D,0.95,2962.0108604431152,1.0,1,none,pre
18,A_unavailable,50,linucb_frozen,simple,A,0.95,563.8587474822998,0.1,1,none,pre
19,A_unavailable,50,linucb_frozen,simple,A,0.95,368.48974227905273,0.1,1,none,pre
20,A_unavailable,50,linucb_frozen,simple,A,0.95,442.58904457092285,0.1,1,none,pre
21,A_unavailable,50,linucb_frozen,hard,D,0.95,2351.864814758301,1.0,1,none,pre
22,A_unavailable,50,linucb_frozen,simple,A,0.95,426.2583255767822,0.1,1,none,pre
23,A_unavailable,50,linucb_frozen,hard,D,0.95,3338.243007659912,1.0,1,none,pre
24,A_unavailable,50,linucb_frozen,simple,A,0.95,497.2577095031738,0.1,1,none,pre
25,A_unavailable,50,linucb_frozen,hard,D,0.95,1526.02219581604,1.0,1,none,pre
26,A_unavailable,50,linucb_frozen,simple,A,0.95,487.4274730682373,0.1,1,none,pre
27,A_unavailable,50,linucb_frozen,simple,A,0.95,418.71142387390137,0.1,1,none,pre
28,A_unavailable,50,linucb_frozen,hard,D,0.95,2420.9365844726562,1.0,1,none,pre
29,A_unavailable,50,linucb_frozen,simple,I,0.95,1715.4717445373535,0.275,1,none,pre
30,A_unavailable,50,linucb_frozen,simple,A,0.95,392.12918281555176,0.1,1,none,pre
31,A_unavailable,50,linucb_frozen,simple,A,0.95,469.2203998565674,0.1,1,none,pre
32,A_unavailable,50,linucb_frozen,simple,A,0.95,429.34107780456543,0.1,1,none,pre
33,A_unavailable,50,linucb_frozen,hard,D,0.95,1472.9282855987549,1.0,1,none,pre
34,A_unavailable,50,linucb_frozen,hard,E,0.75,4212.288856506348,1.35,1,none,pre
35,A_unavailable,50,linucb_frozen,hard,E,0.75,5455.280065536499,1.35,1,none,pre
36,A_unavailable,50,linucb_frozen,simple,A,0.95,385.0667476654053,0.1,1,none,pre
37,A_unavailable,50,linucb_frozen,simple,A,0.95,490.05126953125,0.1,1,none,pre
38,A_unavailable,50,linucb_frozen,simple,I,0.95,1485.7642650604248,0.275,1,none,pre
39,A_unavailable,50,linucb_frozen,hard,E,0.75,4591.473340988159,1.35,1,none,pre
40,A_unavailable,50,linucb_frozen,simple,A,0.95,418.3163642883301,0.1,1,none,pre
41,A_unavailable,50,linucb_frozen,simple,A,0.95,364.79735374450684,0.1,1,none,pre
42,A_unavailable,50,linucb_frozen,hard,E,0.75,3360.6178760528564,1.35,1,none,pre
43,A_unavailable,50,linucb_frozen,hard,D,0.95,2082.3936462402344,1.0,1,none,pre
44,A_unavailable,50,linucb_frozen,simple,A,0.95,405.59911727905273,0.1,1,none,pre
45,A_unavailable,50,linucb_frozen,hard,D,0.95,2654.644250869751,1.0,1,none,pre
46,A_unavailable,50,linucb_frozen,hard,D,0.95,1804.3813705444336,1.0,1,none,pre
47,A_unavailable,50,linucb_frozen,simple,A,0.95,353.32179069519043,0.1,1,none,pre
48,A_unavailable,50,linucb_frozen,simple,A,0.95,466.0365581512451,0.1,1,none,pre
