t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,50,random_topL,simple,A,0.95,438.5683536529541,0.1,1,none,pre
1,A_unavailable,50,random_topL,hard,D,0.95,2958.4381580352783,1.0,1,none,pre
2,A_unavailable,50,random_topL,simple,A,0.95,1044.9860095977783,0.175,1,none,pre
3,A_unavailable,50,random_topL,simple,A,0.95,902.9366970062256,0.175,1,none,pre
4,A_unavailable,50,random_topL,simple,I,0.95,694.7388648986816,0.1,1,none,pre
5,A_unavailable,50,random_topL,hard,E,0.75,4684.778690338135,1.9500000000000002,1,none,pre
6,A_unavailable,50,random_topL,hard,E,0.75,683.4001541137695,0.35,1,none,pre
7,A_unavailable,50,random_topL,hard,E,0.75,1268.754005432129,0.95,1,none,pre
8,A_unavailable,50,random_topL,simple,A,0.95,465.5427932739258,0.1,1,none,pre
9,A_unavailable,50,random_topL,hard,D,0.95,1684.2591762542725,1.0,1,none,pre
10,A_unavailable,50,random_topL,simple,I,0.95,1139.735460281372,0.175,1,none,pre
11,A_unavailable,50,random_topL,hard,D,0.95,1937.4122619628906,1.0,1,none,pre
12,A_unavailable,50,random_topL,simple,I,0.95,1176.8558025360107,0.175,1,none,pre
13,A_unavailable,50,random_topL,hard,E,0.75,1312.936544418335,0.95,1,none,pre
14,A_unavailable,50,random_topL,hard,D,0.95,2736.207962036133,1.6,1,none,pre
15,A_unavailable,50,random_topL,hard,D,0.95,2082.0529460906982,1.0,1,none,pre
16,A_unavailable,50,random_topL,simple,A,0.95,890.0840282440186,0.175,1,none,pre
17,A_unavailable,50,random_topL,hard,E,0.75,4388.045072555542,1.9500000000000002,1,none,pre
18,A_unavailable,50,random_topL,simple,A,0.95,485.95571517944336,0.1,1,none,pre
19,A_unavailable,50,random_topL,simple,A,0.95,430.1896095275879,0.1,1,none,pre
20,A_unavailable,50,random_topL,simple,A,0.95,1060.5173110961914,0.175,1,none,pre
21,A_unavailable,50,random_topL,hard,E,0.75,1478.1157970428467,0.95,1,none,pre
22,A_unavailable,50,random_topL,simple,A,0.95,392.3225402832031,0.1,1,none,pre
23,A_unavailable,50,random_topL,hard,E,0.75,1398.3526229858398,0.35,1,none,pre
24,A_unavailable,50,random_topL,simple,I,0.95,696.6888904571533,0.1,1,none,pre
25,A_unavailable,50,random_topL,hard,E,0.75,641.0491466522217,0.95,1,none,pre
26,A_unavailable,50,random_topL,simple,I,0.95,2064.0063285827637,0.1,1,none,pre
27,A_unavailable,50,random_topL,simple,A,0.95,1044.9764728546143,0.175,1,none,pre
28,A_unavailable,50,random_topL,hard,D,0.95,1893.3804035186768,1.6,1,none,pre
29,A_unavailable,50,random_topL,simple,I,0.95,1801.2382984161377,0.275,1,none,pre
30,A_unavailable,50,random_topL,simple,I,0.95,887.986421585083,0.1,1,none,pre
31,A_unavailable,50,random_topL,simple,A,0.95,391.19863510131836,0.1,1,none,pre
32,A_unavailable,50,random_topL,simple,A,0.95,1020.1213359832764,0.175,1,none,pre
33,A_unavailable,50,random_topL,hard,E,0.75,2032.485008239746,0.95,1,none,pre
34,A_unavailable,50,random_topL,hard,E,0.75,4064.8105144500732,1.9500000000000002,1,none,pre
35,A_unavailable,50,random_topL,hard,E,0.75,718.2116508483887,0.35,1,none,pre
36,A_unavailable,50,random_topL,simple,I,0.95,2946.967124938965,0.175,1,none,pre
37,A_unavailable,50,random_topL,simple,A,0.95,1071.7508792877197,0.175,1,none,pre
38,A_unavailable,50,random_topL,simple,I,0.95,1607.583999633789,0.275,1,none,pre
39,A_unavailable,50,random_topL,hard,E,0.75,1434.502363204956,0.35,1,none,pre
40,A_unavailable,50,random_topL,simple,I,0.95,645.5488204956055,0.1,1,none,pre
41,A_unavailable,50,random_topL,simple,I,0.95,660.9489917755127,0.1,1,none,pre
42,A_unavailable,50,random_topL,hard,E,0.75,2979.910373687744,0.35,1,none,pre
43,A_unavailable,50,random_topL,hard,D,0.95,2644.5515155792236,1.0,1,none,pre
44,A_unavailable,50,random_topL,simple,A,0.95,1045.0034141540527,0.175,1,none,pre
45,A_unavailable,50,random_topL,hard,E,0.75,5537.994384765625,1.35,1,none,pre
46,A_unavailable,50,random_topL,hard,D,0.95,6812.269926071167,1.6,1,none,pre
47,A_unavailable,50,random_topL,simple,I,0.95,624.9740123748779,0.1,1,none,pre
48,A_unavailable,50,random_topL,simple,I,0.95,741.5592670440674,0.1,1,none,pre
49,A_unavailable,50,random_topL,simple,I,0.95,859.9588871002197,0.1,1,none,pre
50,A_unavailable,50,random_topL,simple,I,0.95,4579.714155197144,0.275,1,none,post
51,A_unavailable,50,random_topL,simple,I,0.95,1315.746784210205,0.175,1,none,post
52,A_unavailable,50,random_topL,simple,I,0.95,4238.056039810181,0.2,1,none,post
53,A_unavailable,50,random_topL,simple,I,0.95,705.4953575134277,0.1,1,none,post
54,A_unavailable,50,random_topL,simple,I,0.95,673.9850044250488,0.1,1,none,post
55,A_unavailable,50,random_topL,simple,I,0.95,4483.176803588867,0.275,1,none,post
56,A_unavailable,50,random_topL,simple,I,0.95,4920.032358169556,0.275,1,none,post
57,A_unavailable,50,random_topL,hard,D,0.95,2554.198741912842,1.0,1,none,post
58,A_unavailable,50,random_topL,simple,I,0.95,4426.6661167144775,0.275,1,none,post
59,A_unavailable,50,random_topL,simple,I,0.95,1090.172290802002,0.175,1,none,post
60,A_unavailable,50,random_topL,hard,E,0.75,446.1071491241455,0.35,1,none,post
61,A_unavailable,50,random_topL,hard,D,0.95,1864.1693592071533,1.0,1,none,post
62,A_unavailable,50,random_topL,hard,E,0.75,631.7734718322754,0.95,1,none,post
63,A_unavailable,50,random_topL,simple,I,0.95,4621.740198135376,0.275,1,none,post
64,A_unavailable,50,random_topL,hard,E,0.75,5668.846130371094,1.9500000000000002,1,none,post
65,A_unavailable,50,random_topL,hard,D,0.95,2813.835620880127,1.0,1,none,post
66,A_unavailable,50,random_topL,simple,I,0.95,4495.180463790894,0.275,1,none,post
67,A_unavailable,50,random_topL,simple,I,0.95,4465.264415740967,0.275,1,none,post
68,A_unavailable,50,random_topL,hard,D,0.95,1283.9891910552979,1.0,1,none,post
69,A_unavailable,50,random_topL,simple,I,0.95,1127.434492111206,0.175,1,none,post
70,A_unavailable,50,random_topL,simple,I,0.95,4834.139442443848,0.275,1,none,post
71,A_unavailable,50,random_topL,simple,I,0.95,1127.8696060180664,0.175,1,none,post
72,A_unavailable,50,random_topL,hard,E,0.75,593.9121246337891,0.35,1,none,post
73,A_unavailable,50,random_topL,simple,I,0.95,4519.097185134888,0.275,1,none,post
74,A_unavailable,50,random_topL,hard,E,0.75,4236.645221710205,1.35,1,none,post
75,A_unavailable,50,random_topL,hard,E,0.75,5398.111343383789,1.9500000000000002,1,none,post
76,A_unavailable,50,random_topL,simple,I,0.95,4984.667873382568,0.275,1,none,post
77,A_unavailable,50,random_topL,simple,I,0.95,4566.039419174194,0.275,1,none,post
78,A_unavailable,50,random_topL,hard,D,0.95,1691.1582946777344,1.0,1,none,post
79,A_unavailable,50,random_topL,simple,I,0.95,4437.9998207092285,0.275,1,none,post
80,A_unavailable,50,random_topL,hard,E,0.75,1674.4444370269775,0.35,1,none,post
81,A_unavailable,50,random_topL,simple,I,0.95,4785.859441757202,0.275,1,none,post
82,A_unavailable,50,random_topL,simple,I,0.95,4951.818561553955,0.275,1,none,post
83,A_unavailable,50,random_topL,hard,E,0.75,1169.6784496307373,0.35,1,none,post
84,A_unavailable,50,random_topL,simple,I,0.95,4565.718984603882,0.275,1,none,post
