t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,none,50,linucb_frozen,simple,A,0.95,381.8526268005371,0.1,1,none,all
1,none,50,linucb_frozen,hard,E,0.75,4248.144626617432,1.9500000000000002,1,none,all
2,none,50,linucb_frozen,simple,A,0.95,405.3468704223633,0.1,1,none,all
3,none,50,linucb_frozen,simple,A,0.95,523.5288143157959,0.1,1,none,all
4,none,50,linucb_frozen,simple,A,0.95,351.2582778930664,0.1,1,none,all
5,none,50,linucb_frozen,hard,D,0.95,2084.237813949585,1.0,1,none,all
6,none,50,linucb_frozen,hard,D,0.95,2208.7652683258057,1.0,1,none,all
7,none,50,linucb_frozen,hard,D,0.95,1768.446683883667,1.0,1,none,all
8,none,50,linucb_frozen,simple,A,0.95,382.5488090515137,0.1,1,none,all
9,none,50,linucb_frozen,hard,D,0.95,2118.5142993927,1.0,1,none,all
10,none,50,linucb_frozen,simple,A,0.95,402.45938301086426,0.1,1,none,all
11,none,50,linucb_frozen,hard,E,0.75,3962.0347023010254,1.35,1,none,all
12,none,50,linucb_frozen,simple,A,0.95,435.2738857269287,0.1,1,none,all
13,none,50,linucb_frozen,hard,E,0.75,4883.177280426025,1.9500000000000002,1,none,all
14,none,50,linucb_frozen,hard,E,0.75,5234.81011390686,1.9500000000000002,1,none,all
15,none,50,linucb_frozen,hard,D,0.95,1384.6344947814941,1.0,1,none,all
16,none,50,linucb_frozen,simple,A,0.95,417.47522354125977,0.1,1,none,all
17,none,50,linucb_frozen,hard,D,0.95,2307.0173263549805,1.0,1,none,all
18,none,50,linucb_frozen,simple,A,0.95,608.9959144592285,0.1,1,none,all
19,none,50,linucb_frozen,simple,A,0.95,366.565465927124,0.1,1,none,all
20,none,50,linucb_frozen,simple,A,0.95,409.12914276123047,0.1,1,none,all
21,none,50,linucb_frozen,hard,D,0.95,3345.07155418396,1.0,1,none,all
22,none,50,linucb_frozen,simple,A,0.95,383.5461139678955,0.1,1,none,all
23,none,50,linucb_frozen,hard,D,0.95,2975.757122039795,1.0,1,none,all
24,none,50,linucb_frozen,simple,A,0.95,371.2184429168701,0.1,1,none,all
25,none,50,linucb_frozen,hard,D,0.95,1281.8505764007568,1.0,1,none,all
26,none,50,linucb_frozen,simple,A,0.95,376.5265941619873,0.1,1,none,all
27,none,50,linucb_frozen,simple,A,0.95,392.48108863830566,0.1,1,none,all
28,none,50,linucb_frozen,hard,D,0.95,1909.6791744232178,1.0,1,none,all
29,none,50,linucb_frozen,simple,I,0.95,2190.2451515197754,0.275,1,none,all
30,none,50,linucb_frozen,simple,A,0.95,465.67845344543457,0.1,1,none,all
31,none,50,linucb_frozen,simple,A,0.95,372.55239486694336,0.1,1,none,all
32,none,50,linucb_frozen,simple,A,0.95,395.99013328552246,0.1,1,none,all
33,none,50,linucb_frozen,hard,D,0.95,1236.9840145111084,1.0,1,none,all
34,none,50,linucb_frozen,hard,E,0.75,5142.632484436035,1.35,1,none,all
35,none,50,linucb_frozen,hard,D,0.95,2462.2323513031006,1.0,1,none,all
36,none,50,linucb_frozen,simple,A,0.95,475.16703605651855,0.1,1,none,all
37,none,50,linucb_frozen,simple,A,0.95,386.6705894470215,0.1,1,none,all
38,none,50,linucb_frozen,simple,I,0.95,2004.1167736053467,0.275,1,none,all
39,none,50,linucb_frozen,hard,D,0.95,1471.3590145111084,1.0,1,none,all
40,none,50,linucb_frozen,simple,A,0.95,420.3159809112549,0.1,1,none,all
41,none,50,linucb_frozen,simple,A,0.95,392.64988899230957,0.1,1,none,all
42,none,50,linucb_frozen,hard,D,0.95,1715.1527404785156,1.0,1,none,all
43,none,50,linucb_frozen,hard,E,0.75,5246.374845504761,1.35,1,none,all
44,none,50,linucb_frozen,simple,A,0.95,429.0146827697754,0.1,1,none,all
45,none,50,linucb_frozen,hard,D,0.95,1897.3252773284912,1.0,1,none,all
46,none,50,linucb_frozen,hard,E,0.75,4337.512969970703,1.35,1,none,all
47,none,50,linucb_frozen,simple,A,0.95,401.9460678100586,0.1,1,none,all
48,none,50,linucb_frozen,simple,A,0.95,334.9413871765137,0.1,1,none,all
49,none,50,linucb_frozen,simple,A,0.95,468.3802127838135,0.1,1,none,all
50,none,50,linucb_frozen,simple,A,0.95,382.37547874450684,0.1,1,none,all
51,none,50,linucb_frozen,simple,A,0.95,390.8834457397461,0.1,1,none,all
52,none,50,linucb_frozen,simple,A,0.95,500.9112358093262,0.1,1,none,all
53,none,50,linucb_frozen,simple,A,0.95,385.5774402618408,0.1,1,none,all
54,none,50,linucb_frozen,simple,A,0.95,431.94580078125,0.1,1,none,all
55,none,50,linucb_frozen,simple,A,0.95,621.4277744293213,0.1,1,none,all
56,none,50,linucb_frozen,simple,A,0.95,383.0382823944092,0.1,1,none,all
57,none,50,linucb_frozen,hard,D,0.95,1614.1538619995117,1.0,1,none,all
58,none,50,linucb_frozen,simple,A,0.95,422.93524742126465,0.1,1,none,all
59,none,50,linucb_frozen,simple,A,0.95,415.2836799621582,0.1,1,none,all
60,none,50,linucb_frozen,hard,E,0.75,4923.195123672485,1.35,1,none,all
61,none,50,linucb_frozen,hard,D,0.95,1534.377098083496,1.0,1,none,all
62,none,50,linucb_frozen,hard,E,0.75,4568.959474563599,1.35,1,none,all
63,none,50,linucb_frozen,simple,A,0.95,514.3358707427979,0.1,1,none,all
64,none,50,linucb_frozen,hard,E,0.75,4496.559381484985,1.35,1,none,all
65,none,50,linucb_frozen,hard,D,0.95,2376.734733581543,1.0,1,none,all
66,none,50,linucb_frozen,simple,A,0.95,523.8332748413086,0.1,1,none,all
67,none,50,linucb_frozen,simple,A,0.95,474.87497329711914,0.1,1,none,all
68,none,50,linucb_frozen,hard,D,0.95,2647.679328918457,1.0,1,none,all
69,none,50,linucb_frozen,simple,A,0.95,350.9185314178467,0.1,1,none,all
70,none,50,linucb_frozen,simple,A,0.95,392.93432235717773,0.1,1,none,all
71,none,50,linucb_frozen,simple,A,0.95,439.48841094970703,0.1,1,none,all
72,none,50,linucb_frozen,hard,E,0.75,4162.2796058654785,1.35,1,none,all
73,none,50,linucb_frozen,simple,A,0.95,426.30672454833984,0.1,1,none,all
