t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,250,linucb,simple,A,0.95,447.5054740905762,0.1,1,none,pre
1,A_degraded,250,linucb,hard,D,0.95,2832.484006881714,1.0,1,none,pre
2,A_degraded,250,linucb,simple,A,0.95,579.0920257568359,0.1,1,none,pre
3,A_degraded,250,linucb,simple,A,0.95,412.33181953430176,0.1,1,none,pre
4,A_degraded,250,linucb,simple,A,0.95,488.20042610168457,0.1,1,none,pre
5,A_degraded,250,linucb,hard,E,0.75,3788.18416595459,1.9500000000000002,1,none,pre
6,A_degraded,250,linucb,hard,D,0.95,1699.19753074646,1.0,1,none,pre
7,A_degraded,250,linucb,hard,D,0.95,1701.974868774414,1.0,1,none,pre
8,A_degraded,250,linucb,simple,A,0.95,447.7860927581787,0.1,1,none,pre
9,A_degraded,250,linucb,hard,E,0.75,5139.586687088013,1.9500000000000002,1,none,pre
10,A_degraded,250,linucb,simple,A,0.95,471.18163108825684,0.1,1,none,pre
11,A_degraded,250,linucb,hard,E,0.75,4428.390979766846,1.9500000000000002,1,none,pre
12,A_degraded,250,linucb,simple,A,0.95,480.9451103210449,0.1,1,none,pre
13,A_degraded,250,linucb,hard,E,0.75,3158.6697101593018,1.9500000000000002,1,none,pre
14,A_degraded,250,linucb,hard,D,0.95,2628.9587020874023,1.0,1,none,pre
15,A_degraded,250,linucb,hard,E,0.75,4409.66010093689,1.9500000000000002,1,none,pre
16,A_degraded,250,linucb,simple,A,0.95,531.0442447662354,0.1,1,none,pre
17,A_degraded,250,linucb,hard,D,0.95,2058.4704875946045,1.0,1,none,pre
18,A_degraded,250,linucb,simple,A,0.95,499.74679946899414,0.1,1,none,pre
19,A_degraded,250,linucb,simple,A,0.95,520.0061798095703,0.1,1,none,pre
20,A_degraded,250,linucb,simple,A,0.95,508.87560844421387,0.1,1,none,pre
21,A_degraded,250,linucb,hard,D,0.95,2809.0152740478516,1.0,1,none,pre
22,A_degraded,250,linucb,simple,A,0.95,640.723466873169,0.1,1,none,pre
23,A_degraded,250,linucb,hard,D,0.95,2077.472925186157,1.0,1,none,pre
24,A_degraded,250,linucb,simple,A,0.95,530.1253795623779,0.1,1,none,pre
25,A_degraded,250,linucb,hard,E,0.75,4601.001501083374,1.35,1,none,pre
26,A_degraded,250,linucb,simple,A,0.95,429.1238784790039,0.1,1,none,pre
27,A_degraded,250,linucb,simple,A,0.95,529.8740863800049,0.1,1,none,pre
28,A_degraded,250,linucb,hard,D,0.95,1819.962739944458,1.0,1,none,pre
29,A_degraded,250,linucb,simple,I,0.95,1869.7192668914795,0.275,1,none,pre
30,A_degraded,250,linucb,simple,A,0.95,600.3439426422119,0.1,1,none,pre
31,A_degraded,250,linucb,simple,A,0.95,489.6807670593262,0.1,1,none,pre
32,A_degraded,250,linucb,simple,A,0.95,460.1397514343262,0.1,1,none,pre
33,A_degraded,250,linucb,hard,E,0.75,4040.0402545928955,1.35,1,none,pre
34,A_degraded,250,linucb,hard,E,0.75,4610.251188278198,1.35,1,none,pre
35,A_degraded,250,linucb,hard,D,0.95,2689.866542816162,1.0,1,none,pre
36,A_degraded,250,linucb,simple,A,0.95,729.8398017883301,0.1,1,none,pre
37,A_degraded,250,linucb,simple,A,0.95,570.049524307251,0.1,1,none,pre
38,A_degraded,250,linucb,simple,I,0.95,1989.2656803131104,0.275,1,none,pre
39,A_degraded,250,linucb,hard,E,0.75,5159.919023513794,1.35,1,none,pre
40,A_degraded,250,linucb,simple,A,0.95,609.0950965881348,0.1,1,none,pre
41,A_degraded,250,linucb,simple,A,0.95,720.6625938415527,0.1,1,none,pre
42,A_degraded,250,linucb,hard,D,0.95,1930.2165508270264,1.0,1,none,pre
43,A_degraded,250,linucb,hard,D,0.95,1719.8994159698486,1.0,1,none,pre
44,A_degraded,250,linucb,simple,A,0.95,1088.6926651000977,0.1,1,none,pre
45,A_degraded,250,linucb,hard,E,0.75,4368.706941604614,1.35,1,none,pre
46,A_degraded,250,linucb,hard,D,0.95,1991.6841983795166,1.0,1,none,pre
47,A_degraded,250,linucb,simple,A,0.95,508.03565979003906,0.1,1,none,pre
48,A_degraded,250,linucb,simple,A,0.95,500.164270401001,0.1,1,none,pre
49,A_degraded,250,linucb,simple,A,0.95,999.0870952606201,0.1,1,none,pre
50,A_degraded,250,linucb,simple,A,0.95,429.9640655517578,0.1,1,none,pre
51,A_degraded,250,linucb,simple,A,0.95,369.8701858520508,0.1,1,none,pre
52,A_degraded,250,linucb,simple,A,0.95,410.05921363830566,0.1,1,none,pre
53,A_degraded,250,linucb,simple,A,0.95,559.9827766418457,0.1,1,none,pre
54,A_degraded,250,linucb,simple,A,0.95,459.85960960388184,0.1,1,none,pre
55,A_degraded,250,linucb,simple,A,0.95,450.88720321655273,0.1,1,none,pre
56,A_degraded,250,linucb,simple,A,0.95,409.12485122680664,0.1,1,none,pre
57,A_degraded,250,linucb,hard,D,0.95,2932.3983192443848,1.0,1,none,pre
58,A_degraded,250,linucb,simple,A,0.95,537.1618270874023,0.1,1,none,pre
59,A_degraded,250,linucb,simple,A,0.95,449.76234436035156,0.1,1,none,pre
60,A_degraded,250,linucb,hard,E,0.75,4280.628442764282,1.35,1,none,pre
61,A_degraded,250,linucb,hard,D,0.95,2737.287998199463,1.0,1,none,pre
62,A_degraded,250,linucb,hard,D,0.95,2799.192190170288,1.0,1,none,pre
63,A_degraded,250,linucb,simple,A,0.95,429.6224117279053,0.1,1,none,pre
64,A_degraded,250,linucb,hard,D,0.95,1509.6960067749023,1.0,1,none,pre
65,A_degraded,250,linucb,hard,D,0.95,3389.388084411621,1.0,1,none,pre
66,A_degraded,250,linucb,simple,A,0.95,431.3850402832031,0.1,1,none,pre
67,A_degraded,250,linucb,simple,A,0.95,476.41682624816895,0.1,1,none,pre
68,A_degraded,250,linucb,hard,D,0.95,1489.074945449829,1.0,1,none,pre
69,A_degraded,250,linucb,simple,A,0.95,509.6569061279297,0.1,1,none,pre
70,A_degraded,250,linucb,simple,A,0.95,650.9284973144531,0.1,1,none,pre
71,A_degraded,250,linucb,simple,A,0.95,486.79375648498535,0.1,1,none,pre
72,A_degraded,250,linucb,hard,D,0.95,1929.687261581421,1.0,1,none,pre
73,A_degraded,250,linucb,simple,A,0.95,430.0236701965332,0.1,1,none,pre
74,A_degraded,250,linucb,hard,D,0.95,2230.1888465881348,1.0,1,none,pre
75,A_degraded,250,linucb,hard,E,0.75,5069.530010223389,1.35,1,none,pre
76,A_degraded,250,linucb,simple,A,0.95,440.29903411865234,0.1,1,none,pre
77,A_degraded,250,linucb,simple,A,0.95,420.90582847595215,0.1,1,none,pre
78,A_degraded,250,linucb,hard,D,0.95,2637.822151184082,1.0,1,none,pre
79,A_degraded,250,linucb,simple,A,0.95,489.408016204834,0.1,1,none,pre
80,A_degraded,250,linucb,hard,E,0.75,4460.18648147583,1.35,1,none,pre
81,A_degraded,250,linucb,simple,A,0.95,469.3183898925781,0.1,1,none,pre
82,A_degraded,250,linucb,simple,A,0.95,389.0717029571533,0.1,1,none,pre
83,A_degraded,250,linucb,hard,E,0.75,3719.8102474212646,1.35,1,none,pre
84,A_degraded,250,linucb,simple,A,0.95,509.9220275878906,0.1,1,none,pre
85,A_degraded,250,linucb,hard,E,0.75,4350.575685501099,1.35,1,none,pre
86,A_degraded,250,linucb,simple,A,0.95,429.5790195465088,0.1,1,none,pre
87,A_degraded,250,linucb,simple,A,0.95,442.183256149292,0.1,1,none,pre
88,A_degraded,250,linucb,simple,A,0.95,547.7123260498047,0.1,1,none,pre
89,A_degraded,250,linucb,hard,E,0.75,5542.162179946899,1.35,1,none,pre
90,A_degraded,250,linucb,hard,D,0.95,2247.8156089782715,1.0,1,none,pre
91,A_degraded,250,linucb,hard,D,0.95,1989.9835586547852,1.0,1,none,pre
92,A_degraded,250,linucb,simple,A,0.95,389.84084129333496,0.1,1,none,pre
93,A_degraded,250,linucb,hard,D,0.95,2118.52765083313,1.0,1,none,pre
94,A_degraded,250,linucb,simple,A,0.95,560.2648258209229,0.1,1,none,pre
95,A_degraded,250,linucb,hard,D,0.95,1772.2036838531494,1.0,1,none,pre
96,A_degraded,250,linucb,simple,A,0.95,428.7698268890381,0.1,1,none,pre
97,A_degraded,250,linucb,simple,A,0.95,598.5238552093506,0.1,1,none,pre
98,A_degraded,250,linucb,hard,E,0.75,4989.060878753662,1.35,1,none,pre
99,A_degraded,250,linucb,hard,D,0.95,2039.5479202270508,1.0,1,none,pre
100,A_degraded,250,linucb,hard,E,0.75,4718.848705291748,1.35,1,none,pre
101,A_degraded,250,linucb,hard,D,0.95,2330.3256034851074,1.0,1,none,pre
102,A_degraded,250,linucb,hard,E,0.75,5609.718084335327,1.35,1,none,pre
103,A_degraded,250,linucb,simple,A,0.95,539.6420955657959,0.1,1,none,pre
104,A_degraded,250,linucb,simple,A,0.95,481.00876808166504,0.1,1,none,pre
105,A_degraded,250,linucb,hard,D,0.95,2550.5990982055664,1.0,1,none,pre
106,A_degraded,250,linucb,hard,D,0.95,2237.708568572998,1.0,1,none,pre
107,A_degraded,250,linucb,hard,D,0.95,2018.1586742401123,1.0,1,none,pre
108,A_degraded,250,linucb,simple,A,0.95,459.2549800872803,0.1,1,none,pre
109,A_degraded,250,linucb,hard,E,0.75,3499.0217685699463,1.35,1,none,pre
110,A_degraded,250,linucb,simple,A,0.95,532.569169998169,0.1,1,none,pre
111,A_degraded,250,linucb,simple,A,0.95,477.41103172302246,0.1,1,none,pre
112,A_degraded,250,linucb,simple,A,0.95,430.15289306640625,0.1,1,none,pre
113,A_degraded,250,linucb,hard,D,0.95,2469.6831703186035,1.0,1,none,pre
114,A_degraded,250,linucb,simple,A,0.95,509.36436653137207,0.1,1,none,pre
115,A_degraded,250,linucb,hard,D,0.95,3321.7458724975586,1.0,1,none,pre
116,A_degraded,250,linucb,simple,A,0.95,426.87439918518066,0.1,1,none,pre
117,A_degraded,250,linucb,hard,E,0.75,679.1532039642334,0.35,1,none,pre
118,A_degraded,250,linucb,simple,A,0.95,660.6898307800293,0.1,1,none,pre
119,A_degraded,250,linucb,hard,E,0.75,5010.374546051025,1.35,1,none,pre
120,A_degraded,250,linucb,simple,A,0.95,508.411169052124,0.1,1,none,pre
121,A_degraded,250,linucb,hard,D,0.95,2571.561574935913,1.0,1,none,pre
122,A_degraded,250,linucb,simple,A,0.95,498.826265335083,0.1,1,none,pre
123,A_degraded,250,linucb,simple,A,0.95,549.5777130126953,0.1,1,none,pre
124,A_degraded,250,linucb,hard,E,0.75,4960.253715515137,1.35,1,none,pre
125,A_degraded,250,linucb,simple,A,0.95,988.9428615570068,0.1,1,none,pre
126,A_degraded,250,linucb,hard,E,0.75,3749.563217163086,1.35,1,none,pre
127,A_degraded,250,linucb,simple,A,0.95,499.4502067565918,0.1,1,none,pre
128,A_degraded,250,linucb,hard,E,0.75,4181.244611740112,1.35,1,none,pre
129,A_degraded,250,linucb,hard,D,0.95,3158.561944961548,1.0,1,none,pre
130,A_degraded,250,linucb,hard,E,0.75,3530.075788497925,1.35,1,none,pre
131,A_degraded,250,linucb,simple,A,0.95,449.71609115600586,0.1,1,none,pre
132,A_degraded,250,linucb,simple,I,0.95,2351.353406906128,0.275,1,none,pre
133,A_degraded,250,linucb,simple,A,0.95,501.0349750518799,0.1,1,none,pre
134,A_degraded,250,linucb,hard,D,0.95,2049.0081310272217,1.0,1,none,pre
135,A_degraded,250,linucb,hard,E,0.75,3668.384313583374,1.35,1,none,pre
136,A_degraded,250,linucb,hard,D,0.95,2469.236373901367,1.0,1,none,pre
137,A_degraded,250,linucb,simple,A,0.95,610.145092010498,0.1,1,none,pre
138,A_degraded,250,linucb,hard,E,0.75,3682.072162628174,1.35,1,none,pre
139,A_degraded,250,linucb,simple,A,0.95,467.32473373413086,0.1,1,none,pre
140,A_degraded,250,linucb,hard,D,0.95,2419.633388519287,1.0,1,none,pre
141,A_degraded,250,linucb,hard,E,0.75,4880.372762680054,1.35,1,none,pre
142,A_degraded,250,linucb,simple,A,0.95,575.9539604187012,0.1,1,none,pre
143,A_degraded,250,linucb,hard,D,0.95,2856.175661087036,1.0,1,none,pre
144,A_degraded,250,linucb,simple,A,0.95,369.96936798095703,0.1,1,none,pre
145,A_degraded,250,linucb,simple,A,0.95,938.3959770202637,0.1,1,none,pre
146,A_degraded,250,linucb,simple,A,0.95,437.88743019104004,0.1,1,none,pre
147,A_degraded,250,linucb,simple,A,0.95,387.82668113708496,0.1,1,none,pre
148,A_degraded,250,linucb,hard,E,0.75,3652.204751968384,1.35,1,none,pre
149,A_degraded,250,linucb,hard,E,0.75,3730.1948070526123,1.35,1,none,pre
150,A_degraded,250,linucb,hard,D,0.95,1802.0312786102295,1.0,1,none,pre
151,A_degraded,250,linucb,simple,A,0.95,439.772367477417,0.1,1,none,pre
152,A_degraded,250,linucb,hard,D,0.95,1988.4297847747803,1.0,1,none,pre
153,A_degraded,250,linucb,simple,A,0.95,498.26693534851074,0.1,1,none,pre
154,A_degraded,250,linucb,hard,D,0.95,2179.213762283325,1.0,1,none,pre
155,A_degraded,250,linucb,hard,E,0.75,3720.2460765838623,1.35,1,none,pre
156,A_degraded,250,linucb,hard,E,0.75,4651.807546615601,1.35,1,none,pre
157,A_degraded,250,linucb,hard,E,0.75,4467.482805252075,1.35,1,none,pre
158,A_degraded,250,linucb,simple,A,0.95,468.56188774108887,0.1,1,none,pre
159,A_degraded,250,linucb,simple,A,0.95,438.55953216552734,0.1,1,none,pre
160,A_degraded,250,linucb,hard,E,0.75,4359.55810546875,1.35,1,none,pre
161,A_degraded,250,linucb,hard,E,0.75,4048.9048957824707,1.35,1,none,pre
162,A_degraded,250,linucb,simple,A,0.95,459.68079566955566,0.1,1,none,pre
163,A_degraded,250,linucb,hard,E,0.75,3938.858985900879,1.35,1,none,pre
164,A_degraded,250,linucb,hard,D,0.95,1970.0706005096436,1.0,1,none,pre
165,A_degraded,250,linucb,hard,D,0.95,2201.5867233276367,1.0,1,none,pre
166,A_degraded,250,linucb,hard,E,0.75,4119.760274887085,1.35,1,none,pre
167,A_degraded,250,linucb,simple,A,0.95,547.9016304016113,0.1,1,none,pre
168,A_degraded,250,linucb,hard,E,0.75,5921.446323394775,1.35,1,none,pre
169,A_degraded,250,linucb,hard,E,0.75,4211.409568786621,1.35,1,none,pre
170,A_degraded,250,linucb,hard,E,0.75,4125.474691390991,1.35,1,none,pre
171,A_degraded,250,linucb,simple,A,0.95,650.5305767059326,0.1,1,none,pre
172,A_degraded,250,linucb,simple,A,0.95,430.072546005249,0.1,1,none,pre
173,A_degraded,250,linucb,simple,A,0.95,420.1052188873291,0.1,1,none,pre
174,A_degraded,250,linucb,simple,A,0.95,449.8023986816406,0.1,1,none,pre
175,A_degraded,250,linucb,simple,A,0.95,538.8240814208984,0.1,1,none,pre
176,A_degraded,250,linucb,hard,D,0.95,2599.6439456939697,1.0,1,none,pre
177,A_degraded,250,linucb,simple,A,0.95,440.2008056640625,0.1,1,none,pre
178,A_degraded,250,linucb,hard,E,0.75,3799.0291118621826,1.35,1,none,pre
179,A_degraded,250,linucb,hard,D,0.95,1930.4118156433105,1.0,1,none,pre
180,A_degraded,250,linucb,hard,E,0.75,4220.406770706177,1.35,1,none,pre
181,A_degraded,250,linucb,hard,E,0.75,4481.933832168579,1.35,1,none,pre
182,A_degraded,250,linucb,hard,D,0.95,1667.595386505127,1.0,1,none,pre
183,A_degraded,250,linucb,simple,A,0.95,451.0979652404785,0.1,1,none,pre
184,A_degraded,250,linucb,hard,E,0.75,4818.952798843384,1.35,1,none,pre
185,A_degraded,250,linucb,hard,E,0.75,4149.48034286499,1.35,1,none,pre
186,A_degraded,250,linucb,simple,A,0.95,509.20796394348145,0.1,1,none,pre
187,A_degraded,250,linucb,hard,D,0.95,1839.034080505371,1.0,1,none,pre
188,A_degraded,250,linucb,hard,E,0.75,5869.781255722046,1.35,1,none,pre
189,A_degraded,250,linucb,hard,E,0.75,3789.9696826934814,1.35,1,none,pre
190,A_degraded,250,linucb,simple,A,0.95,708.9564800262451,0.1,1,none,pre
191,A_degraded,250,linucb,hard,D,0.95,2289.436101913452,1.0,1,none,pre
192,A_degraded,250,linucb,simple,I,0.95,1909.7871780395508,0.275,1,none,pre
193,A_degraded,250,linucb,simple,A,0.95,538.764238357544,0.1,1,none,pre
194,A_degraded,250,linucb,simple,A,0.95,511.3532543182373,0.1,1,none,pre
