t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,250,linucb_frozen,simple,A,0.95,432.64269828796387,0.1,1,none,pre
1,A_degraded,250,linucb_frozen,hard,E,0.75,5185.9681606292725,1.9500000000000002,1,none,pre
2,A_degraded,250,linucb_frozen,simple,A,0.95,381.61349296569824,0.1,1,none,pre
3,A_degraded,250,linucb_frozen,simple,A,0.95,395.1609134674072,0.1,1,none,pre
4,A_degraded,250,linucb_frozen,simple,A,0.95,445.3604221343994,0.1,1,none,pre
5,A_degraded,250,linucb_frozen,hard,E,0.75,4007.4262619018555,1.9500000000000002,1,none,pre
6,A_degraded,250,linucb_frozen,hard,D,0.95,2432.363510131836,1.0,1,none,pre
7,A_degraded,250,linucb_frozen,hard,E,0.75,3705.176830291748,1.9500000000000002,1,none,pre
8,A_degraded,250,linucb_frozen,simple,A,0.95,391.5877342224121,0.1,1,none,pre
9,A_degraded,250,linucb_frozen,hard,D,0.95,2491.039037704468,1.0,1,none,pre
10,A_degraded,250,linucb_frozen,simple,A,0.95,466.37749671936035,0.1,1,none,pre
11,A_degraded,250,linucb_frozen,hard,E,0.75,4024.8336791992188,1.9500000000000002,1,none,pre
12,A_degraded,250,linucb_frozen,simple,A,0.95,463.2396697998047,0.1,1,none,pre
13,A_degraded,250,linucb_frozen,hard,D,0.95,2456.2249183654785,1.0,1,none,pre
14,A_degraded,250,linucb_frozen,hard,E,0.75,3262.028217315674,1.9500000000000002,1,none,pre
15,A_degraded,250,linucb_frozen,hard,D,0.95,1549.7260093688965,1.0,1,none,pre
16,A_degraded,250,linucb_frozen,simple,A,0.95,406.8799018859863,0.1,1,none,pre
17,A_degraded,250,linucb_frozen,hard,D,0.95,2055.229663848877,1.0,1,none,pre
18,A_degraded,250,linucb_frozen,simple,A,0.95,438.6894702911377,0.1,1,none,pre
19,A_degraded,250,linucb_frozen,simple,A,0.95,449.1097927093506,0.1,1,none,pre
20,A_degraded,250,linucb_frozen,simple,A,0.95,397.0150947570801,0.1,1,none,pre
21,A_degraded,250,linucb_frozen,hard,D,0.95,2470.750331878662,1.0,1,none,pre
22,A_degraded,250,linucb_frozen,simple,A,0.95,420.1781749725342,0.1,1,none,pre
23,A_degraded,250,linucb_frozen,hard,D,0.95,2350.6898880004883,1.0,1,none,pre
24,A_degraded,250,linucb_frozen,simple,A,0.95,425.91404914855957,0.1,1,none,pre
25,A_degraded,250,linucb_frozen,hard,D,0.95,1714.583158493042,1.0,1,none,pre
26,A_degraded,250,linucb_frozen,simple,A,0.95,402.0543098449707,0.1,1,none,pre
27,A_degraded,250,linucb_frozen,simple,A,0.95,416.7358875274658,0.1,1,none,pre
28,A_degraded,250,linucb_frozen,hard,D,0.95,2193.5205459594727,1.0,1,none,pre
29,A_degraded,250,linucb_frozen,simple,I,0.95,1484.0412139892578,0.275,1,none,pre
30,A_degraded,250,linucb_frozen,simple,A,0.95,361.7124557495117,0.1,1,none,pre
31,A_degraded,250,linucb_frozen,simple,A,0.95,473.30617904663086,0.1,1,none,pre
32,A_degraded,250,linucb_frozen,simple,A,0.95,454.8196792602539,0.1,1,none,pre
33,A_degraded,250,linucb_frozen,hard,D,0.95,1692.0347213745117,1.0,1,none,pre
34,A_degraded,250,linucb_frozen,hard,D,0.95,2185.056686401367,1.0,1,none,pre
35,A_degraded,250,linucb_frozen,hard,D,0.95,2693.814516067505,1.0,1,none,pre
