t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,250,static_rule,simple,B,0.6,17927.412271499634,0.30000000000000004,0,empty,pre
1,A_degraded,250,static_rule,hard,A,0.2,469.76399421691895,0.1,1,none,pre
2,A_degraded,250,static_rule,simple,B,0.6,17799.19958114624,0.30000000000000004,0,empty,pre
3,A_degraded,250,static_rule,simple,B,0.6,25289.685249328613,0.30000000000000004,0,empty,pre
4,A_degraded,250,static_rule,simple,B,0.6,19970.282316207886,0.30000000000000004,0,empty,pre
5,A_degraded,250,static_rule,hard,A,0.2,591.0463333129883,0.1,1,none,pre
6,A_degraded,250,static_rule,hard,A,0.2,939.2201900482178,0.1,1,none,pre
7,A_degraded,250,static_rule,hard,A,0.2,1376.3184547424316,0.30000000000000004,0,parse_error,pre
8,A_degraded,250,static_rule,simple,B,0.6,17979.59852218628,0.30000000000000004,0,empty,pre
9,A_degraded,250,static_rule,hard,A,0.2,660.3193283081055,0.1,1,none,pre
10,A_degraded,250,static_rule,simple,B,0.6,14109.87401008606,0.30000000000000004,0,empty,pre
11,A_degraded,250,static_rule,hard,A,0.2,1419.506549835205,0.30000000000000004,0,parse_error,pre
12,A_degraded,250,static_rule,simple,B,0.6,21017.82250404358,0.30000000000000004,0,empty,pre
13,A_degraded,250,static_rule,hard,A,0.2,483.54363441467285,0.1,1,none,pre
14,A_degraded,250,static_rule,hard,A,0.2,489.1180992126465,0.1,1,none,pre
15,A_degraded,250,static_rule,hard,A,0.2,408.9851379394531,0.1,1,none,pre
16,A_degraded,250,static_rule,simple,B,0.6,17170.013904571533,0.30000000000000004,0,empty,pre
17,A_degraded,250,static_rule,hard,A,0.2,489.75181579589844,0.1,1,none,pre
18,A_degraded,250,static_rule,simple,B,0.6,20370.317220687866,0.30000000000000004,0,empty,pre
19,A_degraded,250,static_rule,simple,B,0.6,17649.32370185852,0.30000000000000004,0,empty,pre
20,A_degraded,250,static_rule,simple,B,0.6,20779.363870620728,0.30000000000000004,0,empty,pre
21,A_degraded,250,static_rule,hard,A,0.2,519.728422164917,0.1,1,none,pre
22,A_degraded,250,static_rule,simple,B,0.6,16329.92434501648,0.30000000000000004,0,empty,pre
23,A_degraded,250,static_rule,hard,A,0.2,409.43264961242676,0.1,1,none,pre
24,A_degraded,250,static_rule,simple,B,0.6,22281.283617019653,0.30000000000000004,0,empty,pre
25,A_degraded,250,static_rule,hard,A,0.2,599.271297454834,0.1,1,none,pre
26,A_degraded,250,static_rule,simple,B,0.6,18987.85924911499,0.30000000000000004,0,empty,pre
27,A_degraded,250,static_rule,simple,B,0.6,22142.725229263306,0.30000000000000004,0,empty,pre
28,A_degraded,250,static_rule,hard,A,0.2,485.2910041809082,0.1,1,none,pre
29,A_degraded,250,static_rule,simple,B,0.6,25360.131978988647,0.30000000000000004,0,empty,pre
30,A_degraded,250,static_rule,simple,B,0.6,13977.821826934814,0.30000000000000004,0,empty,pre
31,A_degraded,250,static_rule,simple,B,0.6,9795.267343521118,0.30000000000000004,0,empty,pre
32,A_degraded,250,static_rule,simple,B,0.6,30678.998947143555,0.30000000000000004,0,empty,pre
33,A_degraded,250,static_rule,hard,A,0.2,447.01385498046875,0.1,1,none,pre
34,A_degraded,250,static_rule,hard,A,0.2,426.6657829284668,0.1,1,none,pre
35,A_degraded,250,static_rule,hard,A,0.2,577.4810314178467,0.1,1,none,pre
36,A_degraded,250,static_rule,simple,B,0.6,13884.309768676758,0.30000000000000004,0,empty,pre
37,A_degraded,250,static_rule,simple,B,0.6,19335.259437561035,0.30000000000000004,0,empty,pre
38,A_degraded,250,static_rule,simple,B,0.6,22199.620723724365,0.30000000000000004,0,empty,pre
39,A_degraded,250,static_rule,hard,A,0.2,710.7193470001221,0.1,1,none,pre
40,A_degraded,250,static_rule,simple,B,0.6,13340.136289596558,0.30000000000000004,0,empty,pre
41,A_degraded,250,static_rule,simple,B,0.6,19917.843103408813,0.30000000000000004,0,empty,pre
42,A_degraded,250,static_rule,hard,A,0.2,504.52113151550293,0.1,1,none,pre
43,A_degraded,250,static_rule,hard,A,0.2,388.81421089172363,0.1,1,none,pre
44,A_degraded,250,static_rule,simple,B,0.6,13219.924926757812,0.30000000000000004,0,empty,pre
45,A_degraded,250,static_rule,hard,A,0.2,447.7574825286865,0.1,1,none,pre
46,A_degraded,250,static_rule,hard,A,0.2,512.5343799591064,0.1,1,none,pre
47,A_degraded,250,static_rule,simple,B,0.6,29602.25200653076,0.30000000000000004,0,empty,pre
48,A_degraded,250,static_rule,simple,B,0.6,25605.303049087524,0.30000000000000004,0,empty,pre
49,A_degraded,250,static_rule,simple,B,0.6,16461.632013320923,0.30000000000000004,0,empty,pre
50,A_degraded,250,static_rule,simple,B,0.6,15982.397317886353,0.30000000000000004,0,empty,pre
51,A_degraded,250,static_rule,simple,B,0.6,20239.240646362305,0.30000000000000004,0,empty,pre
