t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,250,linucb,simple,A,0.95,437.9405975341797,0.1,1,none,pre
1,A_unavailable,250,linucb,hard,D,0.95,1516.9546604156494,1.0,1,none,pre
2,A_unavailable,250,linucb,simple,A,0.95,484.0691089630127,0.1,1,none,pre
3,A_unavailable,250,linucb,simple,A,0.95,368.605375289917,0.1,1,none,pre
4,A_unavailable,250,linucb,simple,A,0.95,479.53081130981445,0.1,1,none,pre
5,A_unavailable,250,linucb,hard,D,0.95,1828.5729885101318,1.0,1,none,pre
6,A_unavailable,250,linucb,hard,E,0.75,4575.0892162323,1.9500000000000002,1,none,pre
7,A_unavailable,250,linucb,hard,E,0.75,4405.183553695679,1.9500000000000002,1,none,pre
8,A_unavailable,250,linucb,simple,A,0.95,615.9679889678955,0.1,1,none,pre
9,A_unavailable,250,linucb,hard,D,0.95,2115.368366241455,1.0,1,none,pre
10,A_unavailable,250,linucb,simple,A,0.95,480.99374771118164,0.1,1,none,pre
11,A_unavailable,250,linucb,hard,E,0.75,3496.6437816619873,1.9500000000000002,1,none,pre
12,A_unavailable,250,linucb,simple,A,0.95,445.42741775512695,0.1,1,none,pre
13,A_unavailable,250,linucb,hard,E,0.75,3980.8075428009033,1.9500000000000002,1,none,pre
14,A_unavailable,250,linucb,hard,E,0.75,3464.4229412078857,1.9500000000000002,1,none,pre
15,A_unavailable,250,linucb,hard,E,0.75,5092.698574066162,1.9500000000000002,1,none,pre
16,A_unavailable,250,linucb,simple,A,0.95,544.6164608001709,0.1,1,none,pre
17,A_unavailable,250,linucb,hard,E,0.75,3885.4334354400635,1.9500000000000002,1,none,pre
18,A_unavailable,250,linucb,simple,A,0.95,513.2496356964111,0.1,1,none,pre
19,A_unavailable,250,linucb,simple,A,0.95,459.183931350708,0.1,1,none,pre
20,A_unavailable,250,linucb,simple,A,0.95,651.3020992279053,0.1,1,none,pre
21,A_unavailable,250,linucb,hard,E,0.75,4164.23225402832,1.9500000000000002,1,none,pre
22,A_unavailable,250,linucb,simple,A,0.95,573.9471912384033,0.1,1,none,pre
23,A_unavailable,250,linucb,hard,D,0.95,1989.8242950439453,1.0,1,none,pre
24,A_unavailable,250,linucb,simple,A,0.95,488.87014389038086,0.1,1,none,pre
25,A_unavailable,250,linucb,hard,D,0.95,1606.5444946289062,1.0,1,none,pre
26,A_unavailable,250,linucb,simple,A,0.95,399.4331359863281,0.1,1,none,pre
27,A_unavailable,250,linucb,simple,A,0.95,406.6963195800781,0.1,1,none,pre
28,A_unavailable,250,linucb,hard,E,0.75,4012.340784072876,1.9500000000000002,1,none,pre
29,A_unavailable,250,linucb,simple,I,0.95,1910.0821018218994,0.275,1,none,pre
30,A_unavailable,250,linucb,simple,A,0.95,400.46238899230957,0.1,1,none,pre
31,A_unavailable,250,linucb,simple,A,0.95,364.58444595336914,0.1,1,none,pre
32,A_unavailable,250,linucb,simple,A,0.95,441.0545825958252,0.1,1,none,pre
33,A_unavailable,250,linucb,hard,D,0.95,1860.733985900879,1.0,1,none,pre
34,A_unavailable,250,linucb,hard,D,0.95,1896.9581127166748,1.0,1,none,pre
35,A_unavailable,250,linucb,hard,E,0.75,4112.028360366821,1.9500000000000002,1,none,pre
36,A_unavailable,250,linucb,simple,A,0.95,421.8933582305908,0.1,1,none,pre
37,A_unavailable,250,linucb,simple,A,0.95,474.9455451965332,0.1,1,none,pre
38,A_unavailable,250,linucb,simple,I,0.95,1651.7870426177979,0.275,1,none,pre
39,A_unavailable,250,linucb,hard,D,0.95,2020.1940536499023,1.0,1,none,pre
40,A_unavailable,250,linucb,simple,A,0.95,520.1447010040283,0.1,1,none,pre
41,A_unavailable,250,linucb,simple,A,0.95,516.3462162017822,0.1,1,none,pre
42,A_unavailable,250,linucb,hard,E,0.75,3524.3489742279053,1.9500000000000002,1,none,pre
43,A_unavailable,250,linucb,hard,E,0.75,4289.082050323486,1.9500000000000002,1,none,pre
44,A_unavailable,250,linucb,simple,A,0.95,442.0747756958008,0.1,1,none,pre
45,A_unavailable,250,linucb,hard,D,0.95,2370.0153827667236,1.0,1,none,pre
46,A_unavailable,250,linucb,hard,E,0.75,3454.3652534484863,1.9500000000000002,1,none,pre
47,A_unavailable,250,linucb,simple,A,0.95,422.6040840148926,0.1,1,none,pre
48,A_unavailable,250,linucb,simple,A,0.95,369.8868751525879,0.1,1,none,pre
49,A_unavailable,250,linucb,simple,A,0.95,559.1273307800293,0.1,1,none,pre
50,A_unavailable,250,linucb,simple,A,0.95,1214.1847610473633,0.1,1,none,pre
51,A_unavailable,250,linucb,simple,A,0.95,506.6640377044678,0.1,1,none,pre
52,A_unavailable,250,linucb,simple,A,0.95,427.89483070373535,0.1,1,none,pre
53,A_unavailable,250,linucb,simple,A,0.95,487.0901107788086,0.1,1,none,pre
54,A_unavailable,250,linucb,simple,A,0.95,394.80042457580566,0.1,1,none,pre
55,A_unavailable,250,linucb,simple,A,0.95,610.7730865478516,0.1,1,none,pre
56,A_unavailable,250,linucb,simple,A,0.95,621.3908195495605,0.1,1,none,pre
57,A_unavailable,250,linucb,hard,D,0.95,1863.4059429168701,1.0,1,none,pre
58,A_unavailable,250,linucb,simple,A,0.95,422.6977825164795,0.1,1,none,pre
59,A_unavailable,250,linucb,simple,A,0.95,433.4228038787842,0.1,1,none,pre
60,A_unavailable,250,linucb,hard,D,0.95,1945.754051208496,1.0,1,none,pre
61,A_unavailable,250,linucb,hard,D,0.95,2864.6769523620605,1.0,1,none,pre
62,A_unavailable,250,linucb,hard,E,0.75,4415.558576583862,1.35,1,none,pre
63,A_unavailable,250,linucb,simple,A,0.95,390.0887966156006,0.1,1,none,pre
64,A_unavailable,250,linucb,hard,E,0.75,3707.606077194214,1.35,1,none,pre
65,A_unavailable,250,linucb,hard,D,0.95,1761.0886096954346,1.0,1,none,pre
66,A_unavailable,250,linucb,simple,A,0.95,446.8369483947754,0.1,1,none,pre
67,A_unavailable,250,linucb,simple,A,0.95,375.3960132598877,0.1,1,none,pre
68,A_unavailable,250,linucb,hard,D,0.95,1700.4547119140625,1.0,1,none,pre
69,A_unavailable,250,linucb,simple,A,0.95,438.83490562438965,0.1,1,none,pre
70,A_unavailable,250,linucb,simple,A,0.95,430.2523136138916,0.1,1,none,pre
71,A_unavailable,250,linucb,simple,A,0.95,524.8236656188965,0.1,1,none,pre
