t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,250,random,simple,E,0.75,1507.4870586395264,0.95,1,none,pre
1,A_unavailable,250,random,hard,J,0.35,670.1743602752686,0.7,1,none,pre
2,A_unavailable,250,random,simple,C,0.85,7148.843050003052,0.85,1,none,pre
3,A_unavailable,250,random,simple,C,0.85,3574.272394180298,1.15,1,none,pre
4,A_unavailable,250,random,simple,C,0.85,6775.895595550537,0.25,1,none,pre
5,A_unavailable,250,random,hard,I,0.2,4395.691871643066,1.1,1,none,pre
6,A_unavailable,250,random,hard,I,0.2,1247.023105621338,0.1,1,none,pre
7,A_unavailable,250,random,hard,E,0.75,514.5161151885986,0.35,1,none,pre
8,A_unavailable,250,random,simple,D,0.8,3163.7368202209473,1.0,1,none,pre
9,A_unavailable,250,random,hard,E,0.75,1296.9386577606201,0.35,1,none,pre
10,A_unavailable,250,random,simple,C,0.85,798.2268333435059,0.15,1,none,pre
11,A_unavailable,250,random,hard,I,0.2,2302.9603958129883,0.1,1,none,pre
12,A_unavailable,250,random,simple,E,0.75,4565.990924835205,0.75,1,none,pre
13,A_unavailable,250,random,hard,I,0.2,1026.850938796997,0.7,1,none,pre
14,A_unavailable,250,random,hard,J,0.35,540.3938293457031,0.1,1,none,pre
15,A_unavailable,250,random,hard,A,0.2,521.4407444000244,0.1,1,none,pre
16,A_unavailable,250,random,simple,J,0.92,638.4179592132568,0.1,1,none,pre
17,A_unavailable,250,random,hard,J,0.35,870.5048561096191,0.1,1,none,pre
18,A_unavailable,250,random,simple,E,0.75,1879.8573017120361,0.35,1,none,pre
19,A_unavailable,250,random,simple,E,0.75,1377.6612281799316,0.6,1,none,pre
20,A_unavailable,250,random,simple,E,0.75,681.4529895782471,0.6,1,none,pre
21,A_unavailable,250,random,hard,E,0.75,1348.9069938659668,0.35,1,none,pre
22,A_unavailable,250,random,simple,J,0.92,498.64649772644043,0.1,1,none,pre
23,A_unavailable,250,random,hard,A,0.2,569.7391033172607,0.1,1,none,pre
24,A_unavailable,250,random,simple,E,0.75,1441.8659210205078,0.35,1,none,pre
25,A_unavailable,250,random,hard,I,0.2,657.5157642364502,0.1,1,none,pre
26,A_unavailable,250,random,simple,D,0.8,1963.411569595337,1.0,1,none,pre
27,A_unavailable,250,random,simple,A,0.95,491.25075340270996,0.1,1,none,pre
28,A_unavailable,250,random,hard,I,0.2,4437.682628631592,0.275,1,none,pre
29,A_unavailable,250,random,simple,F,0.6,10840.536117553711,0.8,0,empty,pre
30,A_unavailable,250,random,simple,A,0.95,527.5447368621826,0.1,1,none,pre
31,A_unavailable,250,random,simple,A,0.95,705.0776481628418,0.1,1,none,pre
32,A_unavailable,250,random,simple,B,0.6,8568.801641464233,0.95,0,empty,pre
33,A_unavailable,250,random,hard,J,0.35,974.4627475738525,0.175,1,none,pre
34,A_unavailable,250,random,hard,I,0.2,1294.4705486297607,0.175,1,none,pre
35,A_unavailable,250,random,hard,E,0.75,8393.349170684814,0.44999999999999996,1,none,pre
36,A_unavailable,250,random,simple,I,0.95,765.2757167816162,0.1,1,none,pre
37,A_unavailable,250,random,simple,D,0.8,2696.1586475372314,1.6749999999999998,1,none,pre
38,A_unavailable,250,random,simple,D,0.8,1794.262409210205,1.6,1,none,pre
39,A_unavailable,250,random,hard,J,0.35,518.0845260620117,0.1,1,none,pre
40,A_unavailable,250,random,simple,E,0.75,3279.7911167144775,1.0499999999999998,1,none,pre
41,A_unavailable,250,random,simple,C,0.85,7512.535810470581,0.25,1,none,pre
42,A_unavailable,250,random,hard,D,0.95,9986.875057220459,1.7,1,none,pre
43,A_unavailable,250,random,hard,C,0.55,868.4821128845215,0.15,1,none,pre
