t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,250,static_rule,simple,B,0.6,24899.088859558105,0.30000000000000004,0,empty,pre
1,A_unavailable,250,static_rule,hard,A,0.2,537.6276969909668,0.1,1,none,pre
2,A_unavailable,250,static_rule,simple,B,0.6,23034.398078918457,0.30000000000000004,0,empty,pre
3,A_unavailable,250,static_rule,simple,B,0.6,31667.22536087036,0.30000000000000004,0,empty,pre
4,A_unavailable,250,static_rule,simple,B,0.6,16973.888635635376,0.30000000000000004,0,empty,pre
5,A_unavailable,250,static_rule,hard,A,0.2,486.0994815826416,0.1,1,none,pre
6,A_unavailable,250,static_rule,hard,A,0.2,449.676513671875,0.1,1,none,pre
7,A_unavailable,250,static_rule,hard,A,0.2,1989.0201091766357,0.30000000000000004,0,parse_error,pre
8,A_unavailable,250,static_rule,simple,B,0.6,16099.992275238037,0.30000000000000004,0,empty,pre
9,A_unavailable,250,static_rule,hard,A,0.2,470.56102752685547,0.1,1,none,pre
10,A_unavailable,250,static_rule,simple,B,0.6,20033.199310302734,0.30000000000000004,0,empty,pre
11,A_unavailable,250,static_rule,hard,A,0.2,1366.0707473754883,0.30000000000000004,0,parse_error,pre
12,A_unavailable,250,static_rule,simple,B,0.6,38557.40785598755,0.30000000000000004,0,empty,pre
13,A_unavailable,250,static_rule,hard,A,0.2,508.115291595459,0.1,1,none,pre
14,A_unavailable,250,static_rule,hard,A,0.2,513.2901668548584,0.1,1,none,pre
15,A_unavailable,250,static_rule,hard,A,0.2,475.8739471435547,0.1,1,none,pre
16,A_unavailable,250,static_rule,simple,B,0.6,26888.042211532593,0.30000000000000004,0,empty,pre
17,A_unavailable,250,static_rule,hard,A,0.2,612.8621101379395,0.1,1,none,pre
18,A_unavailable,250,static_rule,simple,B,0.6,31271.525382995605,0.30000000000000004,0,empty,pre
19,A_unavailable,250,static_rule,simple,B,0.6,26872.167110443115,0.30000000000000004,0,empty,pre
20,A_unavailable,250,static_rule,simple,B,0.6,21258.307218551636,0.30000000000000004,0,empty,pre
21,A_unavailable,250,static_rule,hard,A,0.2,787.3988151550293,0.1,1,none,pre
22,A_unavailable,250,static_rule,simple,B,0.6,22019.7913646698,0.30000000000000004,0,empty,pre
23,A_unavailable,250,static_rule,hard,A,0.2,444.73886489868164,0.1,1,none,pre
24,A_unavailable,250,static_rule,simple,B,0.6,25503.13973426819,0.30000000000000004,0,empty,pre
25,A_unavailable,250,static_rule,hard,A,0.2,445.93358039855957,0.1,1,none,pre
26,A_unavailable,250,static_rule,simple,B,0.6,17273.916006088257,0.30000000000000004,0,empty,pre
27,A_unavailable,250,static_rule,simple,B,0.6,24507.402658462524,0.30000000000000004,0,empty,pre
28,A_unavailable,250,static_rule,hard,A,0.2,572.7217197418213,0.1,1,none,pre
29,A_unavailable,250,static_rule,simple,B,0.6,26935.19139289856,0.30000000000000004,0,empty,pre
30,A_unavailable,250,static_rule,simple,B,0.6,37193.48239898682,0.30000000000000004,0,empty,pre
31,A_unavailable,250,static_rule,simple,B,0.6,14868.656396865845,0.30000000000000004,0,empty,pre
32,A_unavailable,250,static_rule,simple,B,0.6,23663.378477096558,0.30000000000000004,0,empty,pre
33,A_unavailable,250,static_rule,hard,A,0.2,444.7798728942871,0.1,1,none,pre
34,A_unavailable,250,static_rule,hard,A,0.2,545.3536510467529,0.1,1,none,pre
35,A_unavailable,250,static_rule,hard,A,0.2,576.7190456390381,0.1,1,none,pre
36,A_unavailable,250,static_rule,simple,B,0.6,21431.48159980774,0.30000000000000004,0,empty,pre
37,A_unavailable,250,static_rule,simple,B,0.6,26862.37072944641,0.30000000000000004,0,empty,pre
38,A_unavailable,250,static_rule,simple,B,0.6,22896.29030227661,0.30000000000000004,0,empty,pre
39,A_unavailable,250,static_rule,hard,A,0.2,500.9620189666748,0.1,1,none,pre
40,A_unavailable,250,static_rule,simple,B,0.6,12125.691652297974,0.30000000000000004,0,empty,pre
41,A_unavailable,250,static_rule,simple,B,0.6,12470.996856689453,0.30000000000000004,0,empty,pre
42,A_unavailable,250,static_rule,hard,A,0.2,559.8301887512207,0.1,1,none,pre
43,A_unavailable,250,static_rule,hard,A,0.2,464.9026393890381,0.1,1,none,pre
44,A_unavailable,250,static_rule,simple,B,0.6,18760.76030731201,0.30000000000000004,0,empty,pre
45,A_unavailable,250,static_rule,hard,A,0.2,563.732385635376,0.1,1,none,pre
46,A_unavailable,250,static_rule,hard,A,0.2,468.9486026763916,0.1,1,none,pre
47,A_unavailable,250,static_rule,simple,B,0.6,30500.02431869507,0.30000000000000004,0,empty,pre
48,A_unavailable,250,static_rule,simple,B,0.6,23460.95323562622,0.30000000000000004,0,empty,pre
49,A_unavailable,250,static_rule,simple,B,0.6,13087.072610855103,0.30000000000000004,0,empty,pre
50,A_unavailable,250,static_rule,simple,B,0.6,13815.335512161255,0.30000000000000004,0,empty,pre
51,A_unavailable,250,static_rule,simple,B,0.6,27423.919439315796,0.30000000000000004,0,empty,pre
52,A_unavailable,250,static_rule,simple,B,0.6,24129.09245491028,0.30000000000000004,0,empty,pre
53,A_unavailable,250,static_rule,simple,B,0.6,20681.890726089478,0.30000000000000004,0,empty,pre
54,A_unavailable,250,static_rule,simple,B,0.6,23254.642248153687,0.30000000000000004,0,empty,pre
55,A_unavailable,250,static_rule,simple,B,0.6,28526.420831680298,0.30000000000000004,0,empty,pre
56,A_unavailable,250,static_rule,simple,B,0.6,28128.793478012085,0.30000000000000004,0,empty,pre
57,A_unavailable,250,static_rule,hard,A,0.2,440.08612632751465,0.1,1,none,pre
58,A_unavailable,250,static_rule,simple,B,0.6,22746.466159820557,0.30000000000000004,0,empty,pre
59,A_unavailable,250,static_rule,simple,B,0.6,20641.391038894653,0.30000000000000004,0,empty,pre
60,A_unavailable,250,static_rule,hard,A,0.2,438.4334087371826,0.1,1,none,pre
61,A_unavailable,250,static_rule,hard,A,0.2,456.2516212463379,0.1,1,none,pre
62,A_unavailable,250,static_rule,hard,A,0.2,519.737958908081,0.1,1,none,pre
