t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,none,250,linucb,simple,A,0.95,647.4716663360596,0.1,1,none,all
1,none,250,linucb,hard,D,0.95,2629.5006275177,1.0,1,none,all
2,none,250,linucb,simple,A,0.95,491.52421951293945,0.1,1,none,all
3,none,250,linucb,simple,A,0.95,493.2096004486084,0.1,1,none,all
4,none,250,linucb,simple,A,0.95,504.9631595611572,0.1,1,none,all
5,none,250,linucb,hard,E,0.75,5582.130193710327,1.9500000000000002,1,none,all
6,none,250,linucb,hard,E,0.75,4034.912347793579,1.9500000000000002,1,none,all
7,none,250,linucb,hard,D,0.95,2138.7720108032227,1.0,1,none,all
8,none,250,linucb,simple,A,0.95,449.3253231048584,0.1,1,none,all
9,none,250,linucb,hard,E,0.75,5681.281805038452,1.9500000000000002,1,none,all
10,none,250,linucb,simple,A,0.95,636.2488269805908,0.1,1,none,all
11,none,250,linucb,hard,E,0.75,4190.212249755859,1.9500000000000002,1,none,all
12,none,250,linucb,simple,A,0.95,873.9883899688721,0.1,1,none,all
13,none,250,linucb,hard,E,0.75,4055.86576461792,1.9500000000000002,1,none,all
14,none,250,linucb,hard,D,0.95,3400.852680206299,1.0,1,none,all
15,none,250,linucb,hard,E,0.75,9390.746593475342,1.9500000000000002,1,none,all
16,none,250,linucb,simple,A,0.95,478.2261848449707,0.1,1,none,all
17,none,250,linucb,hard,E,0.75,3807.6109886169434,1.9500000000000002,1,none,all
18,none,250,linucb,simple,A,0.95,605.9091091156006,0.1,1,none,all
19,none,250,linucb,simple,A,0.95,758.6596012115479,0.1,1,none,all
20,none,250,linucb,simple,A,0.95,499.5748996734619,0.1,1,none,all
21,none,250,linucb,hard,D,0.95,2242.6369190216064,1.0,1,none,all
22,none,250,linucb,simple,A,0.95,451.77626609802246,0.1,1,none,all
23,none,250,linucb,hard,D,0.95,2641.8800354003906,1.0,1,none,all
24,none,250,linucb,simple,A,0.95,448.49085807800293,0.1,1,none,all
25,none,250,linucb,hard,D,0.95,2887.044906616211,1.0,1,none,all
26,none,250,linucb,simple,A,0.95,489.58635330200195,0.1,1,none,all
27,none,250,linucb,simple,A,0.95,477.0340919494629,0.1,1,none,all
28,none,250,linucb,hard,D,0.95,1686.4418983459473,1.0,1,none,all
29,none,250,linucb,simple,I,0.95,1830.8935165405273,0.275,1,none,all
30,none,250,linucb,simple,A,0.95,674.3552684783936,0.1,1,none,all
31,none,250,linucb,simple,A,0.95,668.3852672576904,0.1,1,none,all
32,none,250,linucb,simple,A,0.95,645.2929973602295,0.1,1,none,all
33,none,250,linucb,hard,D,0.95,1910.9551906585693,1.0,1,none,all
34,none,250,linucb,hard,E,0.75,3920.1905727386475,1.35,1,none,all
35,none,250,linucb,hard,D,0.95,1728.4190654754639,1.0,1,none,all
36,none,250,linucb,simple,A,0.95,798.6855506896973,0.1,1,none,all
37,none,250,linucb,simple,A,0.95,527.7209281921387,0.1,1,none,all
38,none,250,linucb,simple,I,0.95,1682.0013523101807,0.275,1,none,all
39,none,250,linucb,hard,D,0.95,2212.9433155059814,1.0,1,none,all
40,none,250,linucb,simple,A,0.95,539.6876335144043,0.1,1,none,all
41,none,250,linucb,simple,A,0.95,498.31128120422363,0.1,1,none,all
42,none,250,linucb,hard,E,0.75,4724.055051803589,1.35,1,none,all
43,none,250,linucb,hard,D,0.95,1579.0801048278809,1.0,1,none,all
44,none,250,linucb,simple,A,0.95,640.7256126403809,0.1,1,none,all
45,none,250,linucb,hard,E,0.75,3386.0812187194824,1.35,1,none,all
46,none,250,linucb,hard,D,0.95,2345.292329788208,1.0,1,none,all
47,none,250,linucb,simple,A,0.95,472.1198081970215,0.1,1,none,all
48,none,250,linucb,simple,A,0.95,660.6802940368652,0.1,1,none,all
49,none,250,linucb,simple,A,0.95,405.1826000213623,0.1,1,none,all
50,none,250,linucb,simple,A,0.95,505.50341606140137,0.1,1,none,all
51,none,250,linucb,simple,A,0.95,477.3690700531006,0.1,1,none,all
52,none,250,linucb,simple,A,0.95,571.3539123535156,0.1,1,none,all
53,none,250,linucb,simple,A,0.95,891.4363384246826,0.1,1,none,all
54,none,250,linucb,simple,A,0.95,421.86594009399414,0.1,1,none,all
55,none,250,linucb,simple,A,0.95,631.9036483764648,0.1,1,none,all
56,none,250,linucb,simple,A,0.95,603.7797927856445,0.1,1,none,all
