t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,none,250,random,simple,A,0.95,603.4760475158691,0.7,1,none,all
1,none,250,random,hard,I,0.2,9810.099124908447,0.2,1,none,all
2,none,250,random,simple,E,0.75,1533.7038040161133,0.35,1,none,all
3,none,250,random,simple,A,0.95,367.5270080566406,0.1,1,none,all
4,none,250,random,simple,C,0.85,1355.2155494689941,0.22499999999999998,1,none,all
5,none,250,random,hard,I,0.2,1071.5680122375488,0.35,1,none,all
6,none,250,random,hard,J,0.35,1189.22758102417,0.175,1,none,all
7,none,250,random,hard,J,0.35,1146.7201709747314,0.175,1,none,all
8,none,250,random,simple,A,0.95,488.7871742248535,0.7,1,none,all
9,none,250,random,hard,A,0.2,542.2682762145996,0.1,1,none,all
10,none,250,random,simple,I,0.95,1040.5879020690918,0.1,1,none,all
11,none,250,random,hard,C,0.55,1025.2485275268555,0.15,1,none,all
12,none,250,random,simple,E,0.75,603.1136512756348,0.35,1,none,all
13,none,250,random,hard,C,0.55,903.6149978637695,0.15,1,none,all
14,none,250,random,hard,A,0.2,479.0213108062744,0.1,1,none,all
15,none,250,random,hard,J,0.35,1654.1924476623535,0.175,1,none,all
16,none,250,random,simple,I,0.95,1111.06276512146,0.1,1,none,all
17,none,250,random,hard,E,0.75,1231.4398288726807,0.35,1,none,all
18,none,250,random,simple,I,0.95,8769.98782157898,0.44999999999999996,1,none,all
19,none,250,random,simple,D,0.8,1619.64750289917,1.0,1,none,all
20,none,250,random,simple,I,0.95,9299.53932762146,0.2,1,none,all
21,none,250,random,hard,I,0.2,830.0797939300537,0.1,1,none,all
22,none,250,random,simple,A,0.95,524.3649482727051,0.1,1,none,all
23,none,250,random,hard,B,0.6,10011.916399002075,0.7749999999999999,0,empty,all
24,none,250,random,simple,C,0.85,826.3082504272461,0.15,1,none,all
25,none,250,random,hard,C,0.55,745.9919452667236,0.15,1,none,all
26,none,250,random,simple,I,0.95,814.4018650054932,0.1,1,none,all
27,none,250,random,simple,A,0.95,13984.090805053711,1.2000000000000002,1,none,all
28,none,250,random,hard,C,0.55,6666.81432723999,0.85,1,none,all
29,none,250,random,simple,E,0.75,6848.740577697754,0.44999999999999996,1,none,all
30,none,250,random,simple,J,0.92,603.3675670623779,0.1,1,none,all
31,none,250,random,simple,J,0.92,710.6516361236572,0.1,1,none,all
32,none,250,random,simple,E,0.75,3707.6613903045654,1.35,1,none,all
33,none,250,random,hard,E,0.75,1237.668752670288,0.35,1,none,all
34,none,250,random,hard,I,0.2,11904.447317123413,0.2,1,none,all
35,none,250,random,hard,D,0.95,2815.373420715332,1.0,1,none,all
36,none,250,random,simple,D,0.8,3694.7832107543945,1.85,0,empty,all
37,none,250,random,simple,A,0.95,5637.937068939209,0.2,1,none,all
38,none,250,random,simple,J,0.92,747.2014427185059,0.1,1,none,all
39,none,250,random,hard,I,0.2,1811.0227584838867,0.42500000000000004,1,none,all
40,none,250,random,simple,A,0.95,518.0935859680176,0.1,1,none,all
41,none,250,random,simple,D,0.8,1815.7680034637451,1.6,1,none,all
