t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,none,250,random_topL,simple,A,0.95,1267.1730518341064,0.175,1,none,all
1,none,250,random_topL,hard,D,0.95,2745.5711364746094,1.6,1,none,all
2,none,250,random_topL,simple,A,0.95,523.9081382751465,0.1,1,none,all
3,none,250,random_topL,simple,I,0.95,1409.5935821533203,0.175,1,none,all
4,none,250,random_topL,simple,I,0.95,741.3749694824219,0.1,1,none,all
5,none,250,random_topL,hard,E,0.75,1313.002586364746,0.35,1,none,all
6,none,250,random_topL,hard,E,0.75,707.6704502105713,0.35,1,none,all
7,none,250,random_topL,hard,E,0.75,757.9057216644287,0.35,1,none,all
8,none,250,random_topL,simple,A,0.95,501.6920566558838,0.1,1,none,all
9,none,250,random_topL,hard,D,0.95,2869.8344230651855,1.6,1,none,all
10,none,250,random_topL,simple,I,0.95,975.6917953491211,0.1,1,none,all
11,none,250,random_topL,hard,E,0.75,4505.463600158691,1.9500000000000002,1,none,all
12,none,250,random_topL,simple,I,0.95,688.2939338684082,0.1,1,none,all
13,none,250,random_topL,hard,E,0.75,534.2428684234619,0.35,1,none,all
14,none,250,random_topL,hard,D,0.95,2390.523672103882,1.6,1,none,all
15,none,250,random_topL,hard,D,0.95,1669.642448425293,1.6,1,none,all
16,none,250,random_topL,simple,I,0.95,1646.5716361999512,0.175,1,none,all
17,none,250,random_topL,hard,E,0.75,1015.557050704956,0.95,1,none,all
18,none,250,random_topL,simple,A,0.95,1126.605749130249,0.175,1,none,all
19,none,250,random_topL,simple,A,0.95,602.9784679412842,0.1,1,none,all
20,none,250,random_topL,simple,A,0.95,472.2316265106201,0.1,1,none,all
21,none,250,random_topL,hard,E,0.75,787.0824337005615,0.95,1,none,all
22,none,250,random_topL,simple,A,0.95,1044.992208480835,0.175,1,none,all
23,none,250,random_topL,hard,E,0.75,596.2002277374268,0.95,1,none,all
24,none,250,random_topL,simple,A,0.95,430.2847385406494,0.1,1,none,all
25,none,250,random_topL,hard,D,0.95,1774.3935585021973,1.0,1,none,all
26,none,250,random_topL,simple,A,0.95,467.2560691833496,0.1,1,none,all
27,none,250,random_topL,simple,I,0.95,704.4370174407959,0.1,1,none,all
28,none,250,random_topL,hard,D,0.95,1923.9776134490967,1.0,1,none,all
29,none,250,random_topL,simple,I,0.95,1782.759428024292,0.275,1,none,all
30,none,250,random_topL,simple,I,0.95,654.4530391693115,0.1,1,none,all
31,none,250,random_topL,simple,A,0.95,517.815351486206,0.1,1,none,all
32,none,250,random_topL,simple,I,0.95,799.3972301483154,0.1,1,none,all
33,none,250,random_topL,hard,D,0.95,1661.454200744629,1.0,1,none,all
34,none,250,random_topL,hard,E,0.75,3975.75044631958,1.35,1,none,all
35,none,250,random_topL,hard,E,0.75,1354.1524410247803,0.35,1,none,all
36,none,250,random_topL,simple,I,0.95,720.5579280853271,0.1,1,none,all
37,none,250,random_topL,simple,I,0.95,1044.0664291381836,0.1,1,none,all
38,none,250,random_topL,simple,I,0.95,1330.4569721221924,0.175,1,none,all
39,none,250,random_topL,hard,D,0.95,2243.4537410736084,1.0,1,none,all
40,none,250,random_topL,simple,A,0.95,1130.9897899627686,0.175,1,none,all
41,none,250,random_topL,simple,A,0.95,582.2291374206543,0.1,1,none,all
42,none,250,random_topL,hard,E,0.75,4214.805364608765,1.35,1,none,all
43,none,250,random_topL,hard,E,0.75,4854.368209838867,1.9500000000000002,1,none,all
44,none,250,random_topL,simple,A,0.95,579.674243927002,0.1,1,none,all
45,none,250,random_topL,hard,D,0.95,2697.567939758301,1.0,1,none,all
46,none,250,random_topL,hard,D,0.95,3122.973918914795,1.0,1,none,all
47,none,250,random_topL,simple,I,0.95,1235.3503704071045,0.175,1,none,all
48,none,250,random_topL,simple,A,0.95,4921.512842178345,0.175,1,none,all
49,none,250,random_topL,simple,A,0.95,547.2486019134521,0.1,1,none,all
50,none,250,random_topL,simple,I,0.95,792.1040058135986,0.1,1,none,all
51,none,250,random_topL,simple,A,0.95,1091.221570968628,0.175,1,none,all
52,none,250,random_topL,simple,A,0.95,592.0016765594482,0.1,1,none,all
53,none,250,random_topL,simple,A,0.95,469.1579341888428,0.1,1,none,all
54,none,250,random_topL,simple,A,0.95,423.642635345459,0.1,1,none,all
55,none,250,random_topL,simple,A,0.95,523.9295959472656,0.1,1,none,all
56,none,250,random_topL,simple,A,0.95,490.88597297668457,0.1,1,none,all
57,none,250,random_topL,hard,E,0.75,1265.0763988494873,0.35,1,none,all
