t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,none,250,static_rule,simple,B,0.6,30019.397974014282,0.30000000000000004,0,empty,all
1,none,250,static_rule,hard,A,0.2,483.74247550964355,0.1,1,none,all
2,none,250,static_rule,simple,B,0.6,25333.71329307556,0.30000000000000004,0,empty,all
3,none,250,static_rule,simple,B,0.6,30259.15002822876,0.30000000000000004,0,empty,all
4,none,250,static_rule,simple,B,0.6,23969.324111938477,0.30000000000000004,0,empty,all
5,none,250,static_rule,hard,A,0.2,535.954475402832,0.1,1,none,all
6,none,250,static_rule,hard,A,0.2,455.6093215942383,0.1,1,none,all
7,none,250,static_rule,hard,A,0.2,1562.3078346252441,0.30000000000000004,0,parse_error,all
8,none,250,static_rule,simple,B,0.6,18857.057094573975,0.30000000000000004,0,empty,all
9,none,250,static_rule,hard,A,0.2,595.8817005157471,0.1,1,none,all
10,none,250,static_rule,simple,B,0.6,11523.33927154541,0.30000000000000004,0,empty,all
11,none,250,static_rule,hard,A,0.2,1438.2092952728271,0.30000000000000004,0,parse_error,all
12,none,250,static_rule,simple,B,0.6,32237.50615119934,0.30000000000000004,0,empty,all
13,none,250,static_rule,hard,A,0.2,502.1703243255615,0.1,1,none,all
14,none,250,static_rule,hard,A,0.2,461.00831031799316,0.1,1,none,all
15,none,250,static_rule,hard,A,0.2,354.41017150878906,0.1,1,none,all
16,none,250,static_rule,simple,B,0.6,24654.916048049927,0.30000000000000004,0,empty,all
17,none,250,static_rule,hard,A,0.2,424.78013038635254,0.1,1,none,all
18,none,250,static_rule,simple,B,0.6,27874.682188034058,0.30000000000000004,0,empty,all
19,none,250,static_rule,simple,B,0.6,16515.114545822144,0.30000000000000004,0,empty,all
20,none,250,static_rule,simple,B,0.6,16392.163276672363,0.30000000000000004,0,empty,all
21,none,250,static_rule,hard,A,0.2,535.0384712219238,0.1,1,none,all
22,none,250,static_rule,simple,B,0.6,18561.6774559021,0.30000000000000004,0,empty,all
23,none,250,static_rule,hard,A,0.2,424.61180686950684,0.1,1,none,all
24,none,250,static_rule,simple,B,0.6,25441.54930114746,0.30000000000000004,0,empty,all
25,none,250,static_rule,hard,A,0.2,472.2561836242676,0.1,1,none,all
26,none,250,static_rule,simple,B,0.6,14215.33179283142,0.30000000000000004,0,empty,all
27,none,250,static_rule,simple,B,0.6,29120.354413986206,0.30000000000000004,0,empty,all
28,none,250,static_rule,hard,A,0.2,566.3034915924072,0.1,1,none,all
29,none,250,static_rule,simple,B,0.6,36957.40628242493,0.30000000000000004,0,empty,all
30,none,250,static_rule,simple,B,0.6,31344.988346099854,0.30000000000000004,0,empty,all
31,none,250,static_rule,simple,B,0.6,18084.06710624695,0.30000000000000004,0,empty,all
32,none,250,static_rule,simple,B,0.6,33908.376932144165,0.30000000000000004,0,empty,all
33,none,250,static_rule,hard,A,0.2,504.4248104095459,0.1,1,none,all
34,none,250,static_rule,hard,A,0.2,421.1716651916504,0.1,1,none,all
35,none,250,static_rule,hard,A,0.2,425.4446029663086,0.1,1,none,all
36,none,250,static_rule,simple,B,0.6,30822.33452796936,0.30000000000000004,0,empty,all
37,none,250,static_rule,simple,B,0.6,12914.361238479614,0.30000000000000004,0,empty,all
38,none,250,static_rule,simple,B,0.6,32354.53963279724,0.30000000000000004,0,empty,all
39,none,250,static_rule,hard,A,0.2,480.82804679870605,0.1,1,none,all
40,none,250,static_rule,simple,B,0.6,26826.979875564575,0.30000000000000004,0,empty,all
41,none,250,static_rule,simple,B,0.6,5451.370477676392,0.1,1,none,all
42,none,250,static_rule,hard,A,0.2,588.8843536376953,0.1,1,none,all
43,none,250,static_rule,hard,A,0.2,459.9027633666992,0.1,1,none,all
44,none,250,static_rule,simple,B,0.6,25934.21196937561,0.30000000000000004,0,empty,all
45,none,250,static_rule,hard,A,0.2,446.22063636779785,0.1,1,none,all
46,none,250,static_rule,hard,A,0.2,531.2767028808594,0.1,1,none,all
47,none,250,static_rule,simple,B,0.6,36325.25277137756,0.30000000000000004,0,empty,all
48,none,250,static_rule,simple,B,0.6,35990.43655395508,0.30000000000000004,0,empty,all
49,none,250,static_rule,simple,B,0.6,30391.665935516357,0.30000000000000004,0,empty,all
50,none,250,static_rule,simple,B,0.6,12785.131931304932,0.30000000000000004,0,empty,all
51,none,250,static_rule,simple,B,0.6,29441.569328308105,0.30000000000000004,0,empty,all
52,none,250,static_rule,simple,B,0.6,37403.5108089447,0.30000000000000004,0,empty,all
53,none,250,static_rule,simple,B,0.6,41279.9232006073,0.30000000000000004,0,empty,all
54,none,250,static_rule,simple,B,0.6,23568.755626678467,0.30000000000000004,0,empty,all
55,none,250,static_rule,simple,B,0.6,29534.130096435547,0.30000000000000004,0,empty,all
56,none,250,static_rule,simple,B,0.6,31174.993991851807,0.30000000000000004,0,empty,all
57,none,250,static_rule,hard,A,0.2,468.3694839477539,0.1,1,none,all
58,none,250,static_rule,simple,B,0.6,31694.963455200195,0.30000000000000004,0,empty,all
59,none,250,static_rule,simple,B,0.6,28447.706699371338,0.30000000000000004,0,empty,all
60,none,250,static_rule,hard,A,0.2,379.345178604126,0.1,1,none,all
61,none,250,static_rule,hard,A,0.2,537.5068187713623,0.1,1,none,all
62,none,250,static_rule,hard,A,0.2,581.5107822418213,0.1,1,none,all
63,none,250,static_rule,simple,B,0.6,23864.896059036255,0.30000000000000004,0,empty,all
64,none,250,static_rule,hard,A,0.2,436.7210865020752,0.1,1,none,all
65,none,250,static_rule,hard,A,0.2,790.9376621246338,0.1,1,none,all
66,none,250,static_rule,simple,B,0.6,25594.894647598267,0.30000000000000004,0,empty,all
67,none,250,static_rule,simple,B,0.6,25840.36111831665,0.30000000000000004,0,empty,all
68,none,250,static_rule,hard,A,0.2,391.97826385498047,0.1,1,none,all
69,none,250,static_rule,simple,B,0.6,23979.04109954834,0.30000000000000004,0,empty,all
70,none,250,static_rule,simple,B,0.6,31696.773767471313,0.30000000000000004,0,empty,all
71,none,250,static_rule,simple,B,0.6,38577.66795158386,0.30000000000000004,0,empty,all
72,none,250,static_rule,hard,A,0.2,594.1915512084961,0.1,1,none,all
73,none,250,static_rule,simple,B,0.6,27728.086709976196,0.30000000000000004,0,empty,all
74,none,250,static_rule,hard,A,0.2,506.7293643951416,0.1,1,none,all
75,none,250,static_rule,hard,A,0.2,459.57016944885254,0.1,1,none,all
76,none,250,static_rule,simple,B,0.6,33061.45691871643,0.30000000000000004,0,empty,all
77,none,250,static_rule,simple,B,0.6,22984.08818244934,0.30000000000000004,0,empty,all
78,none,250,static_rule,hard,A,0.2,443.33767890930176,0.1,1,none,all
79,none,250,static_rule,simple,B,0.6,23342.705965042114,0.30000000000000004,0,empty,all
80,none,250,static_rule,hard,A,0.2,625.3137588500977,0.1,1,none,all
81,none,250,static_rule,simple,B,0.6,17161.086082458496,0.30000000000000004,0,empty,all
82,none,250,static_rule,simple,B,0.6,18214.3657207489,0.30000000000000004,0,empty,all
83,none,250,static_rule,hard,A,0.2,791.9011116027832,0.1,1,none,all
84,none,250,static_rule,simple,B,0.6,21415.164709091187,0.30000000000000004,0,empty,all
85,none,250,static_rule,hard,A,0.2,1420.879602432251,0.1,1,none,all
