shock_type,shock_point,policy,n,p_hard,success_rate_pre_shock,success_rate_post_shock,success_rate_overall,success_rate_drop,recovery_time,recovery_status,deadlock_rate,worst_rolling_window,avg_latency_ms,total_cost,cost_per_correct,choose_A,choose_B,choose_C,choose_D,choose_E,choose_F,choose_G,choose_H,choose_I,choose_J,choose_A_pre,choose_B_pre,choose_C_pre,choose_D_pre,choose_E_pre,choose_F_pre,choose_G_pre,choose_H_pre,choose_I_pre,choose_J_pre,choose_A_post,choose_B_post,choose_C_post,choose_D_post,choose_E_post,choose_F_post,choose_G_post,choose_H_post,choose_I_post,choose_J_post
none,250,linucb,500,0.512,1.0,1.0,1.0,0.0,0,N/A,0.0,1.0,1810.6037425994873,291.42499999999995,0.5828499999999999,244,0,0,214,137,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,250,random_topL,500,0.512,1.0,1.0,1.0,0.0,0,N/A,0.0,1.0,1552.4985356330872,289.67499999999984,0.5793499999999997,125,0,0,133,184,103,0,77,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,250,random,500,0.512,0.92,0.92,0.92,0.0,0,N/A,0.0,0.89,3153.230813026428,226.3749999999992,0.4921195652173896,99,92,90,73,89,74,86,83,83,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,250,static_rule,500,0.512,0.488,0.488,0.488,0.0,0,N/A,0.0,0.0,12324.278820514679,102.99999999999922,0.4221311475409804,256,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,250,linucb_frozen,500,0.512,1.0,1.0,1.0,0.0,0,N/A,0.0,1.0,2011.1600227355957,287.55000000000007,0.5751000000000002,244,0,0,212,138,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_unavailable,250,linucb,500,0.512,1.0,0.996,0.998,0.0040000000000000036,0,Recovered,0.0,0.99,2609.999064731598,311.099999999999,0.6234468937875731,244,0,0,209,139,14,0,118,118,0,130,0,0,110,58,13,0,4,4,0,114,0,0,99,81,1,0,114,114,0
A_unavailable,250,random_topL,500,0.512,1.0,1.0,1.0,0.0,0,Recovered,0.0,1.0,1985.730454826355,288.77499999999947,0.5775499999999989,127,0,0,130,177,99,0,95,176,0,70,0,0,68,80,52,0,36,62,0,57,0,0,62,97,47,0,59,114,0
A_unavailable,250,random,500,0.512,0.916,0.876,0.896,0.040000000000000036,0,Recovered,0.004,0.81,3219.82524023056,251.47499999999926,0.5613281249999983,85,96,95,87,95,89,86,81,86,93,47,46,33,39,48,40,46,42,49,36,38,50,62,48,47,49,40,39,37,57
A_unavailable,250,static_rule,500,0.512,0.452,0.0,0.226,0.452,-1,Not Recovered,0.332,0.0,14354.055312728882,127.99999999999929,1.1327433628318522,256,244,0,0,0,0,0,0,0,0,120,130,0,0,0,0,0,0,0,0,136,114,0,0,0,0,0,0,0,0
A_unavailable,250,linucb_frozen,500,0.512,1.0,1.0,1.0,0.0,0,Recovered,0.0,1.0,2866.261081027985,336.4249999999988,0.6728499999999976,244,0,0,250,116,1,0,119,119,0,130,0,0,114,60,1,0,5,5,0,114,0,0,136,56,0,0,114,114,0
A_degraded,250,linucb,500,0.512,1.0,1.0,1.0,0.0,0,Recovered,0.0,1.0,1845.4427208900452,310.75000000000085,0.6215000000000017,244,0,0,234,138,5,0,6,6,0,130,0,0,119,61,5,0,5,5,0,114,0,0,115,77,0,0,1,1,0
A_degraded,250,random_topL,500,0.512,1.0,1.0,1.0,0.0,0,Recovered,0.0,1.0,1553.4614386558533,298.3250000000001,0.5966500000000002,141,0,0,134,181,117,0,81,106,0,72,0,0,67,80,57,0,45,61,0,69,0,0,67,101,60,0,36,45,0
A_degraded,250,random,500,0.512,0.904,0.916,0.91,-0.01200000000000001,0,Recovered,0.0,0.87,2816.944085597992,245.54999999999896,0.5396703296703274,95,77,78,98,72,83,75,84,95,91,47,37,44,49,34,50,41,40,46,45,48,40,34,49,38,33,34,44,49,46
A_degraded,250,static_rule,500,0.512,0.452,0.52,0.486,-0.068,0,Recovered,0.072,0.0,11097.720764160156,102.69999999999918,0.4226337448559637,256,244,0,0,0,0,0,0,0,0,120,130,0,0,0,0,0,0,0,0,136,114,0,0,0,0,0,0,0,0
A_degraded,250,linucb_frozen,500,0.512,1.0,1.0,1.0,0.0,0,Recovered,0.0,1.0,1762.2506771087646,313.62500000000057,0.6272500000000011,244,0,0,243,121,5,0,5,5,0,130,0,0,107,59,5,0,4,4,0,114,0,0,136,62,0,0,1,1,0
