policy,scenario,n_tasks,success_rate,avg_latency_ms,latency_p95_ms,total_cost,avg_cost,agent_utilization_gini,latency_efficiency,choose_A,choose_B,choose_C,choose_D,choose_E
always_A,baseline,1000,0.944,1843.199472716582,2087.779396482595,1000.0,1.0,0.8,0.5121529242891408,1000,0,0,0,0
static_rule,baseline,1000,0.856,859.0989817263892,1567.1318805448382,300.7000000000003,0.3007000000000003,0.7108,0.9963927535798475,223,777,0,0,0
random,baseline,1000,0.867,790.4757964944728,1169.1086363931254,323.9100000000024,0.3239100000000024,0.2744,1.0968077755762915,88,266,321,258,67
linucb,baseline,1000,0.88,812.9207549172484,1368.5546259477685,360.86000000000405,0.36086000000000407,0.244,1.0825163396025974,166,313,242,233,46
always_A,latency_heterogeneous,1000,0.942,4581.257381484664,5180.093453847425,1000.0,1.0,0.8,0.2056204053950627,1000,0,0,0,0
static_rule,latency_heterogeneous,1000,0.869,1059.0274784545907,4042.3606263773054,300.7000000000003,0.3007000000000003,0.7108,0.8205641663501569,223,777,0,0,0
random,latency_heterogeneous,1000,0.847,830.3223519120119,2447.9410511518886,316.0300000000024,0.3160300000000024,0.2748,1.0200857510936372,73,269,321,259,78
linucb,latency_heterogeneous,1000,0.894,986.2034506267584,3598.3807526440182,347.0500000000033,0.3470500000000033,0.3152,0.9065066639463079,180,405,163,215,37
always_A,load_burst,1000,0.946,1882.3815984811529,2146.0017852810697,1000.0,1.0,0.8,0.502554849007929,1000,0,0,0,0
static_rule,load_burst,1000,0.864,896.1146842893125,1804.190521998792,300.7000000000003,0.3007000000000003,0.7108,0.9641623055035841,223,777,0,0,0
random,load_burst,1000,0.854,821.7554003433833,1198.6379101925434,324.1300000000027,0.32413000000000275,0.2788,1.0392386829987887,81,256,335,254,74
linucb,load_burst,1000,0.887,830.4961224039107,1750.2290576170901,354.6500000000039,0.3546500000000039,0.2764,1.0680362930925387,175,340,171,270,44
always_A,combined,1000,0.957,3691.73089313558,4201.50121764249,1000.0,1.0,0.8,0.25922799567526705,1000,0,0,0,0
static_rule,combined,1000,0.87,956.0304323355504,3123.2534180709886,300.7000000000003,0.3007000000000003,0.7108,0.9100128725762622,223,777,0,0,0
random,combined,1000,0.859,827.1674813151526,1976.5842320699526,321.08000000000266,0.32108000000000264,0.2932,1.0384837646594078,80,254,342,259,65
linucb,combined,1000,0.881,909.7310465368993,2862.6962479946,351.2200000000035,0.3512200000000035,0.2848,0.9684180872508742,174,374,182,226,44
