phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,gsm8k_1309,agent-openrouter-deepseek-v3-0324-001,0,0,1,0.0
pretrain,gsm8k_228,agent-openrouter-deepseek-v3-0324-002,1,0,1,0.0
pretrain,gsm8k_51,agent-openrouter-deepseek-v3-0324-005,1,0,1,0.0
pretrain,gsm8k_563,agent-openrouter-deepseek-v3-0324-003,1,0,1,0.0
pretrain,gsm8k_501,agent-openrouter-deepseek-v3-0324-003,1,1,1,0.25
pretrain,gsm8k_457,agent-openrouter-deepseek-v3-0324-003,1,1,1,0.4
pretrain,gsm8k_285,agent-openrouter-deepseek-v3-0324-003,1,1,1,0.5
pretrain,gsm8k_209,agent-openrouter-deepseek-v3-0324-003,1,0,1,0.42857142857142855
test,gsm8k_1116,agent-openrouter-deepseek-v3-0324-005,1,1,1,1.0
test,gsm8k_178,agent-openrouter-deepseek-v3-0324-003,1,0,1,0.5
