phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,gsm8k_1309,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.0
pretrain,gsm8k_228,agent-openrouter-openai-gpt-4-1-nano-002,1,0,1,0.0
pretrain,gsm8k_51,agent-openrouter-openai-gpt-4-1-nano-005,1,0,1,0.0
pretrain,gsm8k_563,agent-openrouter-openai-gpt-4-1-nano-003,1,0,1,0.0
pretrain,gsm8k_501,agent-openrouter-openai-gpt-4-1-nano-003,1,0,1,0.0
pretrain,gsm8k_457,agent-openrouter-openai-gpt-4-1-nano-003,1,0,1,0.0
pretrain,gsm8k_285,agent-openrouter-openai-gpt-4-1-nano-003,1,0,1,0.0
pretrain,gsm8k_209,agent-openrouter-openai-gpt-4-1-nano-003,1,0,1,0.0
test,gsm8k_1116,agent-openrouter-openai-gpt-4-1-nano-005,1,1,1,1.0
test,gsm8k_178,agent-openrouter-openai-gpt-4-1-nano-003,1,0,1,0.5
