phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,gsm8k_1309,agent-openrouter-openai-gpt-5-nano-001,0,0,0,0.0
pretrain,gsm8k_228,agent-openrouter-openai-gpt-5-nano-002,1,1,1,1.0
pretrain,gsm8k_51,agent-openrouter-openai-gpt-5-nano-005,1,0,0,0.5
pretrain,gsm8k_563,agent-openrouter-openai-gpt-5-nano-003,1,0,0,0.3333333333333333
pretrain,gsm8k_501,agent-openrouter-openai-gpt-5-nano-003,1,1,1,0.5
pretrain,gsm8k_457,agent-openrouter-openai-gpt-5-nano-003,1,0,0,0.4
pretrain,gsm8k_285,agent-openrouter-openai-gpt-5-nano-003,1,0,0,0.3333333333333333
pretrain,gsm8k_209,agent-openrouter-openai-gpt-5-nano-003,1,0,0,0.2857142857142857
test,gsm8k_1116,agent-openrouter-openai-gpt-5-nano-005,1,0,0,0.0
test,gsm8k_178,agent-openrouter-openai-gpt-5-nano-003,1,1,1,0.5
