phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,medical_qa_228,agent-openrouter-deepseek-v3-006,0,0,1,0.0
pretrain,medical_qa_51,agent-openrouter-deepseek-v3-009,1,1,1,1.0
pretrain,medical_qa_563,agent-openrouter-deepseek-v3-009,1,1,1,1.0
pretrain,medical_qa_501,agent-openrouter-deepseek-v3-007,1,0,1,0.6666666666666666
pretrain,medical_qa_457,agent-openrouter-deepseek-v3-009,1,0,1,0.5
pretrain,medical_qa_285,agent-openrouter-deepseek-v3-009,1,0,1,0.4
pretrain,medical_qa_209,agent-openrouter-deepseek-v3-007,1,1,1,0.5
pretrain,medical_qa_1116,agent-openrouter-deepseek-v3-008,1,1,1,0.5714285714285714
test,medical_qa_178,agent-openrouter-deepseek-v3-008,1,0,1,0.0
test,medical_qa_1209,agent-openrouter-deepseek-v3-009,1,1,1,0.5
