phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,gsm8k_0,agent-openrouter-deepseek-v3-006,0,1,1,1.0
cold_start,gsm8k_1,agent-openrouter-deepseek-v3-007,0,1,1,1.0
cold_start,gsm8k_2,agent-openrouter-deepseek-v3-008,0,1,1,1.0
cold_start,gsm8k_3,agent-openrouter-deepseek-v3-009,0,1,1,1.0
cold_start,gsm8k_4,agent-openrouter-deepseek-v3-010,0,1,1,1.0
cold_start,gsm8k_5,agent-openrouter-deepseek-v3-006,0,0,1,0.8333333333333334
cold_start,gsm8k_6,agent-openrouter-deepseek-v3-007,0,0,1,0.7142857142857143
cold_start,gsm8k_7,agent-openrouter-deepseek-v3-008,0,0,1,0.625
cold_start,gsm8k_8,agent-openrouter-deepseek-v3-009,0,1,1,0.6666666666666666
cold_start,gsm8k_9,agent-openrouter-deepseek-v3-010,0,0,1,0.6
cold_start,gsm8k_10,agent-openrouter-deepseek-v3-006,0,0,1,0.5454545454545454
cold_start,gsm8k_11,agent-openrouter-deepseek-v3-007,0,0,1,0.5
cold_start,gsm8k_12,agent-openrouter-deepseek-v3-008,0,0,1,0.46153846153846156
cold_start,gsm8k_13,agent-openrouter-deepseek-v3-009,0,0,1,0.42857142857142855
cold_start,gsm8k_14,agent-openrouter-deepseek-v3-010,0,1,1,0.4666666666666667
cold_start,gsm8k_15,agent-openrouter-deepseek-v3-006,0,1,1,0.5
cold_start,gsm8k_16,agent-openrouter-deepseek-v3-007,0,1,1,0.5294117647058824
cold_start,gsm8k_17,agent-openrouter-deepseek-v3-008,0,0,1,0.5
cold_start,gsm8k_18,agent-openrouter-deepseek-v3-009,0,1,1,0.5263157894736842
cold_start,gsm8k_19,agent-openrouter-deepseek-v3-010,0,1,1,0.55
cold_start,gsm8k_20,agent-openrouter-deepseek-v3-006,0,0,1,0.5238095238095238
cold_start,gsm8k_21,agent-openrouter-deepseek-v3-007,0,0,1,0.5
cold_start,gsm8k_22,agent-openrouter-deepseek-v3-008,0,1,1,0.5217391304347826
cold_start,gsm8k_23,agent-openrouter-deepseek-v3-009,0,1,1,0.5416666666666666
cold_start,gsm8k_24,agent-openrouter-deepseek-v3-010,0,1,1,0.56
cold_start,gsm8k_25,agent-openrouter-deepseek-v3-006,0,1,1,0.5769230769230769
cold_start,gsm8k_26,agent-openrouter-deepseek-v3-007,0,1,1,0.5925925925925926
cold_start,gsm8k_27,agent-openrouter-deepseek-v3-008,0,1,1,0.6071428571428571
cold_start,gsm8k_28,agent-openrouter-deepseek-v3-009,0,1,1,0.6206896551724138
cold_start,gsm8k_29,agent-openrouter-deepseek-v3-010,0,0,1,0.6
cold_start,gsm8k_30,agent-openrouter-deepseek-v3-006,0,0,1,0.5806451612903226
cold_start,gsm8k_31,agent-openrouter-deepseek-v3-007,0,0,1,0.5625
cold_start,gsm8k_32,agent-openrouter-deepseek-v3-008,0,1,1,0.5757575757575758
cold_start,gsm8k_33,agent-openrouter-deepseek-v3-009,0,1,1,0.5882352941176471
cold_start,gsm8k_34,agent-openrouter-deepseek-v3-010,0,0,1,0.5714285714285714
cold_start,gsm8k_35,agent-openrouter-deepseek-v3-006,0,1,1,0.5833333333333334
cold_start,gsm8k_36,agent-openrouter-deepseek-v3-007,0,1,1,0.5945945945945946
cold_start,gsm8k_37,agent-openrouter-deepseek-v3-008,0,0,1,0.5789473684210527
cold_start,gsm8k_38,agent-openrouter-deepseek-v3-009,0,1,1,0.5897435897435898
cold_start,gsm8k_39,agent-openrouter-deepseek-v3-010,0,0,1,0.575
cold_start,gsm8k_40,agent-openrouter-deepseek-v3-006,0,1,1,0.5853658536585366
cold_start,gsm8k_41,agent-openrouter-deepseek-v3-007,0,1,1,0.5952380952380952
cold_start,gsm8k_42,agent-openrouter-deepseek-v3-008,0,1,1,0.6046511627906976
cold_start,gsm8k_43,agent-openrouter-deepseek-v3-009,0,0,1,0.5909090909090909
cold_start,gsm8k_44,agent-openrouter-deepseek-v3-010,0,1,1,0.6
cold_start,gsm8k_45,agent-openrouter-deepseek-v3-006,0,0,1,0.5869565217391305
cold_start,gsm8k_46,agent-openrouter-deepseek-v3-007,0,1,1,0.5957446808510638
cold_start,gsm8k_47,agent-openrouter-deepseek-v3-008,0,0,1,0.5833333333333334
cold_start,gsm8k_48,agent-openrouter-deepseek-v3-009,0,1,1,0.5918367346938775
cold_start,gsm8k_49,agent-openrouter-deepseek-v3-010,0,1,1,0.6
cold_start,gsm8k_50,agent-openrouter-deepseek-v3-006,0,1,1,0.6078431372549019
cold_start,gsm8k_51,agent-openrouter-deepseek-v3-007,0,0,1,0.5961538461538461
cold_start,gsm8k_52,agent-openrouter-deepseek-v3-008,0,0,1,0.5849056603773585
cold_start,gsm8k_53,agent-openrouter-deepseek-v3-009,0,0,1,0.5740740740740741
