phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,bbh_0,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.0
cold_start,bbh_1,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.0
cold_start,bbh_2,agent-openrouter-openai-gpt-4-1-nano-003,0,0,1,0.0
cold_start,bbh_3,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.25
cold_start,bbh_4,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.2
cold_start,bbh_5,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.16666666666666666
cold_start,bbh_6,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.14285714285714285
cold_start,bbh_7,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.25
cold_start,bbh_8,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.3333333333333333
cold_start,bbh_9,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.3
cold_start,bbh_10,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.2727272727272727
cold_start,bbh_11,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.25
cold_start,bbh_12,agent-openrouter-openai-gpt-4-1-nano-003,0,0,1,0.23076923076923078
cold_start,bbh_13,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.2857142857142857
cold_start,bbh_14,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.3333333333333333
cold_start,bbh_15,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.3125
cold_start,bbh_16,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.35294117647058826
cold_start,bbh_17,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.3888888888888889
cold_start,bbh_18,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.42105263157894735
cold_start,bbh_19,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.4
cold_start,bbh_20,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.38095238095238093
cold_start,bbh_21,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.36363636363636365
cold_start,bbh_22,agent-openrouter-openai-gpt-4-1-nano-003,0,0,1,0.34782608695652173
cold_start,bbh_23,agent-openrouter-openai-gpt-4-1-nano-004,0,0,1,0.3333333333333333
cold_start,bbh_24,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.32
cold_start,bbh_25,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.3076923076923077
cold_start,bbh_26,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.3333333333333333
cold_start,bbh_27,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.35714285714285715
cold_start,bbh_28,agent-openrouter-openai-gpt-4-1-nano-004,0,0,1,0.3448275862068966
cold_start,bbh_29,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.3333333333333333
cold_start,bbh_30,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.3225806451612903
cold_start,bbh_31,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.3125
cold_start,bbh_32,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.3333333333333333
cold_start,bbh_33,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.35294117647058826
cold_start,bbh_34,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.34285714285714286
cold_start,bbh_35,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.3333333333333333
cold_start,bbh_36,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.35135135135135137
cold_start,bbh_37,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.3684210526315789
cold_start,bbh_38,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.38461538461538464
cold_start,bbh_39,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.4
cold_start,bbh_40,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.4146341463414634
cold_start,bbh_41,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.40476190476190477
cold_start,bbh_42,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.4186046511627907
cold_start,bbh_43,agent-openrouter-openai-gpt-4-1-nano-004,0,0,1,0.4090909090909091
cold_start,bbh_44,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.4222222222222222
cold_start,bbh_45,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.41304347826086957
cold_start,bbh_46,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.40425531914893614
cold_start,bbh_47,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.4166666666666667
cold_start,bbh_48,agent-openrouter-openai-gpt-4-1-nano-004,0,0,1,0.40816326530612246
cold_start,bbh_49,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.42
cold_start,bbh_50,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.4117647058823529
cold_start,bbh_51,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.4230769230769231
cold_start,bbh_52,agent-openrouter-openai-gpt-4-1-nano-003,0,0,1,0.41509433962264153
cold_start,bbh_53,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.42592592592592593
cold_start,bbh_54,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.43636363636363634
cold_start,bbh_55,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.44642857142857145
cold_start,bbh_56,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.43859649122807015
cold_start,bbh_57,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.4482758620689655
cold_start,bbh_58,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.4576271186440678
cold_start,bbh_59,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.45
cold_start,bbh_60,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.4426229508196721
cold_start,bbh_61,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.43548387096774194
cold_start,bbh_62,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.4444444444444444
cold_start,bbh_63,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.453125
cold_start,bbh_64,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.46153846153846156
cold_start,bbh_65,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.45454545454545453
cold_start,bbh_66,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.4626865671641791
cold_start,bbh_67,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.47058823529411764
cold_start,bbh_68,agent-openrouter-openai-gpt-4-1-nano-004,0,0,1,0.463768115942029
cold_start,bbh_69,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.4714285714285714
cold_start,bbh_70,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.4788732394366197
cold_start,bbh_71,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.4722222222222222
cold_start,bbh_72,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.4794520547945205
cold_start,bbh_73,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.4864864864864865
cold_start,bbh_74,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.49333333333333335
cold_start,bbh_75,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.4868421052631579
cold_start,bbh_76,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.4935064935064935
cold_start,bbh_77,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5
cold_start,bbh_78,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.5063291139240507
cold_start,bbh_79,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.5125
cold_start,bbh_80,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.5185185185185185
cold_start,bbh_81,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.5121951219512195
cold_start,bbh_82,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5180722891566265
cold_start,bbh_83,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.5238095238095238
cold_start,bbh_84,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.5176470588235295
cold_start,bbh_85,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.5116279069767442
cold_start,bbh_86,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.5057471264367817
cold_start,bbh_87,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5113636363636364
cold_start,bbh_88,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.5168539325842697
cold_start,bbh_89,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.5222222222222223
cold_start,bbh_90,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.5274725274725275
cold_start,bbh_91,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.532608695652174
cold_start,bbh_92,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5376344086021505
cold_start,bbh_93,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.5425531914893617
cold_start,bbh_94,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.5368421052631579
cold_start,bbh_95,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.5416666666666666
cold_start,bbh_96,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.5463917525773195
cold_start,bbh_97,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5510204081632653
cold_start,bbh_98,agent-openrouter-openai-gpt-4-1-nano-004,0,0,1,0.5454545454545454
cold_start,bbh_99,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.55
cold_start,bbh_100,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.5544554455445545
cold_start,bbh_101,agent-openrouter-openai-gpt-4-1-nano-002,0,1,1,0.5588235294117647
cold_start,bbh_102,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5631067961165048
cold_start,bbh_103,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.5673076923076923
cold_start,bbh_104,agent-openrouter-openai-gpt-4-1-nano-005,0,0,1,0.5619047619047619
cold_start,bbh_105,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.5566037735849056
cold_start,bbh_106,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.5514018691588785
cold_start,bbh_107,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5555555555555556
cold_start,bbh_108,agent-openrouter-openai-gpt-4-1-nano-004,0,0,1,0.5504587155963303
cold_start,bbh_109,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.5545454545454546
cold_start,bbh_110,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.5585585585585585
cold_start,bbh_111,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.5535714285714286
cold_start,bbh_112,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5575221238938053
cold_start,bbh_113,agent-openrouter-openai-gpt-4-1-nano-004,0,1,1,0.5614035087719298
cold_start,bbh_114,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.5652173913043478
cold_start,bbh_115,agent-openrouter-openai-gpt-4-1-nano-001,0,0,1,0.5603448275862069
cold_start,bbh_116,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.5555555555555556
cold_start,bbh_117,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.559322033898305
cold_start,bbh_118,agent-openrouter-openai-gpt-4-1-nano-004,0,0,1,0.5546218487394958
cold_start,bbh_119,agent-openrouter-openai-gpt-4-1-nano-005,0,1,1,0.5583333333333333
cold_start,bbh_120,agent-openrouter-openai-gpt-4-1-nano-001,0,1,1,0.5619834710743802
cold_start,bbh_121,agent-openrouter-openai-gpt-4-1-nano-002,0,0,1,0.5573770491803278
cold_start,bbh_122,agent-openrouter-openai-gpt-4-1-nano-003,0,1,1,0.5609756097560976
