phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,exp_01160_amc,agent-openrouter-deepseek-v3-006,0,0,1,0.0
cold_start,exp_00849_amc,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.0
cold_start,exp_01089_amc,agent-openrouter-openai-gpt-5-nano-002,0,0,1,0.0
cold_start,exp_00656_gsm8k,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.25
cold_start,exp_01366_amc,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.2
cold_start,exp_01333_medical_qa,agent-openrouter-deepseek-v3-006,0,1,1,0.3333333333333333
cold_start,exp_01137_medical_qa,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2857142857142857
cold_start,exp_01386_bbh,agent-openrouter-openai-gpt-5-nano-002,0,0,1,0.25
cold_start,exp_00228_bbh,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.3333333333333333
cold_start,exp_00185_bbh,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.4
cold_start,exp_01742_bbh,agent-openrouter-deepseek-v3-006,0,1,1,0.45454545454545453
cold_start,exp_00892_humaneval,agent-openrouter-gemma-3-4b-it-005,0,1,1,0.5
cold_start,exp_00569_bbh,agent-openrouter-openai-gpt-5-nano-002,0,0,1,0.46153846153846156
cold_start,exp_01090_gsm8k,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.42857142857142855
cold_start,exp_00781_medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.4
cold_start,exp_01543_humaneval,agent-openrouter-deepseek-v3-006,0,1,1,0.4375
cold_start,exp_00202_humaneval,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.4117647058823529
cold_start,exp_00470_humaneval,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.3888888888888889
cold_start,exp_00232_humaneval,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.3684210526315789
cold_start,exp_00939_humaneval,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.4
cold_start,exp_01862_bbh,agent-openrouter-deepseek-v3-006,0,0,1,0.38095238095238093
cold_start,exp_00223_amc,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.36363636363636365
cold_start,exp_00406_bbh,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.34782608695652173
cold_start,exp_01651_bbh,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.3333333333333333
cold_start,exp_00073_bbh,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.32
cold_start,exp_00627_amc,agent-openrouter-deepseek-v3-006,0,0,1,0.3076923076923077
cold_start,exp_00760_bbh,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2962962962962963
cold_start,exp_00243_amc,agent-openrouter-openai-gpt-5-nano-002,0,0,1,0.2857142857142857
cold_start,exp_00255_bbh,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.27586206896551724
cold_start,exp_00591_medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.3
cold_start,exp_00210_bbh,agent-openrouter-deepseek-v3-006,0,0,1,0.2903225806451613
cold_start,exp_01644_gsm8k,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.28125
cold_start,exp_00978_humaneval,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.2727272727272727
cold_start,exp_00053_bbh,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.29411764705882354
cold_start,exp_00448_medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.2857142857142857
cold_start,exp_00225_amc,agent-openrouter-deepseek-v3-006,0,0,1,0.2777777777777778
cold_start,exp_00547_amc,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2702702702702703
cold_start,exp_01170_bbh,agent-openrouter-openai-gpt-5-nano-002,0,0,1,0.2631578947368421
cold_start,exp_00427_medical_qa,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.28205128205128205
cold_start,exp_01050_bbh,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.3
cold_start,exp_01991_bbh,agent-openrouter-deepseek-v3-006,0,0,1,0.2926829268292683
cold_start,exp_00846_gsm8k,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2857142857142857
cold_start,exp_01675_medical_qa,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.27906976744186046
cold_start,exp_00111_medical_qa,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.29545454545454547
cold_start,exp_01689_amc,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.28888888888888886
cold_start,exp_00286_humaneval,agent-openrouter-deepseek-v3-006,0,0,1,0.2826086956521739
cold_start,exp_00455_bbh,agent-openrouter-gemma-3-4b-it-005,0,1,1,0.2978723404255319
cold_start,exp_01666_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,1,1,0.3125
cold_start,exp_00692_amc,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.30612244897959184
cold_start,exp_00630_medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.3
cold_start,exp_00707_bbh,agent-openrouter-deepseek-v3-006,0,1,1,0.3137254901960784
cold_start,exp_00819_medical_qa,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.3076923076923077
cold_start,exp_00499_medical_qa,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.3018867924528302
cold_start,exp_01340_medical_qa,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.2962962962962963
cold_start,exp_00743_bbh,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.3090909090909091
cold_start,exp_01230_humaneval,agent-openrouter-deepseek-v3-006,0,0,1,0.30357142857142855
cold_start,exp_00782_gsm8k,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2982456140350877
cold_start,exp_00444_bbh,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.29310344827586204
cold_start,exp_00425_bbh,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.288135593220339
cold_start,exp_00674_medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.3
cold_start,exp_01256_bbh,agent-openrouter-deepseek-v3-006,0,0,1,0.29508196721311475
cold_start,exp_01093_medical_qa,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2903225806451613
cold_start,exp_00480_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.2857142857142857
cold_start,exp_00843_bbh,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.28125
cold_start,exp_00140_humaneval,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.27692307692307694
cold_start,exp_00564_medical_qa,agent-openrouter-deepseek-v3-006,0,1,1,0.2878787878787879
cold_start,exp_01838_humaneval,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2835820895522388
cold_start,exp_01064_humaneval,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.27941176470588236
cold_start,exp_00847_humaneval,agent-openrouter-openai-gpt-oss-120b-003,0,0,0,0.2753623188405797
cold_start,exp_00923_amc,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.2714285714285714
cold_start,exp_01843_amc,agent-openrouter-deepseek-v3-006,0,0,1,0.2676056338028169
cold_start,exp_01534_amc,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2638888888888889
cold_start,exp_01912_amc,agent-openrouter-openai-gpt-5-nano-002,0,0,1,0.2602739726027397
cold_start,exp_01100_humaneval,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.25675675675675674
cold_start,exp_00428_gsm8k,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.25333333333333335
cold_start,exp_00478_bbh,agent-openrouter-deepseek-v3-006,0,0,1,0.25
cold_start,exp_01277_bbh,agent-openrouter-gemma-3-4b-it-005,0,1,1,0.2597402597402597
cold_start,exp_01975_medical_qa,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.2564102564102564
cold_start,exp_00091_amc,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.25316455696202533
cold_start,exp_00006_amc,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.25
cold_start,exp_01608_medical_qa,agent-openrouter-deepseek-v3-006,0,1,1,0.25925925925925924
cold_start,exp_00510_medical_qa,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.25609756097560976
cold_start,exp_01636_humaneval,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.25301204819277107
cold_start,exp_01784_amc,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.25
cold_start,exp_00296_gsm8k,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.25882352941176473
cold_start,exp_01015_humaneval,agent-openrouter-deepseek-v3-006,0,1,1,0.26744186046511625
cold_start,exp_00735_medical_qa,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.26436781609195403
cold_start,exp_00027_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,1,1,0.2727272727272727
cold_start,exp_01283_gsm8k,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.2808988764044944
cold_start,exp_00920_amc,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.2777777777777778
cold_start,exp_00209_medical_qa,agent-openrouter-deepseek-v3-006,0,0,1,0.27472527472527475
cold_start,exp_01961_humaneval,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.2717391304347826
cold_start,exp_00086_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.26881720430107525
cold_start,exp_00485_gsm8k,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.2765957446808511
cold_start,exp_00677_humaneval,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.2736842105263158
cold_start,exp_01545_amc,agent-openrouter-deepseek-v3-006,0,0,1,0.2708333333333333
cold_start,exp_01057_amc,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.26804123711340205
cold_start,exp_01123_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,1,1,0.2755102040816326
cold_start,exp_01373_bbh,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.2828282828282828
cold_start,exp_01105_amc,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.28
cold_start,exp_00916_gsm8k,agent-openrouter-deepseek-v3-006,0,0,1,0.27722772277227725
cold_start,exp_01936_humaneval,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.27450980392156865
cold_start,exp_01575_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,1,1,0.2815533980582524
cold_start,exp_00615_humaneval,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.27884615384615385
cold_start,exp_00381_amc,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.2761904761904762
cold_start,exp_00138_bbh,agent-openrouter-deepseek-v3-006,0,0,1,0.27358490566037735
cold_start,exp_01381_gsm8k,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.27102803738317754
cold_start,exp_00808_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.26851851851851855
cold_start,exp_00726_humaneval,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.26605504587155965
cold_start,exp_01372_amc,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.2636363636363636
cold_start,exp_00922_bbh,agent-openrouter-deepseek-v3-006,0,0,1,0.26126126126126126
cold_start,exp_00933_medical_qa,agent-openrouter-gemma-3-4b-it-005,0,1,1,0.26785714285714285
cold_start,exp_00683_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.26548672566371684
cold_start,exp_00724_bbh,agent-openrouter-openai-gpt-oss-120b-003,0,1,1,0.2719298245614035
cold_start,exp_01852_bbh,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.2782608695652174
cold_start,exp_01308_amc,agent-openrouter-deepseek-v3-006,0,0,1,0.27586206896551724
cold_start,exp_00322_medical_qa,agent-openrouter-gemma-3-4b-it-005,0,1,1,0.28205128205128205
cold_start,exp_01102_medical_qa,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.2796610169491525
cold_start,exp_00986_amc,agent-openrouter-openai-gpt-oss-120b-003,0,0,0,0.2773109243697479
cold_start,exp_00827_medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.2833333333333333
cold_start,exp_00443_amc,agent-openrouter-deepseek-v3-006,0,0,1,0.2809917355371901
cold_start,exp_01437_gsm8k,agent-openrouter-gemma-3-4b-it-005,0,1,1,0.28688524590163933
cold_start,exp_00283_gsm8k,agent-openrouter-openai-gpt-5-nano-002,0,0,0,0.2845528455284553
cold_start,exp_01287_humaneval,agent-openrouter-openai-gpt-oss-120b-003,0,0,1,0.28225806451612906
cold_start,exp_01265_bbh,agent-openrouter-qwen-2.5-7b-instruct-004,0,1,1,0.288
cold_start,exp_00938_gsm8k,agent-openrouter-deepseek-v3-006,0,0,1,0.2857142857142857
cold_start,exp_01362_amc,agent-openrouter-gemma-3-4b-it-005,0,0,1,0.28346456692913385
cold_start,exp_00229_amc,agent-openrouter-openai-gpt-5-nano-002,0,0,1,0.28125
cold_start,exp_01174_amc,agent-openrouter-openai-gpt-oss-120b-003,0,0,0,0.27906976744186046
cold_start,exp_01735_medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,0,0,1,0.27692307692307694
