phase,benchmark,task_type,difficulty_bin,agent,n,acc
cold_start,amc,unknown,__all__,agent-openrouter-deepseek-v3-006,8,0.000000
cold_start,amc,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,9,0.000000
cold_start,amc,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,8,0.000000
cold_start,amc,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,9,0.000000
cold_start,amc,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,5,0.000000
cold_start,gsm8k,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,5,0.800000
cold_start,gsm8k,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,7,0.142857
cold_start,gsm8k,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,12,0.333333
cold_start,gsm8k,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,3,0.333333
cold_start,gsm8k,unknown,__all__,agent-openrouter-deepseek-v3-006,8,0.500000
cold_start,medical_qa,unknown,__all__,agent-openrouter-deepseek-v3-006,7,0.428571
cold_start,medical_qa,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,8,0.250000
cold_start,medical_qa,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,11,0.454545
cold_start,medical_qa,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,10,0.500000
cold_start,medical_qa,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,8,0.000000
cold_start,bbh,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,7,0.000000
cold_start,bbh,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,11,0.636364
cold_start,bbh,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,8,0.625000
cold_start,bbh,unknown,__all__,agent-openrouter-deepseek-v3-006,9,0.222222
cold_start,bbh,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,5,0.600000
cold_start,humaneval,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,11,0.272727
cold_start,humaneval,unknown,__all__,agent-openrouter-deepseek-v3-006,8,0.375000
cold_start,humaneval,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,5,0.000000
cold_start,humaneval,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,9,0.111111
cold_start,humaneval,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,9,0.111111
pretrain,medical_qa,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,13,0.692308
pretrain,medical_qa,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,15,0.333333
pretrain,medical_qa,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,17,0.764706
pretrain,medical_qa,unknown,__all__,agent-openrouter-deepseek-v3-006,3,0.333333
pretrain,medical_qa,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,5,0.600000
pretrain,humaneval,unknown,__all__,agent-openrouter-deepseek-v3-006,20,0.200000
pretrain,humaneval,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,15,0.333333
pretrain,humaneval,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,3,0.000000
pretrain,humaneval,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,6,0.333333
pretrain,humaneval,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,14,0.214286
pretrain,amc,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,73,0.000000
pretrain,bbh,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,8,0.500000
pretrain,bbh,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,3,0.333333
pretrain,bbh,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,5,0.400000
pretrain,bbh,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,35,0.457143
pretrain,bbh,unknown,__all__,agent-openrouter-deepseek-v3-006,9,0.444444
pretrain,gsm8k,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,20,0.550000
pretrain,gsm8k,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,11,0.181818
pretrain,gsm8k,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,7,0.571429
pretrain,gsm8k,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,16,0.500000
pretrain,gsm8k,unknown,__all__,agent-openrouter-deepseek-v3-006,2,0.000000
test,gsm8k,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,8,0.125000
test,gsm8k,unknown,__all__,agent-openrouter-deepseek-v3-006,3,1.000000
test,gsm8k,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,2,0.000000
test,gsm8k,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,8,0.750000
test,gsm8k,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,4,0.750000
test,bbh,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,15,0.333333
test,bbh,unknown,__all__,agent-openrouter-deepseek-v3-006,4,0.500000
test,bbh,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,3,0.666667
test,bbh,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,1,0.000000
test,bbh,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,1,0.000000
test,medical_qa,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,1,0.000000
test,medical_qa,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,6,0.666667
test,medical_qa,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,7,0.714286
test,medical_qa,unknown,__all__,agent-openrouter-deepseek-v3-006,1,1.000000
test,medical_qa,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,1,0.000000
test,amc,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,18,0.000000
test,humaneval,unknown,__all__,agent-openrouter-qwen-2.5-7b-instruct-004,3,0.000000
test,humaneval,unknown,__all__,agent-openrouter-openai-gpt-5-nano-002,5,0.000000
test,humaneval,unknown,__all__,agent-openrouter-deepseek-v3-006,6,0.500000
test,humaneval,unknown,__all__,agent-openrouter-gemma-3-4b-it-005,2,1.000000
test,humaneval,unknown,__all__,agent-openrouter-openai-gpt-oss-120b-003,1,0.000000
