phase,benchmark,agent,chosen_n,acc_when_chosen
cold_start,amc,agent-openrouter-gemma-3-4b-it-005,9,0.000000
cold_start,amc,agent-openrouter-qwen-2.5-7b-instruct-004,9,0.000000
cold_start,amc,agent-openrouter-deepseek-v3-006,8,0.000000
cold_start,amc,agent-openrouter-openai-gpt-5-nano-002,8,0.000000
cold_start,amc,agent-openrouter-openai-gpt-oss-120b-003,5,0.000000
cold_start,amc,__overall__,39,0.000000
cold_start,gsm8k,agent-openrouter-openai-gpt-5-nano-002,12,0.333333
cold_start,gsm8k,agent-openrouter-deepseek-v3-006,8,0.500000
cold_start,gsm8k,agent-openrouter-gemma-3-4b-it-005,7,0.142857
cold_start,gsm8k,agent-openrouter-openai-gpt-oss-120b-003,5,0.800000
cold_start,gsm8k,agent-openrouter-qwen-2.5-7b-instruct-004,3,0.333333
cold_start,gsm8k,__overall__,35,0.400000
cold_start,medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,11,0.454545
cold_start,medical_qa,agent-openrouter-openai-gpt-oss-120b-003,10,0.500000
cold_start,medical_qa,agent-openrouter-gemma-3-4b-it-005,8,0.250000
cold_start,medical_qa,agent-openrouter-openai-gpt-5-nano-002,8,0.000000
cold_start,medical_qa,agent-openrouter-deepseek-v3-006,7,0.428571
cold_start,medical_qa,__overall__,44,0.340909
cold_start,bbh,agent-openrouter-openai-gpt-oss-120b-003,11,0.636364
cold_start,bbh,agent-openrouter-deepseek-v3-006,9,0.222222
cold_start,bbh,agent-openrouter-qwen-2.5-7b-instruct-004,8,0.625000
cold_start,bbh,agent-openrouter-openai-gpt-5-nano-002,7,0.000000
cold_start,bbh,agent-openrouter-gemma-3-4b-it-005,5,0.600000
cold_start,bbh,__overall__,40,0.425000
cold_start,humaneval,agent-openrouter-gemma-3-4b-it-005,11,0.272727
cold_start,humaneval,agent-openrouter-openai-gpt-oss-120b-003,9,0.111111
cold_start,humaneval,agent-openrouter-qwen-2.5-7b-instruct-004,9,0.111111
cold_start,humaneval,agent-openrouter-deepseek-v3-006,8,0.375000
cold_start,humaneval,agent-openrouter-openai-gpt-5-nano-002,5,0.000000
cold_start,humaneval,__overall__,42,0.190476
pretrain,medical_qa,agent-openrouter-qwen-2.5-7b-instruct-004,17,0.764706
pretrain,medical_qa,agent-openrouter-openai-gpt-5-nano-002,15,0.333333
