phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,bbh_72,agent-openrouter-deepseek-v3-006,0,1,1,1.0
cold_start,bbh_16,agent-openrouter-deepseek-v3-007,0,1,1,1.0
cold_start,bbh_206,agent-openrouter-deepseek-v3-008,0,0,1,0.6666666666666666
cold_start,bbh_100,agent-openrouter-deepseek-v3-009,0,1,1,0.75
cold_start,bbh_101,agent-openrouter-deepseek-v3-010,0,1,1,0.8
cold_start,bbh_225,agent-openrouter-deepseek-v3-006,0,1,1,0.8333333333333334
cold_start,bbh_11,agent-openrouter-deepseek-v3-007,0,1,1,0.8571428571428571
cold_start,bbh_156,agent-openrouter-deepseek-v3-008,0,1,1,0.875
cold_start,bbh_93,agent-openrouter-deepseek-v3-009,0,1,1,0.8888888888888888
cold_start,bbh_194,agent-openrouter-deepseek-v3-010,0,0,1,0.8
cold_start,bbh_164,agent-openrouter-deepseek-v3-006,0,1,1,0.8181818181818182
cold_start,bbh_94,agent-openrouter-deepseek-v3-007,0,1,1,0.8333333333333334
cold_start,bbh_55,agent-openrouter-deepseek-v3-008,0,1,1,0.8461538461538461
cold_start,bbh_21,agent-openrouter-deepseek-v3-009,0,1,1,0.8571428571428571
cold_start,bbh_30,agent-openrouter-deepseek-v3-010,0,0,1,0.8
cold_start,bbh_87,agent-openrouter-deepseek-v3-006,0,1,1,0.8125
cold_start,bbh_182,agent-openrouter-deepseek-v3-007,0,1,1,0.8235294117647058
cold_start,bbh_137,agent-openrouter-deepseek-v3-008,0,1,1,0.8333333333333334
cold_start,bbh_148,agent-openrouter-deepseek-v3-009,0,1,1,0.8421052631578947
cold_start,bbh_216,agent-openrouter-deepseek-v3-010,0,1,1,0.85
cold_start,bbh_117,agent-openrouter-deepseek-v3-006,0,1,1,0.8571428571428571
cold_start,bbh_143,agent-openrouter-deepseek-v3-007,0,1,1,0.8636363636363636
cold_start,bbh_173,agent-openrouter-deepseek-v3-008,0,1,1,0.8695652173913043
cold_start,bbh_35,agent-openrouter-deepseek-v3-009,0,1,1,0.875
cold_start,bbh_203,agent-openrouter-deepseek-v3-010,0,1,1,0.88
cold_start,bbh_178,agent-openrouter-deepseek-v3-006,0,1,1,0.8846153846153846
cold_start,bbh_221,agent-openrouter-deepseek-v3-007,0,1,1,0.8888888888888888
cold_start,bbh_144,agent-openrouter-deepseek-v3-008,0,1,1,0.8928571428571429
cold_start,bbh_74,agent-openrouter-deepseek-v3-009,0,1,1,0.896551724137931
cold_start,bbh_207,agent-openrouter-deepseek-v3-010,0,1,1,0.9
cold_start,bbh_45,agent-openrouter-deepseek-v3-006,0,1,1,0.9032258064516129
cold_start,bbh_214,agent-openrouter-deepseek-v3-007,0,1,1,0.90625
cold_start,bbh_97,agent-openrouter-deepseek-v3-008,0,0,1,0.8787878787878788
cold_start,bbh_502,agent-openrouter-deepseek-v3-009,0,1,1,0.8823529411764706
cold_start,bbh_474,agent-openrouter-deepseek-v3-010,0,1,1,0.8857142857142857
cold_start,bbh_596,agent-openrouter-deepseek-v3-006,0,1,1,0.8888888888888888
cold_start,bbh_505,agent-openrouter-deepseek-v3-007,0,0,1,0.8648648648648649
