phase,task_type,acc,n,macro_acc,k
cold_start,boolean_expressions,0.8787878787878788,33,,
cold_start,date_understanding,0.8181818181818182,33,,
cold_start,movie_recommendation,0.7647058823529411,34,,
cold_start,navigate,0.7272727272727273,33,,
cold_start,sports_understanding,0.9090909090909091,33,,
cold_start,web_of_lies,0.4411764705882353,34,,
cold_start,__macro__,,200,0.7565359477124184,6
pretrain,boolean_expressions,0.92,50,,
pretrain,date_understanding,0.8,50,,
pretrain,movie_recommendation,0.76,50,,
pretrain,navigate,0.68,50,,
pretrain,sports_understanding,0.7,50,,
pretrain,web_of_lies,0.54,50,,
pretrain,__macro__,,300,0.7333333333333334,6
test,boolean_expressions,0.9411764705882353,17,,
test,date_understanding,0.9411764705882353,17,,
test,movie_recommendation,1.0,16,,
test,navigate,0.6470588235294118,17,,
test,sports_understanding,0.8235294117647058,17,,
test,web_of_lies,0.8125,16,,
test,__macro__,,100,0.860906862745098,6
