phase,task_type,acc,n,macro_acc,k
cold_start,boolean_expressions,0.7878787878787878,33,,
cold_start,date_understanding,0.5151515151515151,33,,
cold_start,movie_recommendation,0.6764705882352942,34,,
cold_start,navigate,0.5151515151515151,33,,
cold_start,sports_understanding,0.7575757575757576,33,,
cold_start,web_of_lies,0.3235294117647059,34,,
cold_start,__macro__,,200,0.5959595959595959,6
pretrain,boolean_expressions,0.74,50,,
pretrain,date_understanding,0.6,50,,
pretrain,movie_recommendation,0.52,50,,
pretrain,navigate,0.66,50,,
pretrain,sports_understanding,0.76,50,,
pretrain,web_of_lies,0.54,50,,
pretrain,__macro__,,300,0.6366666666666667,6
test,boolean_expressions,0.7647058823529411,17,,
test,date_understanding,0.7647058823529411,17,,
test,movie_recommendation,0.5,16,,
test,navigate,0.5882352941176471,17,,
test,sports_understanding,0.7058823529411765,17,,
test,web_of_lies,0.5,16,,
test,__macro__,,100,0.6372549019607844,6
