phase,task_type,acc,n,macro_acc,k
cold_start,boolean_expressions,0.7,40,,
cold_start,disambiguation_qa,0.45,40,,
cold_start,logical_deduction,0.6,40,,
cold_start,movie_recommendation,0.65,40,,
cold_start,sports_understanding,0.575,40,,
cold_start,__macro__,,200,0.595,5
pretrain,boolean_expressions,0.55,60,,
pretrain,disambiguation_qa,0.5,60,,
pretrain,logical_deduction,0.6166666666666667,60,,
pretrain,movie_recommendation,0.6,60,,
pretrain,sports_understanding,0.48333333333333334,60,,
pretrain,__macro__,,300,0.55,5
test,boolean_expressions,0.65,20,,
test,disambiguation_qa,0.6,20,,
test,logical_deduction,0.45,20,,
test,movie_recommendation,0.55,20,,
test,sports_understanding,0.45,20,,
test,__macro__,,100,0.54,5
