shock_type,shock_point,policy,n,p_hard,success_rate_pre_shock,success_rate_post_shock,success_rate_overall,success_rate_drop,recovery_time,recovery_status,deadlock_rate,worst_rolling_window,avg_latency_ms,total_cost,cost_per_correct,choose_A,choose_B,choose_C,choose_D,choose_E,choose_F,choose_G,choose_H,choose_I,choose_J,choose_A_pre,choose_B_pre,choose_C_pre,choose_D_pre,choose_E_pre,choose_F_pre,choose_G_pre,choose_H_pre,choose_I_pre,choose_J_pre,choose_A_post,choose_B_post,choose_C_post,choose_D_post,choose_E_post,choose_F_post,choose_G_post,choose_H_post,choose_I_post,choose_J_post
A_unavailable,1,static_rule,2,0.5,1.0,0.0,0.5,1.0,-1,Not Recovered,0.0,0.5,7063.268542289734,0.2,0.2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A_unavailable,1,random,2,0.5,0.0,0.0,0.0,0.0,0,Recovered,0.0,0.0,5990.173578262329,0.35,0.35,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A_unavailable,1,random_topL,2,0.5,0.0,1.0,0.5,-1.0,0,Recovered,0.0,0.0,2104.4193506240845,1.075,1.075,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A_unavailable,1,linucb,2,0.5,0.0,1.0,0.5,-1.0,0,Recovered,0.0,0.0,2098.283886909485,1.1,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A_unavailable,1,linucb_frozen,2,0.5,0.0,1.0,0.5,-1.0,0,Recovered,0.0,0.0,1877.9767751693726,1.1,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A_degraded,1,static_rule,2,0.5,1.0,0.0,0.5,1.0,-1,Not Recovered,0.0,0.5,3583.3487510681152,0.2,0.2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A_degraded,1,random,2,0.5,1.0,0.0,0.5,1.0,-1,Not Recovered,0.0,0.5,5012.436032295227,0.44999999999999996,0.44999999999999996,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A_degraded,1,random_topL,2,0.5,1.0,1.0,1.0,0.0,0,Recovered,0.0,1.0,1081.2790393829346,0.44999999999999996,0.22499999999999998,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A_degraded,1,linucb,2,0.5,0.0,1.0,0.5,-1.0,0,Recovered,0.0,0.0,1952.5423049926758,1.1,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A_degraded,1,linucb_frozen,2,0.5,0.0,1.0,0.5,-1.0,0,Recovered,0.0,0.0,2137.6187801361084,1.1,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
