t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,50,linucb_frozen,hard,D,0.95,3484.2846393585205,1.0,0,api_fail,pre
1,A_degraded,50,linucb_frozen,simple,A,0.95,637.5155448913574,0.1,1,none,pre
2,A_degraded,50,linucb_frozen,simple,A,0.95,663.3191108703613,0.1,1,none,pre
3,A_degraded,50,linucb_frozen,hard,D,0.95,2271.0511684417725,1.0,1,none,pre
4,A_degraded,50,linucb_frozen,hard,D,0.95,1967.5626754760742,1.0,1,none,pre
5,A_degraded,50,linucb_frozen,simple,A,0.95,594.1364765167236,0.1,1,none,pre
6,A_degraded,50,linucb_frozen,simple,A,0.95,584.1696262359619,0.1,1,none,pre
7,A_degraded,50,linucb_frozen,simple,A,0.95,703.411340713501,0.1,1,none,pre
8,A_degraded,50,linucb_frozen,hard,D,0.95,1971.9245433807373,1.0,1,none,pre
9,A_degraded,50,linucb_frozen,simple,A,0.95,608.588457107544,0.1,1,none,pre
10,A_degraded,50,linucb_frozen,hard,D,0.95,2415.790319442749,1.0,1,none,pre
11,A_degraded,50,linucb_frozen,hard,D,0.95,3130.6445598602295,1.0,0,api_fail,pre
12,A_degraded,50,linucb_frozen,simple,A,0.95,582.1475982666016,0.1,1,none,pre
13,A_degraded,50,linucb_frozen,hard,D,0.95,3845.9458351135254,1.0,0,api_fail,pre
14,A_degraded,50,linucb_frozen,simple,A,0.95,590.3275012969971,0.1,1,none,pre
15,A_degraded,50,linucb_frozen,simple,A,0.95,634.5336437225342,0.1,1,none,pre
16,A_degraded,50,linucb_frozen,hard,E,0.75,1574.174165725708,0.35,1,none,pre
17,A_degraded,50,linucb_frozen,simple,A,0.95,599.0743637084961,0.1,1,none,pre
18,A_degraded,50,linucb_frozen,simple,A,0.95,706.6442966461182,0.1,1,none,pre
19,A_degraded,50,linucb_frozen,hard,D,0.95,3125.5528926849365,1.0,0,api_fail,pre
20,A_degraded,50,linucb_frozen,hard,E,0.75,2925.107479095459,0.35,1,none,pre
21,A_degraded,50,linucb_frozen,simple,A,0.95,637.0081901550293,0.1,1,none,pre
22,A_degraded,50,linucb_frozen,simple,A,0.95,671.550989151001,0.1,1,none,pre
23,A_degraded,50,linucb_frozen,hard,D,0.95,2854.3167114257812,1.0,1,none,pre
24,A_degraded,50,linucb_frozen,hard,E,0.75,1149.0271091461182,0.35,1,none,pre
25,A_degraded,50,linucb_frozen,hard,D,0.95,3868.168592453003,1.0,0,api_fail,pre
26,A_degraded,50,linucb_frozen,simple,A,0.95,675.0538349151611,0.1,1,none,pre
27,A_degraded,50,linucb_frozen,hard,E,0.75,2061.584949493408,0.35,1,none,pre
28,A_degraded,50,linucb_frozen,hard,E,0.75,3033.461332321167,0.35,1,none,pre
29,A_degraded,50,linucb_frozen,hard,D,0.95,3123.852014541626,1.0,0,api_fail,pre
30,A_degraded,50,linucb_frozen,hard,E,0.75,1424.7033596038818,0.35,1,none,pre
31,A_degraded,50,linucb_frozen,simple,A,0.95,625.6577968597412,0.1,1,none,pre
32,A_degraded,50,linucb_frozen,hard,E,0.75,6510.088205337524,0.35,1,none,pre
33,A_degraded,50,linucb_frozen,hard,E,0.75,2248.1648921966553,0.35,1,none,pre
34,A_degraded,50,linucb_frozen,simple,A,0.95,593.1036472320557,0.1,1,none,pre
35,A_degraded,50,linucb_frozen,simple,A,0.95,606.8594455718994,0.1,1,none,pre
36,A_degraded,50,linucb_frozen,simple,A,0.95,591.4463996887207,0.1,1,none,pre
37,A_degraded,50,linucb_frozen,hard,D,0.95,2462.100028991699,1.0,1,none,pre
38,A_degraded,50,linucb_frozen,hard,D,0.95,2776.7553329467773,1.0,1,none,pre
39,A_degraded,50,linucb_frozen,hard,E,0.75,1465.0297164916992,0.35,1,none,pre
40,A_degraded,50,linucb_frozen,simple,A,0.95,609.0953350067139,0.1,1,none,pre
41,A_degraded,50,linucb_frozen,hard,D,0.95,2217.7820205688477,1.0,1,none,pre
42,A_degraded,50,linucb_frozen,simple,A,0.95,620.8624839782715,0.1,1,none,pre
43,A_degraded,50,linucb_frozen,hard,E,0.75,3140.2602195739746,0.35,1,none,pre
44,A_degraded,50,linucb_frozen,simple,A,0.95,680.3350448608398,0.1,1,none,pre
45,A_degraded,50,linucb_frozen,simple,A,0.95,677.344560623169,0.1,1,none,pre
46,A_degraded,50,linucb_frozen,hard,D,0.95,3192.246675491333,1.0,0,api_fail,pre
47,A_degraded,50,linucb_frozen,hard,E,0.75,4386.911392211914,0.35,1,none,pre
48,A_degraded,50,linucb_frozen,hard,E,0.75,1780.5111408233643,0.35,1,none,pre
49,A_degraded,50,linucb_frozen,simple,A,0.95,606.4376831054688,0.1,1,none,pre
50,A_degraded,50,linucb_frozen,hard,D,0.95,4192.9309368133545,1.0,0,api_fail,post
51,A_degraded,50,linucb_frozen,hard,D,0.95,1798.654317855835,1.0,1,none,post
52,A_degraded,50,linucb_frozen,simple,A,0.95,645.2579498291016,0.1,1,none,post
53,A_degraded,50,linucb_frozen,simple,A,0.95,787.8663539886475,0.1,1,none,post
54,A_degraded,50,linucb_frozen,hard,D,0.95,3733.153820037842,1.0,0,api_fail,post
55,A_degraded,50,linucb_frozen,simple,A,0.95,597.661018371582,0.1,1,none,post
56,A_degraded,50,linucb_frozen,hard,D,0.95,3767.1985626220703,1.0,0,api_fail,post
57,A_degraded,50,linucb_frozen,simple,A,0.95,537.2288227081299,0.1,1,none,post
58,A_degraded,50,linucb_frozen,simple,A,0.95,505.39255142211914,0.1,1,none,post
59,A_degraded,50,linucb_frozen,simple,A,0.95,564.7499561309814,0.1,1,none,post
60,A_degraded,50,linucb_frozen,simple,A,0.95,696.7289447784424,0.1,1,none,post
61,A_degraded,50,linucb_frozen,hard,D,0.95,3196.652889251709,1.0,0,api_fail,post
62,A_degraded,50,linucb_frozen,hard,D,0.95,2099.5609760284424,1.0,1,none,post
63,A_degraded,50,linucb_frozen,hard,D,0.95,3074.9120712280273,1.0,0,api_fail,post
64,A_degraded,50,linucb_frozen,hard,D,0.95,3189.973831176758,1.0,0,api_fail,post
65,A_degraded,50,linucb_frozen,hard,D,0.95,4029.500722885132,1.0,0,api_fail,post
66,A_degraded,50,linucb_frozen,simple,A,0.95,872.2162246704102,0.1,1,none,post
67,A_degraded,50,linucb_frozen,hard,D,0.95,3451.4944553375244,1.0,0,api_fail,post
68,A_degraded,50,linucb_frozen,hard,D,0.95,3617.2993183135986,1.0,0,api_fail,post
69,A_degraded,50,linucb_frozen,hard,D,0.95,2794.4562435150146,1.0,1,none,post
70,A_degraded,50,linucb_frozen,hard,D,0.95,3204.115152359009,1.0,0,api_fail,post
71,A_degraded,50,linucb_frozen,simple,A,0.95,767.8976058959961,0.1,1,none,post
72,A_degraded,50,linucb_frozen,hard,D,0.95,2397.6528644561768,1.0,1,none,post
73,A_degraded,50,linucb_frozen,hard,D,0.95,2495.8338737487793,1.0,1,none,post
74,A_degraded,50,linucb_frozen,simple,A,0.95,707.857608795166,0.1,1,none,post
75,A_degraded,50,linucb_frozen,simple,A,0.95,607.2428226470947,0.1,1,none,post
76,A_degraded,50,linucb_frozen,hard,D,0.95,4518.345832824707,1.0,0,api_fail,post
77,A_degraded,50,linucb_frozen,simple,A,0.95,689.6824836730957,0.1,1,none,post
78,A_degraded,50,linucb_frozen,hard,D,0.95,3640.7883167266846,1.0,0,api_fail,post
79,A_degraded,50,linucb_frozen,simple,A,0.95,797.4183559417725,0.1,1,none,post
80,A_degraded,50,linucb_frozen,simple,A,0.95,710.5889320373535,0.1,1,none,post
81,A_degraded,50,linucb_frozen,simple,A,0.95,1206.1522006988525,0.1,1,none,post
82,A_degraded,50,linucb_frozen,hard,D,0.95,3303.8170337677,1.0,0,api_fail,post
83,A_degraded,50,linucb_frozen,hard,D,0.95,3223.569631576538,1.0,0,api_fail,post
84,A_degraded,50,linucb_frozen,simple,A,0.95,802.4837970733643,0.1,1,none,post
85,A_degraded,50,linucb_frozen,simple,A,0.95,827.7091979980469,0.1,1,none,post
86,A_degraded,50,linucb_frozen,hard,D,0.95,1800.1148700714111,1.0,1,none,post
87,A_degraded,50,linucb_frozen,hard,D,0.95,4026.3137817382812,1.0,0,api_fail,post
88,A_degraded,50,linucb_frozen,hard,D,0.95,2588.4768962860107,1.0,1,none,post
89,A_degraded,50,linucb_frozen,hard,D,0.95,1777.313232421875,1.0,1,none,post
90,A_degraded,50,linucb_frozen,simple,A,0.95,716.6383266448975,0.1,1,none,post
91,A_degraded,50,linucb_frozen,simple,A,0.95,891.8266296386719,0.1,1,none,post
92,A_degraded,50,linucb_frozen,hard,D,0.95,3146.8303203582764,1.0,0,api_fail,post
93,A_degraded,50,linucb_frozen,hard,D,0.95,3238.0924224853516,1.0,0,api_fail,post
94,A_degraded,50,linucb_frozen,hard,D,0.95,2119.9350357055664,1.0,1,none,post
95,A_degraded,50,linucb_frozen,hard,D,0.95,3496.7172145843506,1.0,0,api_fail,post
96,A_degraded,50,linucb_frozen,simple,A,0.95,799.0734577178955,0.1,1,none,post
97,A_degraded,50,linucb_frozen,simple,A,0.95,902.7535915374756,0.1,1,none,post
98,A_degraded,50,linucb_frozen,hard,D,0.95,3828.4409046173096,1.0,0,api_fail,post
99,A_degraded,50,linucb_frozen,hard,D,0.95,3409.0211391448975,1.0,0,api_fail,post
