t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,50,random,hard,C,0.55,5093.26696395874,0.15,1,none,pre
1,A_degraded,50,random,simple,I,0.95,1689.9125576019287,0.1,1,none,pre
2,A_degraded,50,random,simple,G,0.9,2048.980951309204,0.25,0,logic_error,pre
3,A_degraded,50,random,hard,H,0.2,773.1897830963135,0.075,1,none,pre
4,A_degraded,50,random,hard,F,0.9,204.97632026672363,0.6,0,logic_error,pre
5,A_degraded,50,random,simple,H,0.95,651.494026184082,0.075,1,none,pre
6,A_degraded,50,random,simple,I,0.95,848.3848571777344,0.1,1,none,pre
7,A_degraded,50,random,simple,C,0.85,1829.0135860443115,0.15,1,none,pre
8,A_degraded,50,random,hard,H,0.2,692.1641826629639,0.075,1,none,pre
9,A_degraded,50,random,simple,J,0.92,671.5621948242188,0.1,1,none,pre
10,A_degraded,50,random,hard,H,0.2,852.630615234375,0.075,1,none,pre
11,A_degraded,50,random,hard,B,0.6,11076.354503631592,0.1,0,api_fail,pre
12,A_degraded,50,random,simple,H,0.95,742.041826248169,0.075,1,none,pre
13,A_degraded,50,random,hard,I,0.2,1023.4577655792236,0.1,1,none,pre
14,A_degraded,50,random,simple,G,0.9,215.34347534179688,0.25,0,logic_error,pre
15,A_degraded,50,random,simple,E,0.75,1738.07954788208,0.35,1,none,pre
16,A_degraded,50,random,hard,D,0.95,6105.084657669067,1.0,0,api_fail,pre
17,A_degraded,50,random,simple,D,0.8,1757.2336196899414,1.0,1,none,pre
18,A_degraded,50,random,simple,I,0.95,928.7338256835938,0.1,1,none,pre
19,A_degraded,50,random,hard,E,0.75,1434.5386028289795,0.35,1,none,pre
20,A_degraded,50,random,hard,G,0.45,234.12322998046875,0.25,0,logic_error,pre
21,A_degraded,50,random,simple,D,0.8,2629.701852798462,1.0,1,none,pre
22,A_degraded,50,random,simple,C,0.85,1111.7310523986816,0.15,1,none,pre
23,A_degraded,50,random,hard,A,0.2,722.3923206329346,0.1,1,none,pre
24,A_degraded,50,random,hard,G,0.45,211.35759353637695,0.25,0,logic_error,pre
25,A_degraded,50,random,hard,D,0.95,1735.5382442474365,1.0,1,none,pre
26,A_degraded,50,random,simple,H,0.95,767.7426338195801,0.075,1,none,pre
27,A_degraded,50,random,hard,C,0.55,3143.9406871795654,0.15,1,none,pre
28,A_degraded,50,random,hard,C,0.55,5617.283582687378,0.15,1,none,pre
29,A_degraded,50,random,hard,A,0.2,1576.620101928711,0.1,1,none,pre
30,A_degraded,50,random,hard,D,0.95,3181.2682151794434,1.0,1,none,pre
31,A_degraded,50,random,simple,B,0.6,9173.864603042603,0.1,0,api_fail,pre
32,A_degraded,50,random,hard,J,0.35,713.2909297943115,0.1,1,none,pre
33,A_degraded,50,random,hard,A,0.2,826.1406421661377,0.1,1,none,pre
34,A_degraded,50,random,simple,B,0.6,3343.710422515869,0.1,0,api_fail,pre
35,A_degraded,50,random,simple,J,0.92,647.3660469055176,0.1,1,none,pre
36,A_degraded,50,random,simple,G,0.9,230.2539348602295,0.25,0,logic_error,pre
37,A_degraded,50,random,hard,J,0.35,713.3982181549072,0.1,1,none,pre
38,A_degraded,50,random,hard,F,0.9,239.12739753723145,0.6,0,logic_error,pre
39,A_degraded,50,random,hard,I,0.2,957.0944309234619,0.1,1,none,pre
40,A_degraded,50,random,simple,E,0.75,2309.760808944702,0.35,1,none,pre
41,A_degraded,50,random,hard,B,0.6,9105.61490058899,0.1,0,api_fail,pre
42,A_degraded,50,random,simple,I,0.95,940.5124187469482,0.1,1,none,pre
43,A_degraded,50,random,hard,G,0.45,230.7887077331543,0.25,0,logic_error,pre
44,A_degraded,50,random,simple,G,0.9,274.33180809020996,0.25,0,logic_error,pre
45,A_degraded,50,random,simple,D,0.8,1848.738193511963,1.0,1,none,pre
46,A_degraded,50,random,hard,H,0.2,648.2510566711426,0.075,1,none,pre
47,A_degraded,50,random,hard,F,0.9,454.3313980102539,0.6,0,logic_error,pre
48,A_degraded,50,random,hard,D,0.95,2634.5767974853516,1.0,1,none,pre
49,A_degraded,50,random,simple,B,0.6,3527.1782875061035,0.1,0,api_fail,pre
50,A_degraded,50,random,hard,C,0.55,2042.5560474395752,0.15,1,none,post
51,A_degraded,50,random,hard,A,0.2,686.7215633392334,0.1,1,none,post
52,A_degraded,50,random,simple,E,0.75,1230.281114578247,0.35,1,none,post
53,A_degraded,50,random,simple,H,0.95,798.1476783752441,0.075,1,none,post
54,A_degraded,50,random,hard,C,0.55,2369.783878326416,0.15,1,none,post
55,A_degraded,50,random,simple,J,0.92,1312.0296001434326,0.1,1,none,post
56,A_degraded,50,random,hard,E,0.75,881.0825347900391,0.35,1,none,post
57,A_degraded,50,random,simple,E,0.75,1391.6211128234863,0.35,1,none,post
58,A_degraded,50,random,simple,D,0.8,1483.7336540222168,1.0,1,none,post
59,A_degraded,50,random,simple,I,0.95,1092.698335647583,0.1,1,none,post
60,A_degraded,50,random,simple,C,0.85,1028.379201889038,0.15,1,none,post
61,A_degraded,50,random,hard,I,0.2,848.7861156463623,0.1,1,none,post
