t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,50,random_topL,hard,F,0.9,207.34906196594238,0.6,0,logic_error,pre
1,A_degraded,50,random_topL,simple,A,0.95,786.5538597106934,0.1,1,none,pre
2,A_degraded,50,random_topL,simple,I,0.95,984.7066402435303,0.1,1,none,pre
3,A_degraded,50,random_topL,hard,E,0.75,1614.4564151763916,0.35,1,none,pre
4,A_degraded,50,random_topL,hard,E,0.75,2140.2759552001953,0.35,1,none,pre
5,A_degraded,50,random_topL,simple,A,0.95,676.9008636474609,0.1,1,none,pre
6,A_degraded,50,random_topL,simple,H,0.95,694.5028305053711,0.075,1,none,pre
7,A_degraded,50,random_topL,simple,A,0.95,875.3142356872559,0.1,1,none,pre
8,A_degraded,50,random_topL,hard,E,0.75,1549.1843223571777,0.35,1,none,pre
9,A_degraded,50,random_topL,simple,H,0.95,733.5517406463623,0.075,1,none,pre
10,A_degraded,50,random_topL,hard,D,0.95,1711.3265991210938,1.0,1,none,pre
11,A_degraded,50,random_topL,hard,E,0.75,1549.663782119751,0.35,1,none,pre
12,A_degraded,50,random_topL,simple,A,0.95,661.4944934844971,0.1,1,none,pre
13,A_degraded,50,random_topL,hard,D,0.95,5106.851577758789,1.0,0,api_fail,pre
14,A_degraded,50,random_topL,simple,A,0.95,704.7009468078613,0.1,1,none,pre
15,A_degraded,50,random_topL,simple,I,0.95,1398.1454372406006,0.1,1,none,pre
16,A_degraded,50,random_topL,hard,F,0.9,240.29922485351562,0.6,0,logic_error,pre
17,A_degraded,50,random_topL,simple,A,0.95,695.4424381256104,0.1,1,none,pre
18,A_degraded,50,random_topL,simple,A,0.95,724.4997024536133,0.1,1,none,pre
19,A_degraded,50,random_topL,hard,E,0.75,1811.8882179260254,0.35,1,none,pre
20,A_degraded,50,random_topL,hard,E,0.75,1636.5387439727783,0.35,1,none,pre
21,A_degraded,50,random_topL,simple,I,0.95,978.3802032470703,0.1,1,none,pre
22,A_degraded,50,random_topL,simple,I,0.95,1349.7583866119385,0.1,1,none,pre
23,A_degraded,50,random_topL,hard,E,0.75,1543.5295104980469,0.35,1,none,pre
24,A_degraded,50,random_topL,hard,D,0.95,2090.6777381896973,1.0,1,none,pre
25,A_degraded,50,random_topL,hard,F,0.9,239.34340476989746,0.6,0,logic_error,pre
26,A_degraded,50,random_topL,simple,A,0.95,678.2026290893555,0.1,1,none,pre
27,A_degraded,50,random_topL,hard,E,0.75,2068.986415863037,0.35,1,none,pre
28,A_degraded,50,random_topL,hard,E,0.75,1485.8765602111816,0.35,1,none,pre
29,A_degraded,50,random_topL,hard,F,0.9,216.44973754882812,0.6,0,logic_error,pre
30,A_degraded,50,random_topL,hard,D,0.95,4540.273666381836,1.0,0,api_fail,pre
31,A_degraded,50,random_topL,simple,A,0.95,575.674295425415,0.1,1,none,pre
32,A_degraded,50,random_topL,hard,E,0.75,1624.6562004089355,0.35,1,none,pre
33,A_degraded,50,random_topL,hard,E,0.75,4864.867210388184,0.35,1,none,pre
34,A_degraded,50,random_topL,simple,I,0.95,1807.8601360321045,0.1,1,none,pre
35,A_degraded,50,random_topL,simple,A,0.95,636.6715431213379,0.1,1,none,pre
36,A_degraded,50,random_topL,simple,A,0.95,622.3664283752441,0.1,1,none,pre
37,A_degraded,50,random_topL,hard,E,0.75,1680.485486984253,0.35,1,none,pre
38,A_degraded,50,random_topL,hard,E,0.75,3678.295135498047,0.35,1,none,pre
39,A_degraded,50,random_topL,hard,F,0.9,289.5398139953613,0.6,0,logic_error,pre
40,A_degraded,50,random_topL,simple,I,0.95,1073.840618133545,0.1,1,none,pre
41,A_degraded,50,random_topL,hard,E,0.75,1404.4289588928223,0.35,1,none,pre
42,A_degraded,50,random_topL,simple,H,0.95,742.729902267456,0.075,1,none,pre
43,A_degraded,50,random_topL,hard,F,0.9,231.29820823669434,0.6,0,logic_error,pre
44,A_degraded,50,random_topL,simple,I,0.95,977.0090579986572,0.1,1,none,pre
45,A_degraded,50,random_topL,simple,I,0.95,886.7871761322021,0.1,1,none,pre
46,A_degraded,50,random_topL,hard,F,0.9,243.8645362854004,0.6,0,logic_error,pre
47,A_degraded,50,random_topL,hard,E,0.75,3865.5736446380615,0.35,1,none,pre
48,A_degraded,50,random_topL,hard,D,0.95,3225.332021713257,1.0,0,api_fail,pre
49,A_degraded,50,random_topL,simple,A,0.95,688.4560585021973,0.1,1,none,pre
50,A_degraded,50,random_topL,hard,F,0.9,518.3899402618408,0.6,0,logic_error,post
51,A_degraded,50,random_topL,hard,E,0.75,1429.6953678131104,0.35,1,none,post
52,A_degraded,50,random_topL,simple,A,0.95,625.368595123291,0.1,1,none,post
53,A_degraded,50,random_topL,simple,I,0.95,1890.6126022338867,0.1,1,none,post
54,A_degraded,50,random_topL,hard,D,0.95,1901.5707969665527,1.0,1,none,post
55,A_degraded,50,random_topL,simple,H,0.95,723.3633995056152,0.075,1,none,post
56,A_degraded,50,random_topL,hard,F,0.9,255.05542755126953,0.6,0,logic_error,post
57,A_degraded,50,random_topL,simple,H,0.95,777.2386074066162,0.075,1,none,post
58,A_degraded,50,random_topL,simple,A,0.95,562.2649192810059,0.1,1,none,post
59,A_degraded,50,random_topL,simple,A,0.95,634.4094276428223,0.1,1,none,post
60,A_degraded,50,random_topL,simple,H,0.95,814.1195774078369,0.075,1,none,post
61,A_degraded,50,random_topL,hard,D,0.95,3020.2932357788086,1.0,0,api_fail,post
62,A_degraded,50,random_topL,hard,F,0.9,217.20075607299805,0.6,0,logic_error,post
63,A_degraded,50,random_topL,hard,D,0.95,3614.9117946624756,1.0,0,api_fail,post
64,A_degraded,50,random_topL,hard,D,0.95,4035.4082584381104,1.0,0,api_fail,post
65,A_degraded,50,random_topL,hard,E,0.75,1635.3344917297363,0.35,1,none,post
66,A_degraded,50,random_topL,simple,I,0.95,956.4344882965088,0.1,1,none,post
67,A_degraded,50,random_topL,hard,D,0.95,3055.2978515625,1.0,1,none,post
68,A_degraded,50,random_topL,hard,F,0.9,239.34650421142578,0.6,0,logic_error,post
69,A_degraded,50,random_topL,hard,D,0.95,3125.843286514282,1.0,0,api_fail,post
70,A_degraded,50,random_topL,hard,E,0.75,1206.935167312622,0.35,1,none,post
71,A_degraded,50,random_topL,simple,I,0.95,871.0527420043945,0.1,1,none,post
72,A_degraded,50,random_topL,hard,D,0.95,3453.312873840332,1.0,0,api_fail,post
73,A_degraded,50,random_topL,hard,E,0.75,912.193775177002,0.35,1,none,post
74,A_degraded,50,random_topL,simple,H,0.95,667.5095558166504,0.075,1,none,post
75,A_degraded,50,random_topL,simple,A,0.95,632.3637962341309,0.1,1,none,post
76,A_degraded,50,random_topL,hard,F,0.9,219.6805477142334,0.6,0,logic_error,post
77,A_degraded,50,random_topL,simple,H,0.95,677.445650100708,0.075,1,none,post
78,A_degraded,50,random_topL,hard,F,0.9,215.2540683746338,0.6,0,logic_error,post
79,A_degraded,50,random_topL,simple,I,0.95,1291.5818691253662,0.1,1,none,post
80,A_degraded,50,random_topL,simple,H,0.95,694.0498352050781,0.075,1,none,post
81,A_degraded,50,random_topL,simple,H,0.95,879.300594329834,0.075,1,none,post
82,A_degraded,50,random_topL,hard,E,0.75,1903.862476348877,0.35,1,none,post
83,A_degraded,50,random_topL,hard,F,0.9,255.33127784729004,0.6,0,logic_error,post
84,A_degraded,50,random_topL,simple,H,0.95,627.3727416992188,0.075,1,none,post
85,A_degraded,50,random_topL,simple,I,0.95,978.1086444854736,0.1,1,none,post
86,A_degraded,50,random_topL,hard,D,0.95,2858.7493896484375,1.0,1,none,post
87,A_degraded,50,random_topL,hard,D,0.95,4013.025999069214,1.0,0,api_fail,post
88,A_degraded,50,random_topL,hard,E,0.75,2182.7797889709473,0.35,1,none,post
89,A_degraded,50,random_topL,hard,F,0.9,234.0855598449707,0.6,0,logic_error,post
90,A_degraded,50,random_topL,simple,I,0.95,954.9033641815186,0.1,1,none,post
91,A_degraded,50,random_topL,simple,H,0.95,678.0452728271484,0.075,1,none,post
92,A_degraded,50,random_topL,hard,E,0.75,1213.5839462280273,0.35,1,none,post
93,A_degraded,50,random_topL,hard,F,0.9,449.7203826904297,0.6,0,logic_error,post
94,A_degraded,50,random_topL,hard,E,0.75,4512.465000152588,0.35,1,none,post
95,A_degraded,50,random_topL,hard,D,0.95,3514.6050453186035,1.0,0,api_fail,post
96,A_degraded,50,random_topL,simple,H,0.95,698.6179351806641,0.075,1,none,post
97,A_degraded,50,random_topL,simple,H,0.95,684.7178936004639,0.075,1,none,post
98,A_degraded,50,random_topL,hard,D,0.95,2732.678174972534,1.0,1,none,post
99,A_degraded,50,random_topL,hard,F,0.9,257.5521469116211,0.6,0,logic_error,post
