t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,50,static_rule,hard,A,0.2,1214.9617671966553,0.1,1,none,pre
1,A_degraded,50,static_rule,simple,B,0.6,7278.581142425537,0.1,0,api_fail,pre
2,A_degraded,50,static_rule,simple,B,0.6,6585.396528244019,0.1,0,api_fail,pre
3,A_degraded,50,static_rule,hard,A,0.2,734.699010848999,0.1,1,none,pre
4,A_degraded,50,static_rule,hard,A,0.2,1826.8423080444336,0.1,1,none,pre
5,A_degraded,50,static_rule,simple,B,0.6,3571.406602859497,0.1,0,api_fail,pre
6,A_degraded,50,static_rule,simple,B,0.6,3819.4515705108643,0.1,0,api_fail,pre
7,A_degraded,50,static_rule,simple,B,0.6,8421.392440795898,0.1,0,api_fail,pre
8,A_degraded,50,static_rule,hard,A,0.2,731.4841747283936,0.1,1,none,pre
9,A_degraded,50,static_rule,simple,B,0.6,7915.5638217926025,0.1,0,api_fail,pre
10,A_degraded,50,static_rule,hard,A,0.2,812.7734661102295,0.1,1,none,pre
11,A_degraded,50,static_rule,hard,A,0.2,1345.362901687622,0.1,1,none,pre
12,A_degraded,50,static_rule,simple,B,0.6,5354.6812534332275,0.1,0,api_fail,pre
13,A_degraded,50,static_rule,hard,A,0.2,717.7393436431885,0.1,1,none,pre
14,A_degraded,50,static_rule,simple,B,0.6,8217.75484085083,0.1,0,api_fail,pre
15,A_degraded,50,static_rule,simple,B,0.6,7133.730888366699,0.1,0,api_fail,pre
16,A_degraded,50,static_rule,hard,A,0.2,605.6787967681885,0.1,1,none,pre
17,A_degraded,50,static_rule,simple,B,0.6,8905.649900436401,0.1,0,api_fail,pre
18,A_degraded,50,static_rule,simple,B,0.6,7068.4494972229,0.1,0,api_fail,pre
19,A_degraded,50,static_rule,hard,A,0.2,638.1752490997314,0.1,1,none,pre
20,A_degraded,50,static_rule,hard,A,0.2,626.3375282287598,0.1,1,none,pre
21,A_degraded,50,static_rule,simple,B,0.6,7754.612922668457,0.1,0,api_fail,pre
22,A_degraded,50,static_rule,simple,B,0.6,13173.413038253784,0.1,0,api_fail,pre
23,A_degraded,50,static_rule,hard,A,0.2,1270.0245380401611,0.1,1,none,pre
24,A_degraded,50,static_rule,hard,A,0.2,1194.037914276123,0.1,1,none,pre
25,A_degraded,50,static_rule,hard,A,0.2,1414.980411529541,0.1,1,none,pre
26,A_degraded,50,static_rule,simple,B,0.6,12754.118204116821,0.1,0,api_fail,pre
27,A_degraded,50,static_rule,hard,A,0.2,1396.6965675354004,0.1,1,none,pre
