t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,50,linucb,hard,D,0.95,4891.158819198608,1.0,0,api_fail,pre
1,A_unavailable,50,linucb,simple,A,0.95,641.643762588501,0.1,1,none,pre
2,A_unavailable,50,linucb,simple,A,0.95,746.1237907409668,0.1,1,none,pre
3,A_unavailable,50,linucb,hard,D,0.95,2649.448871612549,1.0,1,none,pre
4,A_unavailable,50,linucb,hard,D,0.95,4356.929063796997,1.0,0,api_fail,pre
5,A_unavailable,50,linucb,simple,A,0.95,706.2129974365234,0.1,1,none,pre
6,A_unavailable,50,linucb,simple,A,0.95,592.7784442901611,0.1,1,none,pre
7,A_unavailable,50,linucb,simple,A,0.95,787.4269485473633,0.1,1,none,pre
8,A_unavailable,50,linucb,hard,D,0.95,5596.211910247803,1.0,0,api_fail,pre
9,A_unavailable,50,linucb,simple,A,0.95,672.0044612884521,0.1,1,none,pre
10,A_unavailable,50,linucb,hard,D,0.95,4171.902418136597,1.0,0,api_fail,pre
11,A_unavailable,50,linucb,hard,E,0.75,801.7394542694092,0.35,1,none,pre
12,A_unavailable,50,linucb,simple,A,0.95,716.3443565368652,0.1,1,none,pre
13,A_unavailable,50,linucb,hard,D,0.95,3738.4536266326904,1.0,1,none,pre
14,A_unavailable,50,linucb,simple,A,0.95,536.0019207000732,0.1,1,none,pre
15,A_unavailable,50,linucb,simple,A,0.95,688.3811950683594,0.1,1,none,pre
16,A_unavailable,50,linucb,hard,D,0.95,4104.2680740356445,1.0,0,api_fail,pre
17,A_unavailable,50,linucb,simple,A,0.95,646.3756561279297,0.1,1,none,pre
18,A_unavailable,50,linucb,simple,A,0.95,545.154333114624,0.1,1,none,pre
19,A_unavailable,50,linucb,hard,E,0.75,1385.6432437896729,0.35,1,none,pre
20,A_unavailable,50,linucb,hard,E,0.75,1602.281093597412,0.35,1,none,pre
21,A_unavailable,50,linucb,simple,A,0.95,685.7969760894775,0.1,1,none,pre
22,A_unavailable,50,linucb,simple,A,0.95,1252.8386116027832,0.1,1,none,pre
23,A_unavailable,50,linucb,hard,D,0.95,3173.187255859375,1.0,1,none,pre
24,A_unavailable,50,linucb,hard,D,0.95,3210.940361022949,1.0,1,none,pre
25,A_unavailable,50,linucb,hard,E,0.75,1498.3680248260498,0.35,1,none,pre
26,A_unavailable,50,linucb,simple,A,0.95,732.7771186828613,0.1,1,none,pre
27,A_unavailable,50,linucb,hard,D,0.95,4433.15052986145,1.0,0,api_fail,pre
28,A_unavailable,50,linucb,hard,E,0.75,889.8072242736816,0.35,1,none,pre
29,A_unavailable,50,linucb,hard,E,0.75,829.5614719390869,0.35,1,none,pre
30,A_unavailable,50,linucb,hard,E,0.75,1631.3767433166504,0.35,1,none,pre
31,A_unavailable,50,linucb,simple,A,0.95,503.1921863555908,0.1,1,none,pre
32,A_unavailable,50,linucb,hard,D,0.95,4313.125848770142,1.0,0,api_fail,pre
33,A_unavailable,50,linucb,hard,E,0.75,1763.6218070983887,0.35,1,none,pre
34,A_unavailable,50,linucb,simple,A,0.95,643.06640625,0.1,1,none,pre
35,A_unavailable,50,linucb,simple,A,0.95,696.5210437774658,0.1,1,none,pre
36,A_unavailable,50,linucb,simple,A,0.95,564.030647277832,0.1,1,none,pre
37,A_unavailable,50,linucb,hard,E,0.75,1663.8531684875488,0.35,1,none,pre
38,A_unavailable,50,linucb,hard,D,0.95,3920.715808868408,1.0,1,none,pre
39,A_unavailable,50,linucb,hard,E,0.75,1593.5866832733154,0.35,1,none,pre
40,A_unavailable,50,linucb,simple,A,0.95,603.8494110107422,0.1,1,none,pre
41,A_unavailable,50,linucb,hard,D,0.95,10614.960432052612,1.0,0,api_fail,pre
42,A_unavailable,50,linucb,simple,A,0.95,518.6975002288818,0.1,1,none,pre
43,A_unavailable,50,linucb,hard,E,0.75,1060.2631568908691,0.35,1,none,pre
44,A_unavailable,50,linucb,simple,A,0.95,597.7392196655273,0.1,1,none,pre
45,A_unavailable,50,linucb,simple,A,0.95,533.7002277374268,0.1,1,none,pre
46,A_unavailable,50,linucb,hard,E,0.75,1473.8829135894775,0.35,1,none,pre
47,A_unavailable,50,linucb,hard,D,0.95,6946.555614471436,1.0,0,api_fail,pre
48,A_unavailable,50,linucb,hard,E,0.75,2304.4052124023438,0.35,1,none,pre
49,A_unavailable,50,linucb,simple,A,0.95,619.6997165679932,0.1,1,none,pre
50,A_unavailable,50,linucb,hard,E,0.75,1677.7172088623047,0.35,1,none,post
51,A_unavailable,50,linucb,hard,E,0.75,1574.016809463501,0.35,1,none,post
52,A_unavailable,50,linucb,simple,A,0.95,714.3900394439697,0.1,1,none,post
53,A_unavailable,50,linucb,simple,A,0.95,608.6385250091553,0.1,1,none,post
54,A_unavailable,50,linucb,hard,D,0.95,4642.243146896362,1.0,1,none,post
55,A_unavailable,50,linucb,simple,A,0.95,676.8028736114502,0.1,1,none,post
56,A_unavailable,50,linucb,hard,E,0.75,1607.4140071868896,0.35,1,none,post
57,A_unavailable,50,linucb,simple,A,0.95,596.5232849121094,0.1,1,none,post
58,A_unavailable,50,linucb,simple,A,0.95,645.6055641174316,0.1,1,none,post
59,A_unavailable,50,linucb,simple,A,0.95,566.9102668762207,0.1,1,none,post
60,A_unavailable,50,linucb,simple,A,0.95,803.4055233001709,0.1,1,none,post
61,A_unavailable,50,linucb,hard,D,0.95,5190.699100494385,1.0,0,api_fail,post
62,A_unavailable,50,linucb,hard,E,0.75,1827.4664878845215,0.35,1,none,post
63,A_unavailable,50,linucb,hard,E,0.75,1686.082124710083,0.35,1,none,post
64,A_unavailable,50,linucb,hard,E,0.75,1608.0212593078613,0.35,1,none,post
