t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,50,linucb_frozen,hard,D,0.95,3758.74924659729,1.0,0,api_fail,pre
1,A_unavailable,50,linucb_frozen,simple,A,0.95,597.2733497619629,0.1,1,none,pre
2,A_unavailable,50,linucb_frozen,simple,A,0.95,725.8846759796143,0.1,1,none,pre
3,A_unavailable,50,linucb_frozen,hard,D,0.95,3911.1485481262207,1.0,0,api_fail,pre
4,A_unavailable,50,linucb_frozen,hard,D,0.95,4464.369535446167,1.0,0,api_fail,pre
5,A_unavailable,50,linucb_frozen,simple,A,0.95,1002.2425651550293,0.1,1,none,pre
6,A_unavailable,50,linucb_frozen,simple,A,0.95,522.1941471099854,0.1,1,none,pre
7,A_unavailable,50,linucb_frozen,simple,A,0.95,676.6679286956787,0.1,1,none,pre
8,A_unavailable,50,linucb_frozen,hard,D,0.95,3951.5633583068848,1.0,0,api_fail,pre
9,A_unavailable,50,linucb_frozen,simple,A,0.95,579.7896385192871,0.1,1,none,pre
10,A_unavailable,50,linucb_frozen,hard,D,0.95,3457.4074745178223,1.0,1,none,pre
11,A_unavailable,50,linucb_frozen,hard,E,0.75,1891.5956020355225,0.35,1,none,pre
12,A_unavailable,50,linucb_frozen,simple,A,0.95,559.4720840454102,0.1,1,none,pre
13,A_unavailable,50,linucb_frozen,hard,D,0.95,6066.46990776062,1.0,0,api_fail,pre
14,A_unavailable,50,linucb_frozen,simple,A,0.95,577.2757530212402,0.1,1,none,pre
15,A_unavailable,50,linucb_frozen,simple,A,0.95,867.3112392425537,0.1,1,none,pre
16,A_unavailable,50,linucb_frozen,hard,E,0.75,744.4455623626709,0.35,1,none,pre
17,A_unavailable,50,linucb_frozen,simple,A,0.95,785.0854396820068,0.1,1,none,pre
18,A_unavailable,50,linucb_frozen,simple,A,0.95,571.5816020965576,0.1,1,none,pre
19,A_unavailable,50,linucb_frozen,hard,D,0.95,2186.110258102417,1.0,1,none,pre
20,A_unavailable,50,linucb_frozen,hard,E,0.75,821.4139938354492,0.35,1,none,pre
21,A_unavailable,50,linucb_frozen,simple,A,0.95,610.0738048553467,0.1,1,none,pre
22,A_unavailable,50,linucb_frozen,simple,A,0.95,614.5894527435303,0.1,1,none,pre
23,A_unavailable,50,linucb_frozen,hard,D,0.95,4146.087408065796,1.0,0,api_fail,pre
24,A_unavailable,50,linucb_frozen,hard,E,0.75,1045.8145141601562,0.35,1,none,pre
25,A_unavailable,50,linucb_frozen,hard,E,0.75,1262.230634689331,0.35,1,none,pre
26,A_unavailable,50,linucb_frozen,simple,A,0.95,790.5712127685547,0.1,1,none,pre
27,A_unavailable,50,linucb_frozen,hard,D,0.95,3958.9602947235107,1.0,0,api_fail,pre
28,A_unavailable,50,linucb_frozen,hard,E,0.75,1642.101526260376,0.35,1,none,pre
29,A_unavailable,50,linucb_frozen,hard,E,0.75,1427.7539253234863,0.35,1,none,pre
30,A_unavailable,50,linucb_frozen,hard,D,0.95,4365.766286849976,1.0,0,api_fail,pre
31,A_unavailable,50,linucb_frozen,simple,A,0.95,894.6852684020996,0.1,1,none,pre
32,A_unavailable,50,linucb_frozen,hard,E,0.75,1708.9624404907227,0.35,1,none,pre
33,A_unavailable,50,linucb_frozen,hard,E,0.75,1493.072271347046,0.35,1,none,pre
34,A_unavailable,50,linucb_frozen,simple,A,0.95,654.2301177978516,0.1,1,none,pre
35,A_unavailable,50,linucb_frozen,simple,A,0.95,605.710506439209,0.1,1,none,pre
36,A_unavailable,50,linucb_frozen,simple,A,0.95,512.1862888336182,0.1,1,none,pre
37,A_unavailable,50,linucb_frozen,hard,D,0.95,4430.529594421387,1.0,0,api_fail,pre
38,A_unavailable,50,linucb_frozen,hard,E,0.75,1624.6612071990967,0.35,1,none,pre
39,A_unavailable,50,linucb_frozen,hard,E,0.75,1521.630048751831,0.35,1,none,pre
40,A_unavailable,50,linucb_frozen,simple,A,0.95,651.0434150695801,0.1,1,none,pre
41,A_unavailable,50,linucb_frozen,hard,E,0.75,1939.0819072723389,0.35,1,none,pre
42,A_unavailable,50,linucb_frozen,simple,A,0.95,513.0443572998047,0.1,1,none,pre
43,A_unavailable,50,linucb_frozen,hard,D,0.95,3646.8639373779297,1.0,1,none,pre
44,A_unavailable,50,linucb_frozen,simple,A,0.95,875.8435249328613,0.1,1,none,pre
45,A_unavailable,50,linucb_frozen,simple,A,0.95,740.7190799713135,0.1,1,none,pre
46,A_unavailable,50,linucb_frozen,hard,E,0.75,1527.1120071411133,0.35,1,none,pre
47,A_unavailable,50,linucb_frozen,hard,D,0.95,4110.867261886597,1.0,0,api_fail,pre
48,A_unavailable,50,linucb_frozen,hard,E,0.75,1731.055498123169,0.35,1,none,pre
49,A_unavailable,50,linucb_frozen,simple,A,0.95,549.985408782959,0.1,1,none,pre
50,A_unavailable,50,linucb_frozen,hard,E,0.75,1458.5683345794678,0.35,1,none,post
51,A_unavailable,50,linucb_frozen,hard,E,0.75,864.9430274963379,0.35,1,none,post
52,A_unavailable,50,linucb_frozen,simple,A,0.95,662.9419326782227,0.1,1,none,post
53,A_unavailable,50,linucb_frozen,simple,A,0.95,828.7901878356934,0.1,1,none,post
54,A_unavailable,50,linucb_frozen,hard,E,0.75,2327.35013961792,0.35,1,none,post
55,A_unavailable,50,linucb_frozen,simple,A,0.95,508.55493545532227,0.1,1,none,post
56,A_unavailable,50,linucb_frozen,hard,E,0.75,819.2639350891113,0.35,1,none,post
57,A_unavailable,50,linucb_frozen,simple,A,0.95,547.6548671722412,0.1,1,none,post
58,A_unavailable,50,linucb_frozen,simple,A,0.95,571.6385841369629,0.1,1,none,post
59,A_unavailable,50,linucb_frozen,simple,A,0.95,546.2644100189209,0.1,1,none,post
60,A_unavailable,50,linucb_frozen,simple,A,0.95,753.5033226013184,0.1,1,none,post
61,A_unavailable,50,linucb_frozen,hard,E,0.75,1542.327642440796,0.35,1,none,post
62,A_unavailable,50,linucb_frozen,hard,E,0.75,1201.4529705047607,0.35,1,none,post
63,A_unavailable,50,linucb_frozen,hard,E,0.75,1180.3100109100342,0.35,1,none,post
64,A_unavailable,50,linucb_frozen,hard,E,0.75,1205.8415412902832,0.35,1,none,post
65,A_unavailable,50,linucb_frozen,hard,E,0.75,1589.9913311004639,0.35,1,none,post
66,A_unavailable,50,linucb_frozen,simple,A,0.95,1324.1491317749023,0.1,1,none,post
67,A_unavailable,50,linucb_frozen,hard,E,0.75,1635.1475715637207,0.35,1,none,post
68,A_unavailable,50,linucb_frozen,hard,E,0.75,1857.686996459961,0.35,1,none,post
69,A_unavailable,50,linucb_frozen,hard,E,0.75,1138.2641792297363,0.35,1,none,post
70,A_unavailable,50,linucb_frozen,hard,E,0.75,1457.4763774871826,0.35,1,none,post
71,A_unavailable,50,linucb_frozen,simple,A,0.95,633.4536075592041,0.1,1,none,post
72,A_unavailable,50,linucb_frozen,hard,E,0.75,1160.4328155517578,0.35,1,none,post
73,A_unavailable,50,linucb_frozen,hard,E,0.75,1118.4637546539307,0.35,1,none,post
74,A_unavailable,50,linucb_frozen,simple,A,0.95,557.0402145385742,0.1,1,none,post
75,A_unavailable,50,linucb_frozen,simple,A,0.95,559.455156326294,0.1,1,none,post
76,A_unavailable,50,linucb_frozen,hard,E,0.75,1048.0296611785889,0.35,1,none,post
77,A_unavailable,50,linucb_frozen,simple,A,0.95,548.5341548919678,0.1,1,none,post
78,A_unavailable,50,linucb_frozen,hard,E,0.75,1217.1361446380615,0.35,1,none,post
79,A_unavailable,50,linucb_frozen,simple,A,0.95,638.2045745849609,0.1,1,none,post
80,A_unavailable,50,linucb_frozen,simple,A,0.95,623.835563659668,0.1,1,none,post
81,A_unavailable,50,linucb_frozen,simple,A,0.95,819.9012279510498,0.1,1,none,post
82,A_unavailable,50,linucb_frozen,hard,E,0.75,1430.8607578277588,0.35,1,none,post
83,A_unavailable,50,linucb_frozen,hard,E,0.75,1729.6991348266602,0.35,1,none,post
84,A_unavailable,50,linucb_frozen,simple,A,0.95,625.051736831665,0.1,1,none,post
85,A_unavailable,50,linucb_frozen,simple,A,0.95,638.4615898132324,0.1,1,none,post
86,A_unavailable,50,linucb_frozen,hard,E,0.75,1930.8264255523682,0.35,1,none,post
87,A_unavailable,50,linucb_frozen,hard,E,0.75,1588.8001918792725,0.35,1,none,post
88,A_unavailable,50,linucb_frozen,hard,E,0.75,3179.121255874634,0.35,1,none,post
89,A_unavailable,50,linucb_frozen,hard,E,0.75,1908.4126949310303,0.35,1,none,post
90,A_unavailable,50,linucb_frozen,simple,A,0.95,540.0683879852295,0.1,1,none,post
91,A_unavailable,50,linucb_frozen,simple,A,0.95,889.6799087524414,0.1,1,none,post
92,A_unavailable,50,linucb_frozen,hard,E,0.75,1634.770393371582,0.35,1,none,post
93,A_unavailable,50,linucb_frozen,hard,E,0.75,735.8310222625732,0.35,1,none,post
94,A_unavailable,50,linucb_frozen,hard,E,0.75,676.6064167022705,0.35,1,none,post
95,A_unavailable,50,linucb_frozen,hard,E,0.75,1739.6535873413086,0.35,1,none,post
96,A_unavailable,50,linucb_frozen,simple,A,0.95,544.8400974273682,0.1,1,none,post
97,A_unavailable,50,linucb_frozen,simple,A,0.95,643.6500549316406,0.1,1,none,post
98,A_unavailable,50,linucb_frozen,hard,E,0.75,1146.3212966918945,0.35,1,none,post
99,A_unavailable,50,linucb_frozen,hard,E,0.75,1020.6570625305176,0.35,1,none,post
