t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,50,random,hard,I,0.2,1425.072193145752,0.1,1,none,pre
1,A_unavailable,50,random,simple,J,0.92,1189.2399787902832,0.1,1,none,pre
2,A_unavailable,50,random,simple,E,0.75,1601.820468902588,0.35,1,none,pre
3,A_unavailable,50,random,hard,G,0.45,221.451997756958,0.25,0,logic_error,pre
4,A_unavailable,50,random,hard,E,0.75,1803.8935661315918,0.35,1,none,pre
5,A_unavailable,50,random,simple,D,0.8,2071.1987018585205,1.0,1,none,pre
6,A_unavailable,50,random,simple,E,0.75,1297.3616123199463,0.35,1,none,pre
7,A_unavailable,50,random,simple,G,0.9,340.5423164367676,0.25,0,logic_error,pre
8,A_unavailable,50,random,hard,E,0.75,2383.4168910980225,0.35,1,none,pre
9,A_unavailable,50,random,simple,B,0.6,14518.354892730713,0.1,0,api_fail,pre
10,A_unavailable,50,random,hard,J,0.35,808.706521987915,0.1,1,none,pre
11,A_unavailable,50,random,hard,A,0.2,575.0665664672852,0.1,1,none,pre
12,A_unavailable,50,random,simple,A,0.95,574.3727684020996,0.1,1,none,pre
13,A_unavailable,50,random,hard,A,0.2,630.5441856384277,0.1,1,none,pre
14,A_unavailable,50,random,simple,I,0.95,1228.5387516021729,0.1,1,none,pre
15,A_unavailable,50,random,simple,C,0.85,1638.7529373168945,0.15,1,none,pre
16,A_unavailable,50,random,hard,B,0.6,5895.429849624634,0.1,0,api_fail,pre
17,A_unavailable,50,random,simple,G,0.9,422.9745864868164,0.25,0,logic_error,pre
18,A_unavailable,50,random,simple,G,0.9,643.1384086608887,0.25,0,logic_error,pre
19,A_unavailable,50,random,hard,G,0.45,222.86272048950195,0.25,0,logic_error,pre
20,A_unavailable,50,random,hard,H,0.2,779.3889045715332,0.075,1,none,pre
21,A_unavailable,50,random,simple,J,0.92,761.5537643432617,0.1,1,none,pre
22,A_unavailable,50,random,simple,I,0.95,2659.9984169006348,0.1,1,none,pre
23,A_unavailable,50,random,hard,H,0.2,722.8164672851562,0.075,1,none,pre
24,A_unavailable,50,random,hard,I,0.2,1100.496768951416,0.1,1,none,pre
25,A_unavailable,50,random,hard,F,0.9,222.4578857421875,0.6,0,logic_error,pre
26,A_unavailable,50,random,simple,C,0.85,1083.0574035644531,0.15,1,none,pre
27,A_unavailable,50,random,hard,C,0.55,3069.413423538208,0.15,1,none,pre
28,A_unavailable,50,random,hard,E,0.75,1289.2813682556152,0.35,1,none,pre
29,A_unavailable,50,random,hard,J,0.35,881.5219402313232,0.1,1,none,pre
30,A_unavailable,50,random,hard,B,0.6,12183.682203292847,0.1,0,api_fail,pre
31,A_unavailable,50,random,simple,I,0.95,1471.9727039337158,0.1,1,none,pre
32,A_unavailable,50,random,hard,G,0.45,234.9398136138916,0.25,0,logic_error,pre
33,A_unavailable,50,random,hard,F,0.9,212.18323707580566,0.6,0,logic_error,pre
34,A_unavailable,50,random,simple,E,0.75,2103.6694049835205,0.35,1,none,pre
35,A_unavailable,50,random,simple,D,0.8,1998.650312423706,1.0,1,none,pre
36,A_unavailable,50,random,simple,E,0.75,1952.1143436431885,0.35,1,none,pre
37,A_unavailable,50,random,hard,I,0.2,1352.611780166626,0.1,1,none,pre
38,A_unavailable,50,random,hard,J,0.35,748.2607364654541,0.1,1,none,pre
39,A_unavailable,50,random,hard,H,0.2,653.4214019775391,0.075,1,none,pre
40,A_unavailable,50,random,simple,J,0.92,750.1075267791748,0.1,1,none,pre
41,A_unavailable,50,random,hard,F,0.9,244.4784641265869,0.6,0,logic_error,pre
42,A_unavailable,50,random,simple,A,0.95,873.0244636535645,0.1,1,none,pre
43,A_unavailable,50,random,hard,H,0.2,802.0563125610352,0.075,1,none,pre
44,A_unavailable,50,random,simple,D,0.8,3272.0818519592285,1.0,1,none,pre
45,A_unavailable,50,random,simple,D,0.8,5000.860929489136,1.0,0,api_fail,pre
46,A_unavailable,50,random,hard,A,0.2,627.6555061340332,0.1,1,none,pre
47,A_unavailable,50,random,hard,J,0.35,822.868824005127,0.1,1,none,pre
48,A_unavailable,50,random,hard,E,0.75,1648.6685276031494,0.35,1,none,pre
49,A_unavailable,50,random,simple,C,0.85,1160.5572700500488,0.15,1,none,pre
50,A_unavailable,50,random,hard,G,0.45,211.88735961914062,0.25,0,logic_error,post
51,A_unavailable,50,random,hard,E,0.75,1766.2928104400635,0.35,1,none,post
52,A_unavailable,50,random,simple,J,0.92,977.6139259338379,0.1,1,none,post
53,A_unavailable,50,random,simple,A,0.95,648.7135887145996,0.1,1,none,post
54,A_unavailable,50,random,hard,B,0.6,8238.552331924438,0.1,0,api_fail,post
55,A_unavailable,50,random,simple,I,0.95,1097.074270248413,0.1,1,none,post
56,A_unavailable,50,random,hard,E,0.75,1398.4038829803467,0.35,1,none,post
57,A_unavailable,50,random,simple,F,0.6,227.33306884765625,0.6,0,logic_error,post
58,A_unavailable,50,random,simple,D,0.8,7419.82364654541,1.0,0,api_fail,post
59,A_unavailable,50,random,simple,J,0.92,956.122875213623,0.1,1,none,post
60,A_unavailable,50,random,simple,H,0.95,850.4552841186523,0.075,1,none,post
61,A_unavailable,50,random,hard,I,0.2,884.6142292022705,0.1,1,none,post
62,A_unavailable,50,random,hard,J,0.35,815.1235580444336,0.1,1,none,post
63,A_unavailable,50,random,hard,G,0.45,255.7516098022461,0.25,0,logic_error,post
64,A_unavailable,50,random,hard,G,0.45,267.3189640045166,0.25,0,logic_error,post
65,A_unavailable,50,random,hard,G,0.45,201.6904354095459,0.25,0,logic_error,post
66,A_unavailable,50,random,simple,B,0.6,3333.314895629883,0.1,0,api_fail,post
67,A_unavailable,50,random,hard,A,0.2,512.4070644378662,0.1,1,none,post
68,A_unavailable,50,random,hard,B,0.6,3934.152603149414,0.1,0,api_fail,post
69,A_unavailable,50,random,hard,G,0.45,221.87232971191406,0.25,0,logic_error,post
70,A_unavailable,50,random,hard,C,0.55,1087.1334075927734,0.15,1,none,post
71,A_unavailable,50,random,simple,F,0.6,224.68209266662598,0.6,0,logic_error,post
72,A_unavailable,50,random,hard,I,0.2,908.358097076416,0.1,1,none,post
73,A_unavailable,50,random,hard,E,0.75,1700.8311748504639,0.35,1,none,post
74,A_unavailable,50,random,simple,I,0.95,1634.1211795806885,0.1,1,none,post
75,A_unavailable,50,random,simple,H,0.95,724.7045040130615,0.075,1,none,post
76,A_unavailable,50,random,hard,A,0.2,624.0489482879639,0.1,1,none,post
77,A_unavailable,50,random,simple,E,0.75,1756.5836906433105,0.35,1,none,post
78,A_unavailable,50,random,hard,J,0.35,956.324577331543,0.1,1,none,post
79,A_unavailable,50,random,simple,E,0.75,2041.2096977233887,0.35,1,none,post
80,A_unavailable,50,random,simple,G,0.9,311.69891357421875,0.25,0,logic_error,post
81,A_unavailable,50,random,simple,C,0.85,1332.841157913208,0.15,1,none,post
82,A_unavailable,50,random,hard,B,0.6,8607.437133789062,0.1,0,api_fail,post
83,A_unavailable,50,random,hard,B,0.6,7999.118804931641,0.1,0,api_fail,post
84,A_unavailable,50,random,simple,A,0.95,576.3952732086182,0.1,1,none,post
85,A_unavailable,50,random,simple,D,0.8,4366.490364074707,1.0,1,none,post
86,A_unavailable,50,random,hard,G,0.45,218.7631130218506,0.25,0,logic_error,post
87,A_unavailable,50,random,hard,E,0.75,1187.1638298034668,0.35,1,none,post
88,A_unavailable,50,random,hard,G,0.45,242.15126037597656,0.25,0,logic_error,post
89,A_unavailable,50,random,hard,J,0.35,739.7902011871338,0.1,1,none,post
90,A_unavailable,50,random,simple,I,0.95,980.987548828125,0.1,1,none,post
91,A_unavailable,50,random,simple,E,0.75,1945.5628395080566,0.35,1,none,post
92,A_unavailable,50,random,hard,A,0.2,686.7289543151855,0.1,1,none,post
93,A_unavailable,50,random,hard,G,0.45,361.8342876434326,0.25,0,logic_error,post
94,A_unavailable,50,random,hard,C,0.55,1108.4535121917725,0.15,1,none,post
95,A_unavailable,50,random,hard,I,0.2,1043.776512145996,0.1,1,none,post
96,A_unavailable,50,random,simple,D,0.8,4020.1733112335205,1.0,0,api_fail,post
97,A_unavailable,50,random,simple,H,0.95,708.7440490722656,0.075,1,none,post
98,A_unavailable,50,random,hard,G,0.45,213.3321762084961,0.25,0,logic_error,post
99,A_unavailable,50,random,hard,E,0.75,1034.874439239502,0.35,1,none,post
