t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_degraded,50,linucb,hard,D,0.95,3745.1796531677246,1.0,0,api_fail,pre
1,A_degraded,50,linucb,simple,A,0.95,619.4729804992676,0.1,1,none,pre
2,A_degraded,50,linucb,simple,A,0.95,599.743127822876,0.1,1,none,pre
3,A_degraded,50,linucb,hard,D,0.95,4009.974718093872,1.0,0,api_fail,pre
4,A_degraded,50,linucb,hard,D,0.95,3499.9587535858154,1.0,1,none,pre
5,A_degraded,50,linucb,simple,A,0.95,1281.2693119049072,0.1,1,none,pre
6,A_degraded,50,linucb,simple,A,0.95,857.3541641235352,0.1,1,none,pre
7,A_degraded,50,linucb,simple,A,0.95,768.6669826507568,0.1,1,none,pre
8,A_degraded,50,linucb,hard,D,0.95,3279.609203338623,1.0,1,none,pre
9,A_degraded,50,linucb,simple,A,0.95,699.6853351593018,0.1,1,none,pre
10,A_degraded,50,linucb,hard,D,0.95,2270.512104034424,1.0,1,none,pre
11,A_degraded,50,linucb,hard,D,0.95,5240.9608364105225,1.0,0,api_fail,pre
12,A_degraded,50,linucb,simple,A,0.95,809.309720993042,0.1,1,none,pre
13,A_degraded,50,linucb,hard,E,0.75,1148.606300354004,0.35,1,none,pre
14,A_degraded,50,linucb,simple,A,0.95,729.9797534942627,0.1,1,none,pre
15,A_degraded,50,linucb,simple,A,0.95,649.2917537689209,0.1,1,none,pre
16,A_degraded,50,linucb,hard,D,0.95,3920.6998348236084,1.0,0,api_fail,pre
17,A_degraded,50,linucb,simple,A,0.95,698.8916397094727,0.1,1,none,pre
18,A_degraded,50,linucb,simple,A,0.95,588.6492729187012,0.1,1,none,pre
19,A_degraded,50,linucb,hard,E,0.75,1449.4671821594238,0.35,1,none,pre
20,A_degraded,50,linucb,hard,D,0.95,1920.379400253296,1.0,1,none,pre
21,A_degraded,50,linucb,simple,A,0.95,649.9996185302734,0.1,1,none,pre
22,A_degraded,50,linucb,simple,A,0.95,639.0597820281982,0.1,1,none,pre
23,A_degraded,50,linucb,hard,D,0.95,2719.99454498291,1.0,1,none,pre
24,A_degraded,50,linucb,hard,E,0.75,1426.861047744751,0.35,1,none,pre
25,A_degraded,50,linucb,hard,D,0.95,4533.177852630615,1.0,0,api_fail,pre
26,A_degraded,50,linucb,simple,A,0.95,558.5901737213135,0.1,1,none,pre
27,A_degraded,50,linucb,hard,E,0.75,1929.0742874145508,0.35,1,none,pre
28,A_degraded,50,linucb,hard,E,0.75,1462.8634452819824,0.35,1,none,pre
29,A_degraded,50,linucb,hard,D,0.95,2659.0840816497803,1.0,1,none,pre
30,A_degraded,50,linucb,hard,E,0.75,1627.2923946380615,0.35,1,none,pre
31,A_degraded,50,linucb,simple,A,0.95,950.6068229675293,0.1,1,none,pre
32,A_degraded,50,linucb,hard,D,0.95,4152.090311050415,1.0,0,api_fail,pre
33,A_degraded,50,linucb,hard,E,0.75,1719.8736667633057,0.35,1,none,pre
34,A_degraded,50,linucb,simple,A,0.95,617.5403594970703,0.1,1,none,pre
35,A_degraded,50,linucb,simple,A,0.95,569.7143077850342,0.1,1,none,pre
36,A_degraded,50,linucb,simple,A,0.95,599.6665954589844,0.1,1,none,pre
37,A_degraded,50,linucb,hard,E,0.75,1629.3199062347412,0.35,1,none,pre
38,A_degraded,50,linucb,hard,D,0.95,3720.524787902832,1.0,0,api_fail,pre
39,A_degraded,50,linucb,hard,E,0.75,958.6019515991211,0.35,1,none,pre
40,A_degraded,50,linucb,simple,A,0.95,698.5640525817871,0.1,1,none,pre
41,A_degraded,50,linucb,hard,E,0.75,629.1553974151611,0.35,1,none,pre
42,A_degraded,50,linucb,simple,A,0.95,640.3408050537109,0.1,1,none,pre
43,A_degraded,50,linucb,hard,E,0.75,1850.2626419067383,0.35,1,none,pre
44,A_degraded,50,linucb,simple,A,0.95,1178.689956665039,0.1,1,none,pre
45,A_degraded,50,linucb,simple,A,0.95,758.5945129394531,0.1,1,none,pre
46,A_degraded,50,linucb,hard,D,0.95,1859.506368637085,1.0,1,none,pre
47,A_degraded,50,linucb,hard,D,0.95,3638.5838985443115,1.0,0,api_fail,pre
48,A_degraded,50,linucb,hard,E,0.75,1909.4550609588623,0.35,1,none,pre
49,A_degraded,50,linucb,simple,A,0.95,779.5236110687256,0.1,1,none,pre
50,A_degraded,50,linucb,hard,E,0.75,1731.7149639129639,0.35,1,none,post
