t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,50,random_topL,hard,D,0.95,3380.589485168457,1.0,0,api_fail,pre
1,A_unavailable,50,random_topL,simple,H,0.95,750.3254413604736,0.075,1,none,pre
2,A_unavailable,50,random_topL,simple,I,0.95,1044.6562767028809,0.1,1,none,pre
3,A_unavailable,50,random_topL,hard,D,0.95,2987.211227416992,1.0,1,none,pre
4,A_unavailable,50,random_topL,hard,D,0.95,3431.544303894043,1.0,0,api_fail,pre
5,A_unavailable,50,random_topL,simple,H,0.95,711.1330032348633,0.075,1,none,pre
6,A_unavailable,50,random_topL,simple,H,0.95,638.0865573883057,0.075,1,none,pre
7,A_unavailable,50,random_topL,simple,H,0.95,668.5333251953125,0.075,1,none,pre
8,A_unavailable,50,random_topL,hard,F,0.9,207.09657669067383,0.6,0,logic_error,pre
9,A_unavailable,50,random_topL,simple,H,0.95,757.1125030517578,0.075,1,none,pre
10,A_unavailable,50,random_topL,hard,F,0.9,232.8484058380127,0.6,0,logic_error,pre
11,A_unavailable,50,random_topL,hard,F,0.9,226.19295120239258,0.6,0,logic_error,pre
12,A_unavailable,50,random_topL,simple,H,0.95,592.9610729217529,0.075,1,none,pre
13,A_unavailable,50,random_topL,hard,E,0.75,1451.1160850524902,0.35,1,none,pre
14,A_unavailable,50,random_topL,simple,H,0.95,635.6065273284912,0.075,1,none,pre
15,A_unavailable,50,random_topL,simple,I,0.95,944.0455436706543,0.1,1,none,pre
16,A_unavailable,50,random_topL,hard,D,0.95,4394.641637802124,1.0,0,api_fail,pre
17,A_unavailable,50,random_topL,simple,A,0.95,582.8444957733154,0.1,1,none,pre
18,A_unavailable,50,random_topL,simple,A,0.95,577.4412155151367,0.1,1,none,pre
19,A_unavailable,50,random_topL,hard,F,0.9,226.25088691711426,0.6,0,logic_error,pre
20,A_unavailable,50,random_topL,hard,F,0.9,188.8267993927002,0.6,0,logic_error,pre
21,A_unavailable,50,random_topL,simple,I,0.95,846.7841148376465,0.1,1,none,pre
22,A_unavailable,50,random_topL,simple,H,0.95,671.5390682220459,0.075,1,none,pre
23,A_unavailable,50,random_topL,hard,F,0.9,246.25301361083984,0.6,0,logic_error,pre
24,A_unavailable,50,random_topL,hard,F,0.9,231.77075386047363,0.6,0,logic_error,pre
25,A_unavailable,50,random_topL,hard,D,0.95,2379.969358444214,1.0,1,none,pre
26,A_unavailable,50,random_topL,simple,A,0.95,673.9718914031982,0.1,1,none,pre
27,A_unavailable,50,random_topL,hard,F,0.9,239.03536796569824,0.6,0,logic_error,pre
