t,shock_type,shock_point,policy,task_difficulty,chosen_agent,match_score,latency_ms,call_cost,success,error_type,phase
0,A_unavailable,50,static_rule,hard,A,0.2,1466.24755859375,0.1,1,none,pre
1,A_unavailable,50,static_rule,simple,B,0.6,7888.860702514648,0.1,0,api_fail,pre
2,A_unavailable,50,static_rule,simple,B,0.6,8480.983257293701,0.1,0,api_fail,pre
3,A_unavailable,50,static_rule,hard,A,0.2,647.1366882324219,0.1,1,none,pre
4,A_unavailable,50,static_rule,hard,A,0.2,1319.4739818572998,0.1,1,none,pre
5,A_unavailable,50,static_rule,simple,B,0.6,9515.518426895142,0.1,0,api_fail,pre
6,A_unavailable,50,static_rule,simple,B,0.6,8121.946811676025,0.1,0,api_fail,pre
7,A_unavailable,50,static_rule,simple,B,0.6,12630.95498085022,0.1,0,api_fail,pre
8,A_unavailable,50,static_rule,hard,A,0.2,590.8365249633789,0.1,1,none,pre
9,A_unavailable,50,static_rule,simple,B,0.6,10785.580158233643,0.1,0,api_fail,pre
10,A_unavailable,50,static_rule,hard,A,0.2,893.9311504364014,0.1,1,none,pre
11,A_unavailable,50,static_rule,hard,A,0.2,616.1863803863525,0.1,1,none,pre
12,A_unavailable,50,static_rule,simple,B,0.6,5125.377416610718,0.1,0,api_fail,pre
13,A_unavailable,50,static_rule,hard,A,0.2,568.9778327941895,0.1,1,none,pre
14,A_unavailable,50,static_rule,simple,B,0.6,5036.480665206909,0.1,0,api_fail,pre
15,A_unavailable,50,static_rule,simple,B,0.6,3634.6781253814697,0.1,0,api_fail,pre
16,A_unavailable,50,static_rule,hard,A,0.2,1030.5829048156738,0.1,1,none,pre
17,A_unavailable,50,static_rule,simple,B,0.6,3881.2196254730225,0.1,0,api_fail,pre
18,A_unavailable,50,static_rule,simple,B,0.6,2924.0314960479736,0.1,0,api_fail,pre
19,A_unavailable,50,static_rule,hard,A,0.2,660.0179672241211,0.1,1,none,pre
20,A_unavailable,50,static_rule,hard,A,0.2,577.1362781524658,0.1,1,none,pre
21,A_unavailable,50,static_rule,simple,B,0.6,6955.565452575684,0.1,0,api_fail,pre
22,A_unavailable,50,static_rule,simple,B,0.6,10813.157796859741,0.1,0,api_fail,pre
23,A_unavailable,50,static_rule,hard,A,0.2,585.9274864196777,0.1,1,none,pre
24,A_unavailable,50,static_rule,hard,A,0.2,720.0822830200195,0.1,1,none,pre
25,A_unavailable,50,static_rule,hard,A,0.2,658.9770317077637,0.1,1,none,pre
26,A_unavailable,50,static_rule,simple,B,0.6,10458.739042282104,0.1,0,api_fail,pre
27,A_unavailable,50,static_rule,hard,A,0.2,955.9812545776367,0.1,1,none,pre
28,A_unavailable,50,static_rule,hard,A,0.2,627.9346942901611,0.1,1,none,pre
29,A_unavailable,50,static_rule,hard,A,0.2,904.8190116882324,0.1,1,none,pre
30,A_unavailable,50,static_rule,hard,A,0.2,1328.6421298980713,0.1,1,none,pre
31,A_unavailable,50,static_rule,simple,B,0.6,8493.279218673706,0.1,0,api_fail,pre
32,A_unavailable,50,static_rule,hard,A,0.2,674.7682094573975,0.1,1,none,pre
33,A_unavailable,50,static_rule,hard,A,0.2,732.6712608337402,0.1,1,none,pre
34,A_unavailable,50,static_rule,simple,B,0.6,3248.208522796631,0.1,0,api_fail,pre
35,A_unavailable,50,static_rule,simple,B,0.6,3771.097183227539,0.1,0,api_fail,pre
36,A_unavailable,50,static_rule,simple,B,0.6,12178.215026855469,0.1,0,api_fail,pre
37,A_unavailable,50,static_rule,hard,A,0.2,593.8069820404053,0.1,1,none,pre
38,A_unavailable,50,static_rule,hard,A,0.2,564.8589134216309,0.1,1,none,pre
39,A_unavailable,50,static_rule,hard,A,0.2,742.1746253967285,0.1,1,none,pre
40,A_unavailable,50,static_rule,simple,B,0.6,6857.646703720093,0.1,0,api_fail,pre
41,A_unavailable,50,static_rule,hard,A,0.2,541.3236618041992,0.1,1,none,pre
42,A_unavailable,50,static_rule,simple,B,0.6,6783.8029861450195,0.1,0,api_fail,pre
43,A_unavailable,50,static_rule,hard,A,0.2,631.1745643615723,0.1,1,none,pre
44,A_unavailable,50,static_rule,simple,B,0.6,9846.23646736145,0.1,0,api_fail,pre
45,A_unavailable,50,static_rule,simple,B,0.6,13670.591354370117,0.1,0,api_fail,pre
46,A_unavailable,50,static_rule,hard,A,0.2,519.9460983276367,0.1,1,none,pre
47,A_unavailable,50,static_rule,hard,A,0.2,653.4512042999268,0.1,1,none,pre
48,A_unavailable,50,static_rule,hard,A,0.2,909.8403453826904,0.1,1,none,pre
49,A_unavailable,50,static_rule,simple,B,0.6,7834.267616271973,0.1,0,api_fail,pre
50,A_unavailable,50,static_rule,hard,A,0.2,574.5270252227783,0.1,1,none,post
51,A_unavailable,50,static_rule,hard,A,0.2,622.4937438964844,0.1,1,none,post
52,A_unavailable,50,static_rule,simple,B,0.6,4077.3682594299316,0.1,0,api_fail,post
53,A_unavailable,50,static_rule,simple,B,0.6,10838.53006362915,0.1,0,api_fail,post
54,A_unavailable,50,static_rule,hard,A,0.2,673.2378005981445,0.1,1,none,post
55,A_unavailable,50,static_rule,simple,B,0.6,8995.893001556396,0.1,0,api_fail,post
56,A_unavailable,50,static_rule,hard,A,0.2,546.0765361785889,0.1,1,none,post
57,A_unavailable,50,static_rule,simple,B,0.6,11397.459745407104,0.1,0,api_fail,post
58,A_unavailable,50,static_rule,simple,B,0.6,3517.766237258911,0.1,0,api_fail,post
59,A_unavailable,50,static_rule,simple,B,0.6,7711.935997009277,0.1,0,api_fail,post
60,A_unavailable,50,static_rule,simple,B,0.6,8916.796445846558,0.1,0,api_fail,post
61,A_unavailable,50,static_rule,hard,A,0.2,749.9890327453613,0.1,1,none,post
62,A_unavailable,50,static_rule,hard,A,0.2,598.4377861022949,0.1,1,none,post
63,A_unavailable,50,static_rule,hard,A,0.2,1350.6290912628174,0.1,1,none,post
64,A_unavailable,50,static_rule,hard,A,0.2,700.0808715820312,0.1,1,none,post
65,A_unavailable,50,static_rule,hard,A,0.2,852.3209095001221,0.1,1,none,post
66,A_unavailable,50,static_rule,simple,B,0.6,3698.5507011413574,0.1,0,api_fail,post
67,A_unavailable,50,static_rule,hard,A,0.2,611.2508773803711,0.1,1,none,post
68,A_unavailable,50,static_rule,hard,A,0.2,566.6244029998779,0.1,1,none,post
69,A_unavailable,50,static_rule,hard,A,0.2,568.4044361114502,0.1,1,none,post
70,A_unavailable,50,static_rule,hard,A,0.2,626.5726089477539,0.1,1,none,post
71,A_unavailable,50,static_rule,simple,B,0.6,17798.85196685791,0.1,0,api_fail,post
72,A_unavailable,50,static_rule,hard,A,0.2,596.057653427124,0.1,1,none,post
73,A_unavailable,50,static_rule,hard,A,0.2,619.6944713592529,0.1,1,none,post
74,A_unavailable,50,static_rule,simple,B,0.6,6561.118125915527,0.1,0,api_fail,post
75,A_unavailable,50,static_rule,simple,B,0.6,5103.497266769409,0.1,0,api_fail,post
76,A_unavailable,50,static_rule,hard,A,0.2,625.6928443908691,0.1,1,none,post
77,A_unavailable,50,static_rule,simple,B,0.6,6008.187055587769,0.1,0,api_fail,post
78,A_unavailable,50,static_rule,hard,A,0.2,673.4731197357178,0.1,1,none,post
79,A_unavailable,50,static_rule,simple,B,0.6,6378.54266166687,0.1,0,api_fail,post
80,A_unavailable,50,static_rule,simple,B,0.6,6413.203001022339,0.1,0,api_fail,post
81,A_unavailable,50,static_rule,simple,B,0.6,7049.882650375366,0.1,0,api_fail,post
82,A_unavailable,50,static_rule,hard,A,0.2,1030.393123626709,0.1,1,none,post
83,A_unavailable,50,static_rule,hard,A,0.2,1393.3427333831787,0.1,1,none,post
84,A_unavailable,50,static_rule,simple,B,0.6,11347.416877746582,0.1,0,api_fail,post
85,A_unavailable,50,static_rule,simple,B,0.6,10656.131744384766,0.1,0,api_fail,post
86,A_unavailable,50,static_rule,hard,A,0.2,545.4657077789307,0.1,1,none,post
87,A_unavailable,50,static_rule,hard,A,0.2,660.8896255493164,0.1,1,none,post
88,A_unavailable,50,static_rule,hard,A,0.2,949.3210315704346,0.1,1,none,post
89,A_unavailable,50,static_rule,hard,A,0.2,582.1259021759033,0.1,1,none,post
90,A_unavailable,50,static_rule,simple,B,0.6,3599.482297897339,0.1,0,api_fail,post
91,A_unavailable,50,static_rule,simple,B,0.6,7143.954038619995,0.1,0,api_fail,post
92,A_unavailable,50,static_rule,hard,A,0.2,670.9020137786865,0.1,1,none,post
93,A_unavailable,50,static_rule,hard,A,0.2,727.0264625549316,0.1,1,none,post
94,A_unavailable,50,static_rule,hard,A,0.2,629.3714046478271,0.1,1,none,post
95,A_unavailable,50,static_rule,hard,A,0.2,617.3181533813477,0.1,1,none,post
