t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
1,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
2,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
3,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
4,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
5,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
6,linucb,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
7,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
8,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
9,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
10,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
11,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
12,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
13,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
14,linucb,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
15,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
16,linucb,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
17,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
18,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
19,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
20,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
21,linucb,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
22,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
23,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
24,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
25,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
26,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
27,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
28,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
29,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
30,linucb,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
31,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
32,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
33,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
34,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
35,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
36,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
37,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
38,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
39,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
40,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
41,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
42,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
43,linucb,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
44,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
45,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
46,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
47,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
48,linucb,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
49,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
50,linucb,hard,E,0.75,0.0,0.0,0.35,0,1,0.0,0.0
51,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
52,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
53,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
54,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
55,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
56,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
57,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
58,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
59,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
60,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
61,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
62,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
63,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
64,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
65,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
66,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
67,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
68,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
69,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
70,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
