t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,linucb_frozen,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
1,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
2,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
3,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
4,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
5,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
6,linucb_frozen,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
7,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
8,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
9,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
10,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
11,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
12,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
13,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
14,linucb_frozen,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
15,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
16,linucb_frozen,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
17,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
18,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
19,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
20,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
21,linucb_frozen,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
22,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
23,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
24,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
25,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
26,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
27,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
28,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
29,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
30,linucb_frozen,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
31,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
32,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
33,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
34,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
35,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
36,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
37,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
38,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
39,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
40,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
41,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
42,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
43,linucb_frozen,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
44,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
45,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
46,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
47,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
48,linucb_frozen,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
49,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
50,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,1,0.0,0.0
51,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
52,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
53,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
54,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
55,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
56,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
57,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
58,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
59,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
60,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
61,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
62,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
63,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
64,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
65,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
66,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
67,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
68,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
69,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
70,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
71,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
72,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
73,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
74,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
75,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
76,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
77,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
78,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
79,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
80,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
81,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
82,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
83,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
84,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
85,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
86,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
87,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
88,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
89,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
90,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
91,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
92,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
93,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
94,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
95,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
96,linucb_frozen,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
97,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
98,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
99,linucb_frozen,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
