t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
1,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
2,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
3,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
4,random,simple,D,0.8,0.0,0.0,1.0,0,0,0.0,0.0
5,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
6,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
7,random,simple,D,0.8,0.0,0.0,1.0,0,0,0.0,0.0
8,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
9,random,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
10,random,simple,D,0.8,0.0,0.0,1.0,0,0,0.0,0.0
11,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
12,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
13,random,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
14,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
15,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
16,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
17,random,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
18,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
19,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
20,random,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
21,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
22,random,hard,A,0.2,0.0,0.0,0.1,0,0,0.0,0.0
23,random,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
24,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
25,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
26,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
27,random,simple,D,0.8,0.0,0.0,1.0,0,0,0.0,0.0
28,random,simple,D,0.8,0.0,0.0,1.0,0,0,0.0,0.0
29,random,simple,D,0.8,0.0,0.0,1.0,0,0,0.0,0.0
30,random,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
31,random,hard,A,0.2,0.0,0.0,0.1,0,0,0.0,0.0
32,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
33,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
34,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
35,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
36,random,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
37,random,simple,D,0.8,0.0,0.0,1.0,0,0,0.0,0.0
38,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
39,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
40,random,simple,D,0.8,0.0,0.0,1.0,0,0,0.0,0.0
41,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
42,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
43,random,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
44,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
45,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
46,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
47,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
48,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
49,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
50,random,hard,C,0.55,0.0,0.0,0.15,0,1,0.0,0.0
51,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
52,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
53,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
54,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
55,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
56,random,hard,A,0.2,0.0,2500.0,0.1,0,0,0.0,0.0
57,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
58,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
59,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
60,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
61,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
62,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
63,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
64,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
65,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
66,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
67,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
68,random,hard,A,0.2,0.0,2500.0,0.1,0,0,0.0,0.0
69,random,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
70,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
71,random,hard,A,0.2,0.0,2500.0,0.1,0,0,0.0,0.0
72,random,hard,A,0.2,0.0,2500.0,0.1,0,0,0.0,0.0
73,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
74,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
75,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
76,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
77,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
78,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
79,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
80,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
81,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
82,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
83,random,hard,A,0.2,0.0,2500.0,0.1,0,0,0.0,0.0
84,random,simple,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
85,random,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
86,random,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
87,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
88,random,hard,C,0.55,0.0,0.0,0.15,0,0,0.0,0.0
89,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
90,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
91,random,hard,A,0.2,0.0,2500.0,0.1,0,0,0.0,0.0
92,random,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
93,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
94,random,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
95,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
96,random,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
97,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
98,random,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
99,random,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
