t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
0,random_topL,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
1,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
2,random_topL,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
3,random_topL,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
4,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
5,random_topL,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
6,random_topL,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
7,random_topL,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
8,random_topL,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
9,random_topL,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
10,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
11,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
12,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
13,random_topL,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
14,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
15,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
16,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
17,random_topL,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
18,random_topL,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
19,random_topL,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
20,random_topL,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
21,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
22,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
23,random_topL,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
24,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
25,random_topL,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
26,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
27,random_topL,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
28,random_topL,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
29,random_topL,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
30,random_topL,hard,D,0.95,0.0,0.0,1.0,0,0,0.0,0.0
31,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
32,random_topL,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
33,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
34,random_topL,hard,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
35,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
36,random_topL,simple,B,0.8,0.0,0.0,0.1,0,0,0.0,0.0
37,random_topL,simple,C,0.85,0.0,0.0,0.15,0,0,0.0,0.0
38,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
39,random_topL,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
40,random_topL,simple,A,0.95,0.0,0.0,0.1,0,0,0.0,0.0
