t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update
0,always_A,hard,A,0.95,0.3,882.6431391692234,1.0,1,0,1.0,882.6431391692234,0.0
1,always_A,hard,A,0.95,0.5640000000000001,1304.3135208915417,1.0,1,0,1.0,1304.3135208915417,0.0
2,always_A,simple,A,0.8,0.79632,1629.5624566097233,1.0,1,0,1.0,1629.5624566097233,0.0
3,always_A,hard,A,0.95,1.0,1721.9600004765148,1.0,1,0,1.0,1721.9600004765148,0.0
4,always_A,simple,A,0.8,1.0,1835.9679677234703,1.0,1,0,1.0,1835.9679677234703,0.0
5,always_A,hard,A,0.95,1.0,1851.7659799381647,1.0,1,0,1.0,1851.7659799381647,0.0
6,always_A,simple,A,0.8,1.0,1488.576821185057,1.0,1,0,1.0,1488.576821185057,0.0
7,always_A,simple,A,0.8,1.0,1937.1274990388945,1.0,0,0,1.0,1937.1274990388945,0.0
8,always_A,simple,A,0.8,1.0,1949.9061905227702,1.0,1,0,1.0,1949.9061905227702,0.0
9,always_A,hard,A,0.95,1.0,1809.1216043172064,1.0,1,0,1.0,1809.1216043172064,0.0
10,always_A,simple,A,0.8,1.0,1926.4067211540093,1.0,1,0,1.0,1926.4067211540093,0.0
11,always_A,simple,A,0.8,1.0,1665.0781258000725,1.0,1,0,1.0,1665.0781258000725,0.0
12,always_A,simple,A,0.8,1.0,1743.2861971618618,1.0,1,0,1.0,1743.2861971618618,0.0
13,always_A,hard,A,0.95,1.0,1668.2512628967716,1.0,1,0,1.0,1668.2512628967716,0.0
14,always_A,simple,A,0.8,1.0,1832.1785684729377,1.0,1,0,1.0,1832.1785684729377,0.0
15,always_A,hard,A,0.95,1.0,1783.5939843428641,1.0,1,0,1.0,1783.5939843428641,0.0
16,always_A,simple,A,0.8,1.0,2045.7249116116402,1.0,1,0,1.0,2045.7249116116402,0.0
17,always_A,hard,A,0.95,1.0,1840.312896397039,1.0,1,0,1.0,1840.312896397039,0.0
18,always_A,simple,A,0.8,1.0,1566.4698585117537,1.0,1,0,1.0,1566.4698585117537,0.0
19,always_A,simple,A,0.8,1.0,1862.0684843886133,1.0,1,0,1.0,1862.0684843886133,0.0
20,always_A,simple,A,0.8,1.0,1969.783823643333,1.0,1,0,1.0,1969.783823643333,0.0
21,always_A,hard,A,0.95,1.0,1999.2936676529266,1.0,1,0,1.0,1999.2936676529266,0.0
22,always_A,hard,A,0.95,1.0,2096.4296754080347,1.0,1,0,1.0,2096.4296754080347,0.0
23,always_A,simple,A,0.8,1.0,1777.1012407367368,1.0,1,0,1.0,1777.1012407367368,0.0
24,always_A,hard,A,0.95,1.0,1801.039301172324,1.0,1,0,1.0,1801.039301172324,0.0
25,always_A,simple,A,0.8,1.0,1815.790051121674,1.0,1,0,1.0,1815.790051121674,0.0
26,always_A,simple,A,0.8,1.0,1723.8653496322556,1.0,1,0,1.0,1723.8653496322556,0.0
27,always_A,simple,A,0.8,1.0,1931.217740629251,1.0,1,0,1.0,1931.217740629251,0.0
28,always_A,simple,A,0.8,1.0,1576.2323536010865,1.0,1,0,1.0,1576.2323536010865,0.0
29,always_A,simple,A,0.8,1.0,1779.5237637153023,1.0,1,0,1.0,1779.5237637153023,0.0
30,always_A,simple,A,0.8,1.0,1821.895488343352,1.0,1,0,1.0,1821.895488343352,0.0
31,always_A,simple,A,0.8,1.0,1605.8538943835872,1.0,1,0,1.0,1605.8538943835872,0.0
32,always_A,simple,A,0.8,1.0,1786.0141380090718,1.0,1,0,1.0,1786.0141380090718,0.0
33,always_A,simple,A,0.8,1.0,1828.6614864941548,1.0,1,0,1.0,1828.6614864941548,0.0
34,always_A,simple,A,0.8,1.0,1827.1060387557905,1.0,1,0,1.0,1827.1060387557905,0.0
35,always_A,simple,A,0.8,1.0,1918.419237966549,1.0,1,0,1.0,1918.419237966549,0.0
36,always_A,simple,A,0.8,1.0,1778.878400860588,1.0,1,0,1.0,1778.878400860588,0.0
37,always_A,simple,A,0.8,1.0,1663.4375916366196,1.0,1,0,1.0,1663.4375916366196,0.0
38,always_A,simple,A,0.8,1.0,1765.6093240376058,1.0,1,0,1.0,1765.6093240376058,0.0
39,always_A,simple,A,0.8,1.0,2051.53489554202,1.0,1,0,1.0,2051.53489554202,0.0
40,always_A,simple,A,0.8,1.0,1511.5257964782172,1.0,1,0,1.0,1511.5257964782172,0.0
41,always_A,simple,A,0.8,1.0,1986.5349609942011,1.0,1,0,1.0,1986.5349609942011,0.0
42,always_A,simple,A,0.8,1.0,1811.1217056171297,1.0,1,0,1.0,1811.1217056171297,0.0
43,always_A,simple,A,0.8,1.0,1721.0685141517015,1.0,1,0,1.0,1721.0685141517015,0.0
44,always_A,simple,A,0.8,1.0,1944.5812879459365,1.0,1,0,1.0,1944.5812879459365,0.0
45,always_A,simple,A,0.8,1.0,2015.9965995031814,1.0,1,0,1.0,2015.9965995031814,0.0
46,always_A,simple,A,0.8,1.0,2060.43809873901,1.0,1,0,1.0,2060.43809873901,0.0
47,always_A,hard,A,0.95,1.0,1691.2681611514913,1.0,1,0,1.0,1691.2681611514913,0.0
48,always_A,simple,A,0.8,1.0,1866.709141362928,1.0,1,0,1.0,1866.709141362928,0.0
49,always_A,hard,A,0.95,1.0,2107.5216815019758,1.0,1,0,1.0,2107.5216815019758,0.0
50,always_A,simple,A,0.8,1.0,1768.367174171113,1.0,1,0,1.0,1768.367174171113,0.0
