t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update
0,linucb,hard,A,0.95,0.3,927.8436182847211,1.0,1,0,1.0,927.8436182847211,0.7137763883693636
1,linucb,hard,A,0.95,0.5640000000000001,1161.048495197944,1.0,1,0,1.0,1161.048495197944,0.6976157163485719
2,linucb,simple,A,0.8,0.79632,1412.7167473168872,1.0,1,0,1.0,1412.7167473168872,0.6819097416673477
3,linucb,hard,A,0.95,1.0,1574.978100447392,1.0,1,0,1.0,1574.978100447392,0.6725188404113049
4,linucb,simple,A,0.8,1.0,1453.2555110775115,1.0,1,0,1.0,1453.2555110775115,0.6795150733303666
5,linucb,hard,C,0.75,0.3,480.0565718445091,0.35,1,0,0.35,480.0565718445091,0.8495146366190839
6,linucb,simple,B,0.95,0.3,344.44439111265785,0.1,1,0,0.1,344.44439111265785,0.9020006757723104
7,linucb,simple,D,0.85,0.3,422.23144750373183,0.22,1,0,0.22,422.23144750373183,0.87510533774982
8,linucb,simple,A,0.8,0.8996953599999999,1548.835987246637,1.0,1,0,1.0,1548.835987246637,0.6739979552819549
9,linucb,hard,A,0.95,1.0,1865.394585754942,1.0,1,0,1.0,1865.394585754942,0.6568474910463267
10,linucb,simple,A,0.8,1.0,1759.6041692773324,1.0,0,0,1.0,1759.6041692773324,0.0
11,linucb,simple,B,0.95,0.45831957504,477.27756108843795,0.1,1,0,0.1,477.27756108843795,0.8872986631526019
12,linucb,simple,A,0.8,1.0,1872.9845708532719,1.0,1,0,1.0,1872.9845708532719,0.6564549369860718
13,linucb,hard,E,0.9,0.3,707.9646079656771,0.6,1,0,0.6,707.9646079656771,0.7910071760175701
14,linucb,simple,A,0.8,1.0,1664.5070026829972,1.0,1,0,1.0,1664.5070026829972,0.6675441421777312
15,linucb,hard,C,0.75,0.3835502928028206,587.3789750622798,0.35,1,0,0.35,587.3789750622798,0.8391137485598584
16,linucb,simple,D,0.85,0.39494351454865984,492.65652524530316,0.22,1,0,0.22,492.65652524530316,0.8677370637906269
17,linucb,hard,A,0.95,0.9814719999999999,1721.8724788847321,1.0,1,0,1.0,1721.8724788847321,0.6644267002564899
18,linucb,simple,A,0.8,1.0,2000.627025441742,1.0,1,0,1.0,2000.627025441742,0.65
19,linucb,simple,A,0.8,1.0,2106.0129771058932,1.0,1,0,1.0,2106.0129771058932,0.65
20,linucb,simple,B,0.95,0.4450482374691528,487.72507492172156,0.1,1,0,0.1,487.72507492172156,0.8862351201163368
