t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update
0,random,hard,C,0.75,0.3,537.9876082725432,0.35,0,0,0.35,537.9876082725432,0.0
1,random,hard,E,0.9,0.3,710.8677247667592,0.6,0,0,0.6,710.8677247667592,0.0
2,random,simple,D,0.85,0.3,422.7646744024645,0.22,1,0,0.22,422.7646744024645,0.0
3,random,hard,A,0.95,0.3,894.3489140827008,1.0,1,0,1.0,894.3489140827008,0.0
4,random,simple,D,0.85,0.53232,515.9246907679228,0.22,0,0,0.22,515.9246907679228,0.0
5,random,hard,A,0.95,0.53232,1180.7136521744171,1.0,1,0,1.0,1180.7136521744171,0.0
6,random,simple,D,0.85,0.712228608,604.6001537994698,0.22,1,0,0.22,604.6001537994698,0.0
7,random,simple,B,0.95,0.3,360.4153451584797,0.1,1,0,0.1,360.4153451584797,0.0
8,random,simple,D,0.85,0.8515498340351999,642.5621783534372,0.22,1,0,0.22,642.5621783534372,0.0
9,random,hard,E,0.9,0.40789035744165886,794.7609293223504,0.6,1,0,0.6,794.7609293223504,0.0
10,random,simple,A,0.8,0.580922253950976,1074.688625724375,1.0,1,0,1.0,1074.688625724375,0.0
11,random,simple,D,0.85,0.8803073684996359,755.8723327026051,0.22,1,0,0.22,755.8723327026051,0.0
12,random,simple,A,0.8,0.7498661934596358,1290.0154945269733,1.0,1,0,1.0,1290.0154945269733,0.0
13,random,hard,A,0.95,0.9598822502444795,1497.5613812626507,1.0,1,0,1.0,1497.5613812626507,0.0
14,random,simple,B,0.95,0.42260267891097597,415.9247100357431,0.1,1,0,0.1,415.9247100357431,0.0
15,random,hard,A,0.95,1.0,1694.2007416900155,1.0,1,0,1.0,1694.2007416900155,0.0
16,random,simple,A,0.8,1.0,1695.3289964570633,1.0,1,0,1.0,1695.3289964570633,0.0
17,random,hard,A,0.95,1.0,2129.977536876186,1.0,1,0,1.0,2129.977536876186,0.0
18,random,simple,D,0.85,0.6597601388104237,629.9754521810324,0.22,1,0,0.22,629.9754521810324,0.0
19,random,simple,D,0.85,0.8805889221531729,754.5628367213104,0.22,1,0,0.22,754.5628367213104,0.0
20,random,simple,B,0.95,0.49625841117212377,484.4176357619094,0.1,1,0,0.1,484.4176357619094,0.0
21,random,hard,A,0.95,0.8996953599999999,1337.7857119274677,1.0,1,0,1.0,1337.7857119274677,0.0
22,random,hard,A,0.95,1.0,1772.63794717599,1.0,1,0,1.0,1772.63794717599,0.0
23,random,simple,B,0.95,0.6381862119782895,481.31962545526034,0.1,1,0,0.1,481.31962545526034,0.0
24,random,hard,A,0.95,1.0,1757.1092994394755,1.0,1,0,1.0,1757.1092994394755,0.0
25,random,simple,B,0.95,0.7942114025559874,498.3396887179391,0.1,1,0,0.1,498.3396887179391,0.0
