t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update
0,static_rule,hard,A,0.95,0.3,878.8778654732056,1.0,1,0,1.0,878.8778654732056,0.0
1,static_rule,hard,A,0.95,0.5640000000000001,1091.2823840098597,1.0,1,0,1.0,1091.2823840098597,0.0
2,static_rule,simple,B,0.95,0.3,302.24929129075906,0.1,1,0,0.1,302.24929129075906,0.0
3,static_rule,hard,A,0.95,0.7367616,1282.5564642676475,1.0,1,0,1.0,1282.5564642676475,0.0
4,static_rule,simple,B,0.95,0.53232,437.1338634414639,0.1,1,0,0.1,437.1338634414639,0.0
5,static_rule,hard,A,0.95,0.8705481830399999,1385.1319681872492,1.0,1,0,1.0,1385.1319681872492,0.0
6,static_rule,simple,B,0.95,0.712228608,555.5773082455893,0.1,1,0,0.1,555.5773082455893,0.0
7,static_rule,simple,B,0.95,0.92676117504,555.5480444632202,0.1,0,0,0.1,555.5480444632202,0.0
8,static_rule,simple,B,0.95,1.0,705.1735261675361,0.1,1,0,0.1,705.1735261675361,0.0
9,static_rule,hard,A,0.95,0.8220637060255187,1327.367326118006,1.0,1,0,1.0,1327.367326118006,0.0
10,static_rule,simple,B,0.95,1.0,673.4977064097295,0.1,1,0,0.1,673.4977064097295,0.0
11,static_rule,simple,B,0.95,1.0,743.5546985634608,0.1,1,0,0.1,743.5546985634608,0.0
12,static_rule,simple,B,0.95,1.0,777.8716229358675,0.1,1,0,0.1,777.8716229358675,0.0
13,static_rule,hard,A,0.95,0.7929877901279077,1464.1849227456687,1.0,1,0,1.0,1464.1849227456687,0.0
14,static_rule,simple,B,0.95,1.0,745.6690168459932,0.1,1,0,0.1,745.6690168459932,0.0
15,static_rule,hard,A,0.95,0.9140897446750518,1588.880392010868,1.0,1,0,1.0,1588.880392010868,0.0
16,static_rule,simple,B,0.95,1.0,674.0985478358105,0.1,1,0,0.1,674.0985478358105,0.0
17,static_rule,hard,A,0.95,1.0,1802.7477884512948,1.0,1,0,1.0,1802.7477884512948,0.0
18,static_rule,simple,B,0.95,1.0,651.8294538235795,0.1,1,0,0.1,651.8294538235795,0.0
19,static_rule,simple,B,0.95,1.0,787.1866893250199,0.1,1,0,0.1,787.1866893250199,0.0
20,static_rule,simple,B,0.95,1.0,735.469721927306,0.1,1,0,0.1,735.469721927306,0.0
21,static_rule,hard,A,0.95,0.8996953599999999,1582.9472728426292,1.0,1,0,1.0,1582.9472728426292,0.0
22,static_rule,hard,A,0.95,1.0,1688.5527680115233,1.0,1,0,1.0,1688.5527680115233,0.0
23,static_rule,simple,B,0.95,0.9814719999999999,536.0667334468548,0.1,1,0,0.1,536.0667334468548,0.0
24,static_rule,hard,A,0.95,1.0,1660.283626099029,1.0,1,0,1.0,1660.283626099029,0.0
25,static_rule,simple,B,0.95,1.0,621.0604779758416,0.1,1,0,0.1,621.0604779758416,0.0
26,static_rule,simple,B,0.95,1.0,683.3772145706057,0.1,0,0,0.1,683.3772145706057,0.0
27,static_rule,simple,B,0.95,1.0,734.3811640041326,0.1,0,0,0.1,734.3811640041326,0.0
28,static_rule,simple,B,0.95,1.0,771.9025117250617,0.1,1,0,0.1,771.9025117250617,0.0
29,static_rule,simple,B,0.95,1.0,644.1882023207388,0.1,1,0,0.1,644.1882023207388,0.0
30,static_rule,simple,B,0.95,1.0,699.026345758928,0.1,1,0,0.1,699.026345758928,0.0
31,static_rule,simple,B,0.95,1.0,710.8774834091035,0.1,0,0,0.1,710.8774834091035,0.0
